REAL,DATE,FGIP,FGPR,FGPRH,FGPT,FGPTH,FOIP,FOPR,FOPRH,FOPT,FOPTF,FOPTH,FOPTS,FWIP,FWPT,FWPTH,YEARS,SENSNAME,SENSCASE,RMS_SEED,FWL,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,INTERPOLATE_WO,INTERPOLATE_GO,COHIBA_MODEL_MODE
17,2000-01-01,8912918528.0,0.0,0.0,0.0,0.0,48439772.0,0.0,0.0,0.0,0.0,0.0,0.0,321422144.0,0.0,0.0,0.0,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,2000-02-01,8912909312.0,0.0,0.0,0.0,0.0,48439720.0,0.0,0.0,0.0,0.0,0.0,0.0,321422208.0,0.0,0.0,0.08487337082624435,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,2000-03-01,8851329024.0,2123452.0,2123621.5,61580128.0,61585024.0,48105044.0,11540.5,11540.0,334674.625,334674.625,334660.0,0.0,321562176.0,0.7262696623802185,0.0,0.1642710417509079,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,2000-04-01,8792278016.0,1904842.0,1887736.75,120631104.0,120104864.0,47784116.0,10352.40234375,10257.2578125,655603.8125,655603.8125,652635.0,0.0,321717184.0,3.9762592315673833,4548.0009765625,0.24914442002773285,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,2000-05-01,8738898944.0,1779249.875,1695579.625,174010816.0,170972256.0,47494008.0,9669.8359375,9213.5673828125,945710.9375,945710.9375,929042.0,0.0,321867168.0,14.077791213989258,25817.001953125,0.3312799334526062,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,2000-06-01,8685144064.0,1733909.625,1638625.75,227764768.0,221769648.0,47201864.0,9423.421875,8903.451171875,1237852.0,1237852.0,1205049.0,0.0,322022144.0,35.29037857055664,50901.0,0.4161533117294312,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,2000-07-01,8636911616.0,1607690.875,1509394.625,275997152.0,267051488.0,46939732.0,8737.4501953125,8201.7001953125,1499984.5,1499984.5,1451100.0,0.0,322317120.0,69.73390197753906,75951.0,0.4982888400554657,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,2000-08-01,8590132224.0,1508930.5,1398302.75,322776992.0,310398880.0,46685496.0,8200.708984375,7597.41943359375,1754222.75,1754222.75,1686620.0,0.0,322627040.0,137.26011657714844,105138.0,0.5831621885299683,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,2000-09-01,8545315840.0,1445539.0,1325874.25,367593568.0,351500960.0,46441924.0,7856.1904296875,7203.8388671875,1997791.125,1997791.125,1909939.0,0.0,322936928.0,263.94656372070307,136780.015625,0.6680355668067932,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,2000-10-01,8503390720.0,1397259.625,1270949.375,409518400.0,389629472.0,46214072.0,7593.80224609375,6905.7666015625,2225643.5,2225643.5,2117112.0,0.0,323236704.0,480.6652221679688,169202.0,0.7501711249351501,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,2000-11-01,8461268480.0,1358420.625,1227013.0,451640832.0,427666848.0,45985148.0,7382.720703125,6666.935546875,2454569.75,2454569.75,2323787.0,0.0,323546304.0,861.16845703125,204244.0,0.8350445032119751,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
