REAL,EQLNUM,DATUM,PRESSURE,OWC,PCOWC,GOC,PCGOC,INITRS,INITRV,ACCURACY,SENSNAME,SENSCASE,RMS_SEED,FWL,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,INTERPOLATE_WO,INTERPOLATE_GO,COHIBA_MODEL_MODE
17,1,2469,382.4,1705.0,0,0,0,1,0,20,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,2,2469,382.4,1000.0,0,0,0,2,0,20,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
35,1,2469,382.4,1705.0,0,0,0,1,0,20,cohiba,simulation,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
35,2,2469,382.4,1000.0,0,0,0,2,0,20,cohiba,simulation,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
22,1,2469,382.4,1705.0,0,0,0,1,0,20,multflt1,closed,1002,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
22,2,2469,382.4,1000.0,0,0,0,2,0,20,multflt1,closed,1002,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
21,1,2469,382.4,1705.0,0,0,0,1,0,20,multflt1,closed,1001,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
21,2,2469,382.4,1000.0,0,0,0,2,0,20,multflt1,closed,1001,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
20,1,2469,382.4,1705.0,0,0,0,1,0,20,multflt1,closed,1000,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
20,2,2469,382.4,1000.0,0,0,0,2,0,20,multflt1,closed,1000,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
5,1,2469,382.4,1710.0,0,0,0,1,0,20,fwl,deep,1000,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
5,2,2469,382.4,1000.0,0,0,0,2,0,20,fwl,deep,1000,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
37,1,2469,382.4,1705.0,0,0,0,1,0,20,cohiba,simulation,1002,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
37,2,2469,382.4,1000.0,0,0,0,2,0,20,cohiba,simulation,1002,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
16,1,2469,382.4,1705.0,0,0,0,1,0,20,multflt1,open,1001,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
16,2,2469,382.4,1000.0,0,0,0,2,0,20,multflt1,open,1001,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
24,1,2469,382.4,1705.0,0,0,0,1,0,20,multflt1,closed,1004,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
24,2,2469,382.4,1000.0,0,0,0,2,0,20,multflt1,closed,1004,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
39,1,2469,382.4,1705.0,0,0,0,1,0,20,cohiba,simulation,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
39,2,2469,382.4,1000.0,0,0,0,2,0,20,cohiba,simulation,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
34,1,2469,382.4,1705.0,0,0,0,1,0,20,relp_wo,pes,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1.0,0.7,0
34,2,2469,382.4,1000.0,0,0,0,2,0,20,relp_wo,pes,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1.0,0.7,0
7,1,2469,382.4,1710.0,0,0,0,1,0,20,fwl,deep,1002,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
7,2,2469,382.4,1000.0,0,0,0,2,0,20,fwl,deep,1002,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
12,1,2469,382.4,1690.0,0,0,0,1,0,20,fwl,shallow,1002,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
12,2,2469,382.4,1000.0,0,0,0,2,0,20,fwl,shallow,1002,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
29,1,2469,382.4,1705.0,0,0,0,1,0,20,relp_wo,opt,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
29,2,2469,382.4,1000.0,0,0,0,2,0,20,relp_wo,opt,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
38,1,2469,382.4,1705.0,0,0,0,1,0,20,cohiba,simulation,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
38,2,2469,382.4,1000.0,0,0,0,2,0,20,cohiba,simulation,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
10,1,2469,382.4,1690.0,0,0,0,1,0,20,fwl,shallow,1000,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
10,2,2469,382.4,1000.0,0,0,0,2,0,20,fwl,shallow,1000,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
4,1,2469,382.4,1705.0,0,0,0,1,0,20,rms_seed,p10_p90,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
