REAL,Sg,Sw,krg,krog,krow,krw,pcog,pcow,satnum,tag,type,SENSNAME,SENSCASE,RMS_SEED,FWL,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,INTERPOLATE_WO,INTERPOLATE_GO,COHIBA_MODEL_MODE
17,,0.3,,,1.0,0.0,,3.9484488,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.31,,,0.9942839,3.4e-06,,3.0036868,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.32,,,0.9819024,2.58e-05,,2.3836060000000003,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.33,,,0.9641556,8.53e-05,,1.9509518,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.34,,,0.9416078,0.0002006,,1.635,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.35,,,0.9147369,0.0003916,,1.3959875,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.36,,,0.8840369,0.0006793,,1.2100198,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.37,,,0.8500414000000001,0.0010864000000000002,,1.0619637,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.38,,,0.8133201999999999,0.001637,,0.9418169,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.39,,,0.7744647,0.002357,,0.8427319999999999,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.4,,,0.7340686,0.0032742,,0.7598793,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.41,,,0.6927076,0.0044181,,0.6897656,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.42,,,0.6509216999999999,0.0058206,,0.629808,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.43,,,0.6092017,0.0075153999999999985,,0.5780598000000001,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.44,,,0.5679799,0.0095386,,0.5330293,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.45,,,0.5276253000000001,0.0119284,,0.4935561,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.46,,,0.4884432,0.0147256,,0.4587252000000001,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.47,,,0.4506772,0.0179729,,0.4278066,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.48,,,0.4145139,0.0217155,,0.4002117,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.49,,,0.3800892,0.0260008,,0.3754608,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,,0.5,,,0.3474937,0.0308783,,0.35316,1,eclipse/include/props/swof.inc,SWOF,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
