REAL,CONBPRES,CONIDX,CONIPOS,CONJPOS,CONKPOS,DATE,DEPTH,Drawdown,PRESSURE,SGAS,SWAT,WELL,WELLMODEL,SENSNAME,SENSCASE,RMS_SEED,FWL,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,INTERPOLATE_WO,INTERPOLATE_GO,COHIBA_MODEL_MODE
17,303.59954833984375,1,27,30,5,2000-02-01,1610.447998046875,0,303.59954833984375,0.0,0.03293200209736824,OP_1,MULTISEG,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,303.7789611816406,2,27,30,6,2000-02-01,1613.2606201171875,0,303.7789611816406,0.0,0.03194495663046837,OP_1,MULTISEG,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,303.96258544921875,3,27,30,7,2000-02-01,1616.1395263671875,0,303.96258544921875,0.0,0.031166056171059612,OP_1,MULTISEG,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,304.1462707519531,4,27,30,8,2000-02-01,1619.0185546875,0,304.1462707519531,0.0,0.03047410026192665,OP_1,MULTISEG,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,304.3299255371094,5,27,30,9,2000-02-01,1621.8974609375,0,304.3299255371094,0.0,0.03170322999358177,OP_1,MULTISEG,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,304.51361083984375,6,27,30,10,2000-02-01,1624.776611328125,0,304.51361083984375,0.0,0.032087724655866616,OP_1,MULTISEG,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,305.8306579589844,1,20,13,6,2000-02-01,1652.7034912109375,0,305.8306579589844,0.0,0.0933450311422348,OP_2,MULTISEG,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,306.0009460449219,2,20,13,7,2000-02-01,1655.37353515625,0,306.0009460449219,0.0,0.05337129160761833,OP_2,MULTISEG,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,306.1712951660156,3,20,13,8,2000-02-01,1658.043212890625,0,306.1712951660156,0.0,0.048984158784151084,OP_2,MULTISEG,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,306.34173583984375,4,20,13,9,2000-02-01,1660.7130126953125,0,306.34173583984375,0.0,0.05087302252650261,OP_2,MULTISEG,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
