SWAT,SGAS,CONIDX,CONJPOS,WELLMODEL,WELL,CONIPOS,CONKPOS,DEPTH,CONBPRES,DRAWDOWN,DATE,PRESSURE
0.061700910329818726,0.0,1,30,STANDARD,R_A2,22,1,1641.094970703125,300.5350341796875,0,2018-01-01,300.5350341796875
0.0629429966211319,0.0,2,30,STANDARD,R_A2,22,2,1642.8890380859375,300.65533447265625,0,2018-01-01,300.65533447265625
0.0660792738199234,0.0,3,30,STANDARD,R_A2,22,3,1644.68310546875,300.775634765625,0,2018-01-01,300.775634765625
0.07204511016607285,0.0,4,30,STANDARD,R_A2,22,4,1646.4771728515625,300.89593505859375,0,2018-01-01,300.89593505859375
0.0750773623585701,0.0,5,30,STANDARD,R_A2,22,5,1648.2713623046875,301.0162353515625,0,2018-01-01,301.0162353515625
0.3243785500526428,0.0,6,30,STANDARD,R_A2,22,6,1650.0654296875,301.13653564453125,0,2018-01-01,301.13653564453125
0.9245307445526123,0.0,7,30,STANDARD,R_A2,22,7,1651.859619140625,301.2568664550781,0,2018-01-01,301.2568664550781
0.8895055651664734,0.0,8,30,STANDARD,R_A2,22,8,1653.6536865234375,301.3771667480469,0,2018-01-01,301.3771667480469
0.9439844489097595,0.0,9,30,STANDARD,R_A2,22,9,1655.44775390625,301.49749755859375,0,2018-01-01,301.49749755859375
0.9436599016189575,0.0,10,30,STANDARD,R_A2,22,10,1657.2418212890625,301.6178283691406,0,2018-01-01,301.6178283691406
0.08885326236486435,0.0,11,30,STANDARD,R_A2,22,11,1659.1368408203125,301.74493408203125,0,2018-01-01,301.74493408203125
0.09405443072319031,0.0,12,30,STANDARD,R_A2,22,12,1661.132568359375,301.8787841796875,0,2018-01-01,301.8787841796875
0.5001468062400818,0.0,13,30,STANDARD,R_A2,22,13,1663.12841796875,302.01263427734375,0,2018-01-01,302.01263427734375
0.5912952423095703,0.0,14,30,STANDARD,R_A2,22,14,1665.1241455078125,302.1465148925781,0,2018-01-01,302.1465148925781
