SGAS,DEPTH,CONJPOS,CONIPOS,CONKPOS,CONBPRES,SWAT,CONIDX,WELLMODEL,WELL,DRAWDOWN,DATE,PRESSURE
0.0,1642.8175048828125,30,22,1,300.9201354980469,0.05435555800795555,1,STANDARD,R_A2,0,2018-01-01,300.9201354980469
0.0,1644.6683349609375,30,22,2,301.04425048828125,0.056397195905447006,2,STANDARD,R_A2,0,2018-01-01,301.04425048828125
0.0,1646.51904296875,30,22,3,301.1683349609375,0.059362977743148804,3,STANDARD,R_A2,0,2018-01-01,301.1683349609375
0.0,1648.3697509765625,30,22,4,301.2924499511719,0.06296035647392273,4,STANDARD,R_A2,0,2018-01-01,301.2924499511719
0.0,1650.220458984375,30,22,5,301.41656494140625,0.06832201778888702,5,STANDARD,R_A2,0,2018-01-01,301.41656494140625
0.0,1652.0712890625,30,22,6,301.54071044921875,0.16857242584228516,6,STANDARD,R_A2,0,2018-01-01,301.54071044921875
0.0,1653.922119140625,30,22,7,301.6648254394531,0.6481541991233826,7,STANDARD,R_A2,0,2018-01-01,301.6648254394531
0.0,1655.7728271484375,30,22,8,301.7889709472656,0.6481541991233826,8,STANDARD,R_A2,0,2018-01-01,301.7889709472656
0.0,1657.62353515625,30,22,9,301.9130859375,0.8936713337898254,9,STANDARD,R_A2,0,2018-01-01,301.9130859375
0.0,1659.4742431640625,30,22,10,302.0372314453125,0.9042328000068665,10,STANDARD,R_A2,0,2018-01-01,302.0372314453125
0.0,1661.4075927734375,30,22,11,302.1669006347656,0.07558056712150574,11,STANDARD,R_A2,0,2018-01-01,302.1669006347656
0.0,1663.4234619140625,30,22,12,302.3021240234375,0.07723783701658249,12,STANDARD,R_A2,0,2018-01-01,302.3021240234375
0.0,1665.4393310546875,30,22,13,302.4373474121094,0.43970802426338196,13,STANDARD,R_A2,0,2018-01-01,302.4373474121094
0.0,1667.4552001953125,30,22,14,302.5726013183594,0.4832140803337097,14,STANDARD,R_A2,0,2018-01-01,302.5726013183594
0.0,1669.4710693359375,30,22,15,302.70782470703125,0.6959857940673828,15,STANDARD,R_A2,0,2018-01-01,302.70782470703125
0.0,1671.4869384765625,30,22,16,302.8430480957031,0.9468716979026794,16,STANDARD,R_A2,0,2018-01-01,302.8430480957031
0.0,1673.5028076171875,30,22,17,302.9783020019531,0.914536714553833,17,STANDARD,R_A2,0,2018-01-01,302.9783020019531
0.0,1670.86865234375,29,22,17,302.80157470703125,0.8736549019813538,18,STANDARD,R_A2,0,2018-01-01,302.80157470703125
