Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:23:39
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       281037151.51         44961694.37         33491160.72         21063622.74
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  281037151.51         44961694.37         33491160.72         21063622.74
MidReek    1                       217141855.78         41212256.52         32363641.43         20354491.13
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  217141855.78         41212256.52         32363641.43         20354491.13
LowerReek  1                       127877366.67         26691808.51         21724513.02         13663215.51
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  127877366.67         26691808.51         21724513.02         13663215.51
Totals     1                       626056373.96        112865759.40         87579315.18         55081329.38
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  626056373.96        112865759.40         87579315.18         55081329.38
