PRESSURE,CONJPOS,CONKPOS,DATE,SGAS,DEPTH,WELLMODEL,SWAT,WELL,CONBPRES,CONIDX,DRAWDOWN,CONIPOS
300.7609558105469,30,1,2018-01-01,0.0,1640.456298828125,STANDARD,0.05246808007359505,R_A2,300.7609558105469,1,0,22
300.87786865234375,30,2,2018-01-01,0.0,1642.199462890625,STANDARD,0.054549358785152435,R_A2,300.87786865234375,2,0,22
300.9947509765625,30,3,2018-01-01,0.0,1643.942626953125,STANDARD,0.05706905573606491,R_A2,300.9947509765625,3,0,22
301.11163330078125,30,4,2018-01-01,0.0,1645.685791015625,STANDARD,0.06291380524635315,R_A2,301.11163330078125,4,0,22
301.2285461425781,30,5,2018-01-01,0.0,1647.428955078125,STANDARD,0.06564967334270477,R_A2,301.2285461425781,5,0,22
301.345458984375,30,6,2018-01-01,0.0,1649.172119140625,STANDARD,0.6481541991233826,R_A2,301.345458984375,6,0,22
301.46234130859375,30,7,2018-01-01,0.0,1650.915283203125,STANDARD,0.867744505405426,R_A2,301.46234130859375,7,0,22
301.5792541503906,30,8,2018-01-01,0.0,1652.658447265625,STANDARD,0.650378942489624,R_A2,301.5792541503906,8,0,22
301.6961669921875,30,9,2018-01-01,0.0,1654.401611328125,STANDARD,0.12843483686447144,R_A2,301.6961669921875,9,0,22
301.8130798339844,30,10,2018-01-01,0.0,1656.144775390625,STANDARD,0.6481541991233826,R_A2,301.8130798339844,10,0,22
301.9397888183594,30,11,2018-01-01,0.0,1658.0338134765625,STANDARD,0.0659545436501503,R_A2,301.9397888183594,11,0,22
302.0762634277344,30,12,2018-01-01,0.0,1660.0684814453125,STANDARD,0.06930694729089737,R_A2,302.0762634277344,12,0,22
302.2127380371094,30,13,2018-01-01,0.0,1662.103271484375,STANDARD,0.41833019256591797,R_A2,302.2127380371094,13,0,22
302.3492431640625,30,14,2018-01-01,0.0,1664.137939453125,STANDARD,0.4762933552265167,R_A2,302.3492431640625,14,0,22
