ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,6004824,921028,489619,341436,48074187,0,0,0,0,0
Valysar,CentralSouth,70160704,12294891,9209403,6422178,904242653,0,0,0,0,0
Valysar,CentralNorth,40859588,7146286,4807123,3352247,471996430,0,0,0,0,0
Valysar,NorthHorst,6519292,936151,461680,283587,55554680,24045496,3271400,2142902,498349269,76247
Valysar,CentralRamp,13423447,1953370,1354153,944319,132960093,0,0,0,0,0
Valysar,CentralHorst,89182159,14625050,10862714,7575114,1066576104,0,0,0,0,0
Valysar,EastLowland,5199586,806853,387039,269902,38002201,0,0,0,0,0
Therys,WestLowland,2019731,332412,126141,87964,12385400,0,0,0,0,0
Therys,CentralSouth,16239355,3839582,2598678,1812189,255156166,0,0,0,0,0
Therys,CentralNorth,20978322,3885671,2213665,1543700,217352915,0,0,0,0,0
Therys,NorthHorst,7782494,1102840,445223,273478,53574417,16698959,2671605,1689200,392837302,60104
Therys,CentralRamp,6473191,1463518,1177207,820925,115586280,0,0,0,0,0
Therys,CentralHorst,30328980,7342872,5685791,3964987,558270138,0,0,0,0,0
Therys,EastLowland,120854,41927,13400,9345,1315748,0,0,0,0,0
Volon,WestLowland,177761,26473,7303,5093,717051,0,0,0,0,0
Volon,CentralSouth,38993577,7731815,5829062,4064897,572337536,0,0,0,0,0
Volon,CentralNorth,6946656,1015978,585650,408403,57503118,0,0,0,0,0
Volon,NorthHorst,4563050,851240,646538,397137,77799051,3945380,737186,636685,148066342,22654
Volon,CentralRamp,12667429,2202098,1722655,1201294,169142179,0,0,0,0,0
Volon,CentralHorst,84213476,14798692,11680401,8145329,1146862313,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
