ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,5013763,730729,446947,311679,43884347
Valysar,CentralSouth,70330628,12445972,9377299,6539260,920727842
Valysar,CentralNorth,37195218,6237524,4602968,3209880,451951149
Valysar,NorthHorst,4412825,701453,401408,246565,48302088
Valysar,CentralRamp,13604570,2080016,1470093,1025169,144343822
Valysar,CentralHorst,87392274,13780469,10694214,7457611,1050031650
Valysar,EastLowland,1937590,324854,207698,144838,20393187
Therys,WestLowland,2042501,402677,196090,136744,19253491
Therys,CentralSouth,16367222,3981420,2665453,1858754,261712547
Therys,CentralNorth,20569345,3682613,2172506,1514998,213311659
Therys,NorthHorst,6525095,890976,370797,227762,44618581
Therys,CentralRamp,6660668,1548271,1233537,860207,121117131
Therys,CentralHorst,32079388,7830209,6134578,4277949,602335205
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,166905,29289,16733,11668,1642912
Volon,CentralSouth,35114818,6308554,4686382,3268049,460141292
Volon,CentralNorth,6054961,802470,394497,275102,38734423
Volon,NorthHorst,4401982,792788,565949,347635,68101637
Volon,CentralRamp,12517293,2293613,1782215,1242828,174990134
Volon,CentralHorst,84608346,15227033,12175323,8490462,1195457129
Volon,EastLowland,0,0,0,0,0
