CONIPOS,CONKPOS,WELL,DEPTH,WELLMODEL,CONJPOS,DRAWDOWN,DATE,PRESSURE,SWAT,SGAS,CONBPRES,CONIDX
22,1,R_A2,1641.962646484375,STANDARD,30,0,2018-01-01,300.8451232910156,0.054658230394124985,0.0,300.8451232910156,1
22,2,R_A2,1643.698486328125,STANDARD,30,0,2018-01-01,300.9615173339844,0.05633067339658737,0.0,300.9615173339844,2
22,3,R_A2,1645.4342041015625,STANDARD,30,0,2018-01-01,301.0779113769531,0.06027093529701233,0.0,301.0779113769531,3
22,4,R_A2,1647.1700439453125,STANDARD,30,0,2018-01-01,301.1943054199219,0.06371048092842102,0.0,301.1943054199219,4
22,5,R_A2,1648.9058837890625,STANDARD,30,0,2018-01-01,301.31072998046875,0.0661277249455452,0.0,301.31072998046875,5
22,6,R_A2,1650.6416015625,STANDARD,30,0,2018-01-01,301.4271240234375,0.29901039600372314,0.0,301.4271240234375,6
22,7,R_A2,1652.37744140625,STANDARD,30,0,2018-01-01,301.5435485839844,0.8714519143104553,0.0,301.5435485839844,7
22,8,R_A2,1654.11328125,STANDARD,30,0,2018-01-01,301.65997314453125,0.8851332068443298,0.0,301.65997314453125,8
22,9,R_A2,1655.8489990234375,STANDARD,30,0,2018-01-01,301.7763671875,0.8837764859199524,0.0,301.7763671875,9
22,10,R_A2,1657.5848388671875,STANDARD,30,0,2018-01-01,301.8927917480469,0.8775695562362671,0.0,301.8927917480469,10
22,11,R_A2,1659.4560546875,STANDARD,30,0,2018-01-01,302.018310546875,0.06988578289747238,0.0,302.018310546875,11
22,13,R_A2,1663.4696044921875,STANDARD,30,0,2018-01-01,302.28753662109375,0.43768149614334106,0.0,302.28753662109375,12
22,14,R_A2,1665.476318359375,STANDARD,30,0,2018-01-01,302.4221496582031,0.46908169984817505,0.0,302.4221496582031,13
22,15,R_A2,1667.483154296875,STANDARD,30,0,2018-01-01,302.5567626953125,0.9031667709350586,0.0,302.5567626953125,14
22,16,R_A2,1669.4898681640625,STANDARD,30,0,2018-01-01,302.6913757324219,0.930187463760376,0.0,302.6913757324219,15
22,17,R_A2,1671.4967041015625,STANDARD,30,0,2018-01-01,302.8260192871094,0.8757640719413757,0.0,302.8260192871094,16
22,17,R_A2,1675.46875,STANDARD,29,0,2018-01-01,303.0924987792969,0.9564333558082581,0.0,303.0924987792969,17
22,18,R_A2,1677.2623291015625,STANDARD,29,0,2018-01-01,303.21282958984375,0.9913135170936584,0.0,303.21282958984375,18
22,24,R_A2,1678.8753662109375,STANDARD,29,0,2018-01-01,303.3210754394531,1.0,0.0,303.3210754394531,19
22,25,R_A2,1680.590576171875,STANDARD,29,0,2018-01-01,303.4361572265625,0.8258358240127563,0.0,303.4361572265625,20
22,26,R_A2,1682.3056640625,STANDARD,29,0,2018-01-01,303.89202880859375,1.0,0.0,303.89202880859375,21
22,27,R_A2,1684.0208740234375,STANDARD,29,0,2018-01-01,304.0545654296875,1.0,0.0,304.0545654296875,22
22,28,R_A2,1685.736083984375,STANDARD,29,0,2018-01-01,304.21710205078125,1.0,0.0,304.21710205078125,23
28,1,R_A3,1610.68359375,STANDARD,41,0,2018-01-01,298.74822998046875,0.289086252450943,0.0,298.74822998046875,1
29,1,R_A3,1599.1884765625,STANDARD,41,0,2018-01-01,297.9779052734375,0.23762644827365875,0.0,297.9779052734375,2
29,2,R_A3,1601.3514404296875,STANDARD,41,0,2018-01-01,298.1228332519531,0.1856541484594345,0.0,298.1228332519531,3
29,3,R_A3,1603.514404296875,STANDARD,41,0,2018-01-01,298.2677917480469,0.18581947684288025,0.0,298.2677917480469,4
29,4,R_A3,1605.6773681640625,STANDARD,41,0,2018-01-01,298.4127197265625,0.2000199407339096,0.0,298.4127197265625,5
29,5,R_A3,1607.84033203125,STANDARD,41,0,2018-01-01,298.55767822265625,0.806848406791687,0.0,298.55767822265625,6
29,6,R_A3,1610.0032958984375,STANDARD,41,0,2018-01-01,298.70263671875,0.6481541991233826,0.0,298.70263671875,7
29,7,R_A3,1612.166259765625,STANDARD,41,0,2018-01-01,298.84759521484375,0.1943131536245346,0.0,298.84759521484375,8
29,8,R_A3,1614.3292236328125,STANDARD,41,0,2018-01-01,298.9925842285156,0.24034090340137482,0.0,298.9925842285156,9
29,9,R_A3,1616.4921875,STANDARD,41,0,2018-01-01,299.1375427246094,0.7986701726913452,0.0,299.1375427246094,10
29,10,R_A3,1618.6551513671875,STANDARD,41,0,2018-01-01,299.28253173828125,0.7913381457328796,0.0,299.28253173828125,11
29,11,R_A3,1620.8680419921875,STANDARD,41,0,2018-01-01,299.4308776855469,0.04656831547617912,0.0,299.4308776855469,12
29,12,R_A3,1623.1309814453125,STANDARD,41,0,2018-01-01,299.5825500488281,0.05412808805704117,0.0,299.5825500488281,13
29,13,R_A3,1625.3939208984375,STANDARD,41,0,2018-01-01,299.7342529296875,0.3606410026550293,0.0,299.7342529296875,14
29,14,R_A3,1627.6568603515625,STANDARD,41,0,2018-01-01,299.8859558105469,0.15246902406215668,0.0,299.8859558105469,15
29,15,R_A3,1629.9197998046875,STANDARD,41,0,2018-01-01,300.03765869140625,0.438365638256073,0.0,300.03765869140625,16
29,16,R_A3,1631.8564453125,STANDARD,41,0,2018-01-01,300.1675109863281,0.8057922124862671,0.0,300.1675109863281,17
29,24,R_A3,1634.53125,STANDARD,41,0,2018-01-01,300.3468322753906,0.3851854205131531,0.0,300.3468322753906,18
29,25,R_A3,1638.08251953125,STANDARD,41,0,2018-01-01,300.5849304199219,0.04354101046919823,0.0,300.5849304199219,19
29,26,R_A3,1641.6336669921875,STANDARD,41,0,2018-01-01,300.82305908203125,0.047156352549791336,0.0,300.82305908203125,20
29,27,R_A3,1645.184814453125,STANDARD,41,0,2018-01-01,301.0611877441406,0.13074617087841034,0.0,301.0611877441406,21
29,28,R_A3,1648.7359619140625,STANDARD,41,0,2018-01-01,301.29931640625,0.06125153228640556,0.0,301.29931640625,22
