SWAT,CONBPRES,WELLMODEL,CONKPOS,CONJPOS,WELL,DEPTH,CONIPOS,CONIDX,PRESSURE,DRAWDOWN,DATE,SGAS
0.05274681746959686,300.7492980957031,STANDARD,1,30,R_A2,1640.612060546875,22,1,300.7492980957031,0,2018-01-01,0.0
0.055494274944067,300.8641357421875,STANDARD,2,30,R_A2,1642.32470703125,22,2,300.8641357421875,0,2018-01-01,0.0
0.05819568410515785,300.9789733886719,STANDARD,3,30,R_A2,1644.0372314453125,22,3,300.9789733886719,0,2018-01-01,0.0
0.06416665017604828,301.09381103515625,STANDARD,4,30,R_A2,1645.7498779296875,22,4,301.09381103515625,0,2018-01-01,0.0
0.066642165184021,301.20867919921875,STANDARD,5,30,R_A2,1647.46240234375,22,5,301.20867919921875,0,2018-01-01,0.0
0.31745439767837524,301.3235168457031,STANDARD,6,30,R_A2,1649.175048828125,22,6,301.3235168457031,0,2018-01-01,0.0
0.8774717450141907,301.4383850097656,STANDARD,7,30,R_A2,1650.8876953125,22,7,301.4383850097656,0,2018-01-01,0.0
0.8549147248268127,301.55322265625,STANDARD,8,30,R_A2,1652.600341796875,22,8,301.55322265625,0,2018-01-01,0.0
0.8774076104164124,301.6680908203125,STANDARD,9,30,R_A2,1654.31298828125,22,9,301.6680908203125,0,2018-01-01,0.0
0.8883083462715149,301.782958984375,STANDARD,10,30,R_A2,1656.0255126953125,22,10,301.782958984375,0,2018-01-01,0.0
0.06819237768650055,301.9054870605469,STANDARD,11,30,R_A2,1657.85205078125,22,11,301.9054870605469,0,2018-01-01,0.0
0.16336433589458466,302.0356140136719,STANDARD,12,30,R_A2,1659.79248046875,22,12,302.0356140136719,0,2018-01-01,0.0
0.4304685592651367,302.165771484375,STANDARD,13,30,R_A2,1661.73291015625,22,13,302.165771484375,0,2018-01-01,0.0
0.4666605591773987,302.2959289550781,STANDARD,14,30,R_A2,1663.67333984375,22,14,302.2959289550781,0,2018-01-01,0.0
0.513238787651062,302.4261169433594,STANDARD,15,30,R_A2,1665.61376953125,22,15,302.4261169433594,0,2018-01-01,0.0
0.9300804138183594,302.7071228027344,STANDARD,15,29,R_A2,1669.8026123046875,22,16,302.7071228027344,0,2018-01-01,0.0
0.9544280171394348,302.8514099121094,STANDARD,16,29,R_A2,1671.95361328125,22,17,302.8514099121094,0,2018-01-01,0.0
0.9258660674095154,302.9957275390625,STANDARD,17,29,R_A2,1674.1044921875,22,18,302.9957275390625,0,2018-01-01,0.0
0.9906258583068848,303.1260681152344,STANDARD,18,29,R_A2,1676.04736328125,22,19,303.1260681152344,0,2018-01-01,0.0
0.6679089069366455,303.25079345703125,STANDARD,25,29,R_A2,1677.90625,22,20,303.25079345703125,0,2018-01-01,0.0
1.0,303.3678894042969,STANDARD,26,29,R_A2,1679.6514892578125,22,21,303.3678894042969,0,2018-01-01,0.0
1.0,303.805908203125,STANDARD,27,29,R_A2,1681.396728515625,22,22,303.805908203125,0,2018-01-01,0.0
1.0,303.9712829589844,STANDARD,28,29,R_A2,1683.1419677734375,22,23,303.9712829589844,0,2018-01-01,0.0
1.0,304.13665771484375,STANDARD,29,29,R_A2,1684.88720703125,22,24,304.13665771484375,0,2018-01-01,0.0
0.6481541991233826,298.669189453125,STANDARD,1,41,R_A3,1609.58251953125,28,1,298.669189453125,0,2018-01-01,0.0
0.19241179525852203,298.80584716796875,STANDARD,2,41,R_A3,1611.621337890625,28,2,298.80584716796875,0,2018-01-01,0.0
0.1873895525932312,298.9424743652344,STANDARD,3,41,R_A3,1613.66015625,28,3,298.9424743652344,0,2018-01-01,0.0
0.2861926257610321,299.0791320800781,STANDARD,4,41,R_A3,1615.698974609375,28,4,299.0791320800781,0,2018-01-01,0.0
0.3722933232784271,298.48529052734375,STANDARD,4,41,R_A3,1606.8385009765625,29,5,298.48529052734375,0,2018-01-01,0.0
0.8081021904945374,298.6141357421875,STANDARD,5,41,R_A3,1608.760986328125,29,6,298.6141357421875,0,2018-01-01,0.0
0.23448775708675385,298.74298095703125,STANDARD,6,41,R_A3,1610.68359375,29,7,298.74298095703125,0,2018-01-01,0.0
0.19480746984481812,298.871826171875,STANDARD,7,41,R_A3,1612.60595703125,29,8,298.871826171875,0,2018-01-01,0.0
0.1950283795595169,299.00067138671875,STANDARD,8,41,R_A3,1614.528564453125,29,9,299.00067138671875,0,2018-01-01,0.0
0.792173445224762,299.1295471191406,STANDARD,9,41,R_A3,1616.450927734375,29,10,299.1295471191406,0,2018-01-01,0.0
0.7919484972953796,299.2583923339844,STANDARD,10,41,R_A3,1618.37353515625,29,11,299.2583923339844,0,2018-01-01,0.0
0.04665368050336838,299.3975524902344,STANDARD,11,41,R_A3,1620.449462890625,29,12,299.3975524902344,0,2018-01-01,0.0
0.05354505777359009,299.5469970703125,STANDARD,12,41,R_A3,1622.6787109375,29,13,299.5469970703125,0,2018-01-01,0.0
0.37211987376213074,299.6964416503906,STANDARD,13,41,R_A3,1624.9080810546875,29,14,299.6964416503906,0,2018-01-01,0.0
0.4989561438560486,299.9953308105469,STANDARD,15,41,R_A3,1629.3668212890625,29,15,299.9953308105469,0,2018-01-01,0.0
0.7993149757385254,300.12127685546875,STANDARD,16,41,R_A3,1631.245361328125,29,16,300.12127685546875,0,2018-01-01,0.0
0.6481541991233826,300.2914123535156,STANDARD,25,41,R_A3,1633.782958984375,29,17,300.2914123535156,0,2018-01-01,0.0
0.1570763885974884,300.5289306640625,STANDARD,26,41,R_A3,1637.3255615234375,29,18,300.5289306640625,0,2018-01-01,0.0
0.04669651761651039,300.7664794921875,STANDARD,27,41,R_A3,1640.8681640625,29,19,300.7664794921875,0,2018-01-01,0.0
0.324758380651474,301.0040283203125,STANDARD,28,41,R_A3,1644.41064453125,29,20,301.0040283203125,0,2018-01-01,0.0
0.0918259397149086,301.2415771484375,STANDARD,29,41,R_A3,1647.9532470703125,29,21,301.2415771484375,0,2018-01-01,0.0
0.04906582459807396,300.0701599121094,STANDARD,1,52,R_A4,1630.48291015625,30,1,300.0701599121094,0,2018-01-01,0.0
0.047408584505319595,299.8873596191406,STANDARD,1,52,R_A4,1627.7559814453125,31,2,299.8873596191406,0,2018-01-01,0.0
0.13017258048057556,300.02789306640625,STANDARD,2,52,R_A4,1629.852294921875,31,3,300.02789306640625,0,2018-01-01,0.0
0.05098896101117134,300.1684265136719,STANDARD,3,52,R_A4,1631.9486083984375,31,4,300.1684265136719,0,2018-01-01,0.0
0.05368924140930176,300.3089904785156,STANDARD,4,52,R_A4,1634.044921875,31,5,300.3089904785156,0,2018-01-01,0.0
0.053433217108249664,300.19305419921875,STANDARD,4,52,R_A4,1632.316162109375,32,6,300.19305419921875,0,2018-01-01,0.0
0.05549883097410202,300.3206787109375,STANDARD,5,52,R_A4,1634.219482421875,32,7,300.3206787109375,0,2018-01-01,0.0
0.2118423581123352,300.6280822753906,STANDARD,5,51,R_A4,1638.804443359375,32,8,300.6280822753906,0,2018-01-01,0.0
0.05719747021794319,300.50714111328125,STANDARD,4,51,R_A4,1637.000244140625,32,9,300.50714111328125,0,2018-01-01,0.0
0.05718119069933891,300.51922607421875,STANDARD,4,51,R_A4,1637.1807861328125,33,10,300.51922607421875,0,2018-01-01,0.0
0.056099068373441696,300.39727783203125,STANDARD,3,51,R_A4,1635.36181640625,33,11,300.39727783203125,0,2018-01-01,0.0
