FIPNUM,STOIIP_OIL,ASSOCIATEDOIL_GAS,STOIIP_TOTAL,WATER_TOTAL,GIIP_GAS,ASSOCIATEDGAS_OIL,GIIP_TOTAL,PORV_TOTAL,HCPV_OIL,WATER_PORV,HCPV_GAS,HCPV_TOTAL
1,23764312.0,0,23764312.0,47984337.0,0.0,4372633469.0,4372633469.0,87362082.0,37909938.0,49452144.0,0.0,37909938.0
2,0.0,0,0.0,67288895.0,0.0,0.0,0.0,69356371.0,0.0,69356371.0,0.0,0.0
3,19902007.0,0,19902007.0,44407563.0,0.0,3661969297.0,3661969297.0,77506167.0,31742956.0,45763211.0,0.0,31742956.0
4,0.0,0,0.0,67830011.0,0.0,0.0,0.0,69909765.0,0.0,69909765.0,0.0,0.0
5,13962727.0,0,13962727.0,37394773.0,0.0,2569141818.0,2569141818.0,60802434.0,22267466.0,38534969.0,0.0,22267466.0
6,0.0,0,0.0,46845522.0,0.0,0.0,0.0,48279704.0,0.0,48279704.0,0.0,0.0
