CONBPRES,CONKPOS,WELL,CONIDX,CONJPOS,DRAWDOWN,DEPTH,SGAS,PRESSURE,DATE,SWAT,WELLMODEL,CONIPOS
300.613037109375,1,R_A2,1,30,0,1640.274658203125,0.0,300.613037109375,2018-01-01,0.0546753890812397,STANDARD,22
300.72760009765625,2,R_A2,2,30,0,1641.9830322265625,0.0,300.72760009765625,2018-01-01,0.05811351165175438,STANDARD,22
300.8421325683594,3,R_A2,3,30,0,1643.6912841796875,0.0,300.8421325683594,2018-01-01,0.06169852986931801,STANDARD,22
300.9566955566406,4,R_A2,4,30,0,1645.3995361328125,0.0,300.9566955566406,2018-01-01,0.0669182762503624,STANDARD,22
301.0712585449219,5,R_A2,5,30,0,1647.10791015625,0.0,301.0712585449219,2018-01-01,0.07084118574857712,STANDARD,22
301.1858215332031,6,R_A2,6,30,0,1648.816162109375,0.0,301.1858215332031,2018-01-01,0.21841631829738617,STANDARD,22
301.3003845214844,7,R_A2,7,30,0,1650.5245361328125,0.0,301.3003845214844,2018-01-01,0.8900079131126404,STANDARD,22
301.4149475097656,8,R_A2,8,30,0,1652.2327880859375,0.0,301.4149475097656,2018-01-01,0.8796148896217346,STANDARD,22
301.5295104980469,9,R_A2,9,30,0,1653.941162109375,0.0,301.5295104980469,2018-01-01,0.8833128213882446,STANDARD,22
301.6440734863281,10,R_A2,10,30,0,1655.6494140625,0.0,301.6440734863281,2018-01-01,0.8966794610023499,STANDARD,22
301.7680969238281,11,R_A2,11,30,0,1657.4984130859375,0.0,301.7680969238281,2018-01-01,0.07477108389139175,STANDARD,22
302.0350036621094,13,R_A2,12,30,0,1661.4776611328125,0.0,302.0350036621094,2018-01-01,0.44581955671310425,STANDARD,22
302.16845703125,14,R_A2,13,30,0,1663.4674072265625,0.0,302.16845703125,2018-01-01,0.5043757557868958,STANDARD,22
302.32220458984375,14,R_A2,14,29,0,1665.7593994140625,0.0,302.32220458984375,2018-01-01,0.5282062888145447,STANDARD,22
