Project name			: /private/asny/Desktop/reek/resmod/ff/2019a/r001/rms/model/reek.rms11.0.1
Date				: 2020.02.19 17:21:03
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       274434595.38         51708369.25         40925956.82         25739595.06
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  274434595.38         51708369.25         40925956.82         25739595.06
MidReek    1                       199067908.52         39268987.65         32122213.45         20202649.64
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  199067908.52         39268987.65         32122213.45         20202649.64
LowerReek  1                       128719859.04         27178186.59         22519353.14         14163114.94
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  128719859.04         27178186.59         22519353.14         14163114.94
Totals     1                       602222362.94        118155543.50         95567523.41         60105359.64
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  602222362.94        118155543.50         95567523.41         60105359.64
