CONIPOS,PRESSURE,CONBPRES,WELLMODEL,CONKPOS,DEPTH,DRAWDOWN,SWAT,WELL,SGAS,DATE,CONJPOS,CONIDX
22,300.6733093261719,300.6733093261719,STANDARD,1,1641.094970703125,0,0.056692592799663544,R_A2,0.0,2018-01-01,30,1
22,300.7936096191406,300.7936096191406,STANDARD,2,1642.8890380859375,0,0.05867929756641388,R_A2,0.0,2018-01-01,30,2
22,300.9139099121094,300.9139099121094,STANDARD,3,1644.68310546875,0,0.061895012855529785,R_A2,0.0,2018-01-01,30,3
22,301.0342102050781,301.0342102050781,STANDARD,4,1646.4771728515625,0,0.06773295253515244,R_A2,0.0,2018-01-01,30,4
22,301.1545104980469,301.1545104980469,STANDARD,5,1648.2713623046875,0,0.07102545350790024,R_A2,0.0,2018-01-01,30,5
22,301.27484130859375,301.27484130859375,STANDARD,6,1650.0654296875,0,0.32000941038131714,R_A2,0.0,2018-01-01,30,6
22,301.3951721191406,301.3951721191406,STANDARD,7,1651.859619140625,0,0.8964528441429138,R_A2,0.0,2018-01-01,30,7
22,301.5154724121094,301.5154724121094,STANDARD,8,1653.6536865234375,0,0.721605658531189,R_A2,0.0,2018-01-01,30,8
22,301.63580322265625,301.63580322265625,STANDARD,9,1655.44775390625,0,0.8981422781944275,R_A2,0.0,2018-01-01,30,9
22,301.7561340332031,301.7561340332031,STANDARD,10,1657.2418212890625,0,0.9288972020149231,R_A2,0.0,2018-01-01,30,10
22,301.88323974609375,301.88323974609375,STANDARD,11,1659.1368408203125,0,0.0764261856675148,R_A2,0.0,2018-01-01,30,11
22,302.01708984375,302.01708984375,STANDARD,12,1661.132568359375,0,0.07991793006658554,R_A2,0.0,2018-01-01,30,12
22,302.1509704589844,302.1509704589844,STANDARD,13,1663.12841796875,0,0.44190388917922974,R_A2,0.0,2018-01-01,30,13
22,302.28485107421875,302.28485107421875,STANDARD,14,1665.1241455078125,0,0.5030866861343384,R_A2,0.0,2018-01-01,30,14
22,302.4187316894531,302.4187316894531,STANDARD,15,1667.1199951171875,0,0.6875477433204651,R_A2,0.0,2018-01-01,30,15
22,302.5526123046875,302.5526123046875,STANDARD,16,1669.11572265625,0,0.9696621894836426,R_A2,0.0,2018-01-01,30,16
22,302.6864929199219,302.6864929199219,STANDARD,17,1671.111572265625,0,0.9681722521781921,R_A2,0.0,2018-01-01,30,17
22,302.8123779296875,302.8123779296875,STANDARD,18,1672.9881591796875,0,0.988319993019104,R_A2,0.0,2018-01-01,30,18
22,302.89569091796875,302.89569091796875,STANDARD,18,1674.229736328125,0,0.9956573843955994,R_A2,0.0,2018-01-01,29,19
22,303.02569580078125,303.02569580078125,STANDARD,27,1676.1676025390625,0,1.0,R_A2,0.0,2018-01-01,29,20
22,303.47802734375,303.47802734375,STANDARD,28,1677.9368896484375,0,1.0,R_A2,0.0,2018-01-01,29,21
22,303.64569091796875,303.64569091796875,STANDARD,29,1679.7061767578125,0,1.0,R_A2,0.0,2018-01-01,29,22
22,303.8133544921875,303.8133544921875,STANDARD,30,1681.4754638671875,0,1.0,R_A2,0.0,2018-01-01,29,23
22,303.98101806640625,303.98101806640625,STANDARD,31,1683.2447509765625,0,1.0,R_A2,0.0,2018-01-01,29,24
28,298.53814697265625,298.53814697265625,STANDARD,1,1609.243408203125,0,0.6481541991233826,R_A3,0.0,2018-01-01,41,1
28,298.676513671875,298.676513671875,STANDARD,2,1611.3077392578125,0,0.19344687461853027,R_A3,0.0,2018-01-01,41,2
28,298.8148498535156,298.8148498535156,STANDARD,3,1613.3720703125,0,0.19432701170444489,R_A3,0.0,2018-01-01,41,3
28,298.9532165527344,298.9532165527344,STANDARD,4,1615.4365234375,0,0.24996744096279144,R_A3,0.0,2018-01-01,41,4
28,299.0915832519531,299.0915832519531,STANDARD,5,1617.5008544921875,0,0.6481541991233826,R_A3,0.0,2018-01-01,41,5
28,299.2299499511719,299.2299499511719,STANDARD,6,1619.565185546875,0,0.1498473584651947,R_A3,0.0,2018-01-01,41,6
