DRAWDOWN,CONJPOS,CONBPRES,DEPTH,PRESSURE,DATE,CONIDX,WELLMODEL,SWAT,SGAS,CONIPOS,CONKPOS,WELL
0,30,300.6733093261719,1641.094970703125,300.6733093261719,2018-01-01,1,STANDARD,0.05659883841872215,0.0,22,1,R_A2
0,30,300.7936096191406,1642.8890380859375,300.7936096191406,2018-01-01,2,STANDARD,0.057897210121154785,0.0,22,2,R_A2
0,30,300.9139099121094,1644.68310546875,300.9139099121094,2018-01-01,3,STANDARD,0.06060889735817909,0.0,22,3,R_A2
0,30,301.0342102050781,1646.4771728515625,301.0342102050781,2018-01-01,4,STANDARD,0.06530755013227463,0.0,22,4,R_A2
0,30,301.1545104980469,1648.2713623046875,301.1545104980469,2018-01-01,5,STANDARD,0.06916967034339905,0.0,22,5,R_A2
0,30,301.27484130859375,1650.0654296875,301.27484130859375,2018-01-01,6,STANDARD,0.3080350458621979,0.0,22,6,R_A2
0,30,301.3951721191406,1651.859619140625,301.3951721191406,2018-01-01,7,STANDARD,0.8966805338859558,0.0,22,7,R_A2
0,30,301.5154724121094,1653.6536865234375,301.5154724121094,2018-01-01,8,STANDARD,0.8801488876342773,0.0,22,8,R_A2
0,30,301.63580322265625,1655.44775390625,301.63580322265625,2018-01-01,9,STANDARD,0.9076734781265259,0.0,22,9,R_A2
0,30,301.7561340332031,1657.2418212890625,301.7561340332031,2018-01-01,10,STANDARD,0.9077416062355042,0.0,22,10,R_A2
0,30,301.88323974609375,1659.1368408203125,301.88323974609375,2018-01-01,11,STANDARD,0.07622610777616501,0.0,22,11,R_A2
0,30,302.01708984375,1661.132568359375,302.01708984375,2018-01-01,12,STANDARD,0.08180969953536987,0.0,22,12,R_A2
0,30,302.1509704589844,1663.12841796875,302.1509704589844,2018-01-01,13,STANDARD,0.4750072658061981,0.0,22,13,R_A2
0,30,302.28485107421875,1665.1241455078125,302.28485107421875,2018-01-01,14,STANDARD,0.512985348701477,0.0,22,14,R_A2
0,30,302.4187316894531,1667.1199951171875,302.4187316894531,2018-01-01,15,STANDARD,0.679781973361969,0.0,22,15,R_A2
0,30,302.5526123046875,1669.11572265625,302.5526123046875,2018-01-01,16,STANDARD,0.9705216884613037,0.0,22,16,R_A2
0,30,302.6864929199219,1671.111572265625,302.6864929199219,2018-01-01,17,STANDARD,0.9569120407104492,0.0,22,17,R_A2
0,30,302.8123779296875,1672.9881591796875,302.8123779296875,2018-01-01,18,STANDARD,0.9819161295890808,0.0,22,18,R_A2
0,29,302.89569091796875,1674.229736328125,302.89569091796875,2018-01-01,19,STANDARD,0.9946486949920654,0.0,22,18,R_A2
0,29,303.02569580078125,1676.1676025390625,303.02569580078125,2018-01-01,20,STANDARD,1.0,0.0,22,27,R_A2
0,29,303.47802734375,1677.9368896484375,303.47802734375,2018-01-01,21,STANDARD,1.0,0.0,22,28,R_A2
0,29,303.64569091796875,1679.7061767578125,303.64569091796875,2018-01-01,22,STANDARD,1.0,0.0,22,29,R_A2
0,29,303.8133544921875,1681.4754638671875,303.8133544921875,2018-01-01,23,STANDARD,1.0,0.0,22,30,R_A2
0,29,303.98101806640625,1683.2447509765625,303.98101806640625,2018-01-01,24,STANDARD,1.0,0.0,22,31,R_A2
0,41,298.53814697265625,1609.243408203125,298.53814697265625,2018-01-01,1,STANDARD,0.6481541991233826,0.0,28,1,R_A3
0,41,298.676513671875,1611.3077392578125,298.676513671875,2018-01-01,2,STANDARD,0.1989089697599411,0.0,28,2,R_A3
0,41,298.8148498535156,1613.3720703125,298.8148498535156,2018-01-01,3,STANDARD,0.19339895248413086,0.0,28,3,R_A3
0,41,298.9532165527344,1615.4365234375,298.9532165527344,2018-01-01,4,STANDARD,0.3768196403980255,0.0,28,4,R_A3
0,41,299.0915832519531,1617.5008544921875,299.0915832519531,2018-01-01,5,STANDARD,0.6481541991233826,0.0,28,5,R_A3
0,41,299.2299499511719,1619.565185546875,299.2299499511719,2018-01-01,6,STANDARD,0.11064504086971283,0.0,28,6,R_A3
0,41,298.54638671875,1609.3663330078125,298.54638671875,2018-01-01,7,STANDARD,0.2853010296821594,0.0,29,6,R_A3
0,41,298.68377685546875,1611.4163818359375,298.68377685546875,2018-01-01,8,STANDARD,0.1971457451581955,0.0,29,7,R_A3
0,41,298.8211669921875,1613.46630859375,298.8211669921875,2018-01-01,9,STANDARD,0.19843679666519165,0.0,29,8,R_A3
0,41,298.95855712890625,1615.516357421875,298.95855712890625,2018-01-01,10,STANDARD,0.6858067512512207,0.0,29,9,R_A3
0,41,299.095947265625,1617.5662841796875,299.095947265625,2018-01-01,11,STANDARD,0.6481541991233826,0.0,29,10,R_A3
0,41,299.24237060546875,1619.750732421875,299.24237060546875,2018-01-01,12,STANDARD,0.0510573647916317,0.0,29,11,R_A3
0,41,299.3978271484375,1622.0697021484375,299.3978271484375,2018-01-01,13,STANDARD,0.054299186915159225,0.0,29,12,R_A3
0,41,299.5532531738281,1624.388671875,299.5532531738281,2018-01-01,14,STANDARD,0.37318161129951477,0.0,29,13,R_A3
0,41,299.7087097167969,1626.707763671875,299.7087097167969,2018-01-01,15,STANDARD,0.35039278864860535,0.0,29,14,R_A3
0,41,299.8641662597656,1629.026611328125,299.8641662597656,2018-01-01,16,STANDARD,0.4955688714981079,0.0,29,15,R_A3
0,41,299.992919921875,1630.9468994140625,299.992919921875,2018-01-01,17,STANDARD,0.8111844658851624,0.0,29,16,R_A3
0,41,300.16583251953125,1633.5262451171875,300.16583251953125,2018-01-01,18,STANDARD,0.7162989377975464,0.0,29,27,R_A3
0,41,300.40966796875,1637.1630859375,300.40966796875,2018-01-01,19,STANDARD,0.043079812079668045,0.0,29,28,R_A3
0,41,300.6535339355469,1640.8001708984375,300.6535339355469,2018-01-01,20,STANDARD,0.11963227391242981,0.0,29,29,R_A3
0,41,300.89739990234375,1644.4371337890625,300.89739990234375,2018-01-01,21,STANDARD,0.6481541991233826,0.0,29,30,R_A3
0,41,301.14129638671875,1648.0740966796875,301.14129638671875,2018-01-01,22,STANDARD,0.06493213027715683,0.0,29,31,R_A3
0,52,300.009033203125,1631.1873779296875,300.009033203125,2018-01-01,1,STANDARD,0.05092088505625725,0.0,30,1,R_A4
0,52,299.7571105957031,1627.4293212890625,299.7571105957031,2018-01-01,2,STANDARD,0.04962099716067314,0.0,31,1,R_A4
0,52,299.89520263671875,1629.4896240234375,299.89520263671875,2018-01-01,3,STANDARD,0.051607757806777954,0.0,31,2,R_A4
0,52,300.0333251953125,1631.5498046875,300.0333251953125,2018-01-01,4,STANDARD,0.054534994065761566,0.0,31,3,R_A4
0,52,300.17144775390625,1633.610107421875,300.17144775390625,2018-01-01,5,STANDARD,0.056367576122283936,0.0,31,4,R_A4
0,52,300.0901184082031,1632.3968505859375,300.0901184082031,2018-01-01,6,STANDARD,0.05706184357404709,0.0,32,4,R_A4
0,51,300.3236999511719,1635.880615234375,300.3236999511719,2018-01-01,7,STANDARD,0.11242767423391342,0.0,32,4,R_A4
0,51,300.4202575683594,1637.321044921875,300.4202575683594,2018-01-01,8,STANDARD,0.1584090143442154,0.0,33,4,R_A4
0,51,300.29644775390625,1635.474609375,300.29644775390625,2018-01-01,9,STANDARD,0.19343797862529755,0.0,33,3,R_A4
0,50,300.74395751953125,1642.1485595703125,300.74395751953125,2018-01-01,10,STANDARD,0.06403730064630508,0.0,33,4,R_A4
0,50,300.67578125,1641.132080078125,300.67578125,2018-01-01,11,STANDARD,0.062113311141729355,0.0,34,4,R_A4
0,50,300.5467224121094,1639.20703125,300.5467224121094,2018-01-01,12,STANDARD,0.6481541991233826,0.0,34,3,R_A4
0,50,300.66064453125,1640.9061279296875,300.66064453125,2018-01-01,13,STANDARD,0.2713562548160553,0.0,35,3,R_A4
0,50,300.53570556640625,1639.0426025390625,300.53570556640625,2018-01-01,14,STANDARD,0.23927634954452515,0.0,35,2,R_A4
0,49,300.72943115234375,1641.93212890625,300.72943115234375,2018-01-01,15,STANDARD,0.24014364182949066,0.0,35,2,R_A4
0,49,300.7579650878906,1642.357421875,300.7579650878906,2018-01-01,16,STANDARD,0.24251782894134521,0.0,36,30,R_A4
0,48,300.5735168457031,1639.6068115234375,300.5735168457031,2018-01-01,17,STANDARD,0.21051277220249176,0.0,36,30,R_A4
0,48,301.0526123046875,1646.7513427734375,301.0526123046875,2018-01-01,18,STANDARD,0.6481541991233826,0.0,37,30,R_A4
0,48,301.5025939941406,1653.461669921875,301.5025939941406,2018-01-01,19,STANDARD,0.6481541991233826,0.0,38,30,R_A4
0,47,301.7947998046875,1657.8184814453125,301.7947998046875,2018-01-01,20,STANDARD,0.6481541991233826,0.0,38,30,R_A4
0,20,303.8440856933594,1685.026611328125,303.8440856933594,2018-01-01,1,STANDARD,1.0,0.0,31,1,R_A5
0,20,304.0601806640625,1687.3070068359375,304.0601806640625,2018-01-01,2,STANDARD,1.0,0.0,31,2,R_A5
