ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,4926419,595102,276408,192753,27139609,0,0,0,0,0
Valysar,CentralSouth,60366342,10817994,7920863,5523614,777724915,0,0,0,0,0
Valysar,CentralNorth,33489952,6025131,4547001,3170851,446455861,0,0,0,0,0
Valysar,NorthHorst,5485321,631449,307261,188735,36973281,23159536,2818899,1803145,419336008,64158
Valysar,CentralRamp,13746446,1960437,1220825,851343,119869037,0,0,0,0,0
Valysar,CentralHorst,83973871,13389205,10084047,7032111,990121301,0,0,0,0,0
Valysar,EastLowland,291997,53157,21817,15214,2142120,0,0,0,0,0
Therys,WestLowland,2204974,404509,219707,153213,21572327,0,0,0,0,0
Therys,CentralSouth,8215681,1896513,1160801,809485,113975423,0,0,0,0,0
Therys,CentralNorth,17559935,3687971,2161699,1507461,212250532,0,0,0,0,0
Therys,NorthHorst,9872056,1319337,560300,344165,67421893,14275448,2378668,1593178,370506459,56687
Therys,CentralRamp,6770890,1510599,1128758,787139,110829228,0,0,0,0,0
Therys,CentralHorst,27405046,7196868,5493314,3830763,539371423,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,254401,48803,30903,21550,3034258,0,0,0,0,0
Volon,CentralSouth,26513975,4439244,3184365,2220617,312662867,0,0,0,0,0
Volon,CentralNorth,4040798,502046,246177,171671,24171342,0,0,0,0,0
Volon,NorthHorst,6714072,1174740,889693,546495,107058274,1198646,212432,185235,43077986,6591
Volon,CentralRamp,11693521,2117788,1596575,1113372,156762785,0,0,0,0,0
Volon,CentralHorst,77869416,14150288,11022482,7686528,1082263235,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
