CONBPRES,DRAWDOWN,SWAT,CONIPOS,WELLMODEL,DATE,PRESSURE,CONKPOS,CONIDX,CONJPOS,SGAS,DEPTH,WELL
300.8024597167969,0,0.054775286465883255,22,STANDARD,2018-01-01,300.8024597167969,1,1,30,0.0,1641.862548828125,R_A2
300.929443359375,0,0.14208362996578217,22,STANDARD,2018-01-01,300.929443359375,2,2,30,0.0,1643.7562255859375,R_A2
301.0564270019531,0,0.060774609446525574,22,STANDARD,2018-01-01,301.0564270019531,3,3,30,0.0,1645.6500244140625,R_A2
301.1834411621094,0,0.0669805034995079,22,STANDARD,2018-01-01,301.1834411621094,4,4,30,0.0,1647.543701171875,R_A2
301.3104248046875,0,0.11275067180395126,22,STANDARD,2018-01-01,301.3104248046875,5,5,30,0.0,1649.4373779296875,R_A2
301.43743896484375,0,0.6777936816215515,22,STANDARD,2018-01-01,301.43743896484375,6,6,30,0.0,1651.3310546875,R_A2
301.5644226074219,0,0.8863115310668945,22,STANDARD,2018-01-01,301.5644226074219,7,7,30,0.0,1653.224853515625,R_A2
301.6914367675781,0,0.8740226030349731,22,STANDARD,2018-01-01,301.6914367675781,8,8,30,0.0,1655.1185302734375,R_A2
301.8184509277344,0,0.9033320546150208,22,STANDARD,2018-01-01,301.8184509277344,9,9,30,0.0,1657.01220703125,R_A2
301.9454650878906,0,0.9137983322143555,22,STANDARD,2018-01-01,301.9454650878906,10,10,30,0.0,1658.906005859375,R_A2
302.0806579589844,0,0.07446445524692535,22,STANDARD,2018-01-01,302.0806579589844,11,11,30,0.0,1660.9217529296875,R_A2
302.22406005859375,0,0.07345595955848694,22,STANDARD,2018-01-01,302.22406005859375,12,12,30,0.0,1663.0595703125,R_A2
302.36749267578125,0,0.44292107224464417,22,STANDARD,2018-01-01,302.36749267578125,13,13,30,0.0,1665.197509765625,R_A2
302.5108947753906,0,0.5060107111930847,22,STANDARD,2018-01-01,302.5108947753906,14,14,30,0.0,1667.3353271484375,R_A2
302.654296875,0,0.6575193405151367,22,STANDARD,2018-01-01,302.654296875,15,15,30,0.0,1669.47314453125,R_A2
