SGAS,WELLMODEL,CONKPOS,DEPTH,WELL,CONJPOS,CONIDX,CONIPOS,PRESSURE,DRAWDOWN,DATE,SWAT,CONBPRES
0.0,STANDARD,1,1639.0733642578125,R_A2,30,1,22,300.5184020996094,0,2018-01-01,0.05592459812760353,300.5184020996094
0.0,STANDARD,2,1640.8992919921875,R_A2,30,2,22,300.6408386230469,0,2018-01-01,0.057848766446113586,300.6408386230469
0.0,STANDARD,3,1642.7252197265625,R_A2,30,3,22,300.7632751464844,0,2018-01-01,0.06141971796751022,300.7632751464844
0.0,STANDARD,4,1644.55126953125,R_A2,30,4,22,300.8857116699219,0,2018-01-01,0.06634435057640076,300.8857116699219
0.0,STANDARD,5,1646.3773193359375,R_A2,30,5,22,301.0081481933594,0,2018-01-01,0.067950539290905,301.0081481933594
0.0,STANDARD,6,1648.2032470703125,R_A2,30,6,22,301.130615234375,0,2018-01-01,0.11113671958446503,301.130615234375
0.0,STANDARD,7,1650.029296875,R_A2,30,7,22,301.2530517578125,0,2018-01-01,0.6532781720161438,301.2530517578125
0.0,STANDARD,8,1651.855224609375,R_A2,30,8,22,301.3755187988281,0,2018-01-01,0.8705728054046631,301.3755187988281
0.0,STANDARD,9,1653.6812744140625,R_A2,30,9,22,301.49798583984375,0,2018-01-01,0.8986237049102783,301.49798583984375
0.0,STANDARD,10,1655.5072021484375,R_A2,30,10,22,301.62042236328125,0,2018-01-01,0.9031298756599426,301.62042236328125
0.0,STANDARD,11,1657.470703125,R_A2,30,11,22,301.75213623046875,0,2018-01-01,0.07507585734128952,301.75213623046875
0.0,STANDARD,12,1659.5718994140625,R_A2,30,12,22,301.89306640625,0,2018-01-01,0.06968798488378525,301.89306640625
0.0,STANDARD,13,1661.6729736328125,R_A2,30,13,22,302.03399658203125,0,2018-01-01,0.46066805720329285,302.03399658203125
0.0,STANDARD,14,1663.774169921875,R_A2,30,14,22,302.1749267578125,0,2018-01-01,0.5108602643013,302.1749267578125
0.0,STANDARD,15,1665.875244140625,R_A2,30,15,22,302.31585693359375,0,2018-01-01,0.9501439332962036,302.31585693359375
0.0,STANDARD,16,1667.976318359375,R_A2,30,16,22,302.4568176269531,0,2018-01-01,0.9610201120376587,302.4568176269531
0.0,STANDARD,17,1670.0775146484375,R_A2,30,17,22,302.5977478027344,0,2018-01-01,0.9500210285186768,302.5977478027344
0.0,STANDARD,18,1672.03515625,R_A2,30,18,22,302.7290954589844,0,2018-01-01,0.9656027555465698,302.7290954589844
0.0,STANDARD,26,1673.858154296875,R_A2,30,19,22,302.85137939453125,0,2018-01-01,1.0,302.85137939453125
0.0,STANDARD,27,1675.583984375,R_A2,30,20,22,302.9671630859375,0,2018-01-01,0.7153290510177612,302.9671630859375
0.0,STANDARD,27,1677.0523681640625,R_A2,29,21,22,303.39422607421875,0,2018-01-01,1.0,303.39422607421875
0.0,STANDARD,28,1678.9144287109375,R_A2,29,22,22,303.5706787109375,0,2018-01-01,1.0,303.5706787109375
0.0,STANDARD,29,1680.7764892578125,R_A2,29,23,22,303.74713134765625,0,2018-01-01,1.0,303.74713134765625
0.0,STANDARD,30,1682.6385498046875,R_A2,29,24,22,303.923583984375,0,2018-01-01,1.0,303.923583984375
0.0,STANDARD,1,1610.947509765625,R_A3,41,1,28,298.63299560546875,0,2018-01-01,0.1702556312084198,298.63299560546875
0.0,STANDARD,2,1613.01806640625,R_A3,41,2,28,298.77178955078125,0,2018-01-01,0.17930816113948822,298.77178955078125
0.0,STANDARD,3,1615.088623046875,R_A3,41,3,28,298.9105529785156,0,2018-01-01,0.2019965648651123,298.9105529785156
0.0,STANDARD,4,1617.1591796875,R_A3,41,4,28,299.04931640625,0,2018-01-01,0.39009949564933777,299.04931640625
0.0,STANDARD,5,1619.229736328125,R_A3,41,5,28,299.1881103515625,0,2018-01-01,0.2064080536365509,299.1881103515625
0.0,STANDARD,5,1606.633544921875,R_A3,41,6,29,298.3439025878906,0,2018-01-01,0.8142235279083252,298.3439025878906
0.0,STANDARD,6,1608.667236328125,R_A3,41,7,29,298.4801940917969,0,2018-01-01,0.33563098311424255,298.4801940917969
0.0,STANDARD,7,1610.70068359375,R_A3,41,8,29,298.616455078125,0,2018-01-01,0.19655099511146545,298.616455078125
0.0,STANDARD,8,1612.7342529296875,R_A3,41,9,29,298.75274658203125,0,2018-01-01,0.1728501319885254,298.75274658203125
0.0,STANDARD,9,1614.767822265625,R_A3,41,10,29,298.8890380859375,0,2018-01-01,0.22970189154148102,298.8890380859375
0.0,STANDARD,10,1616.8013916015625,R_A3,41,11,29,299.02532958984375,0,2018-01-01,0.1983279138803482,299.02532958984375
0.0,STANDARD,11,1618.952392578125,R_A3,41,12,29,299.1695251464844,0,2018-01-01,0.04881919175386429,299.1695251464844
0.0,STANDARD,12,1621.2210693359375,R_A3,41,13,29,299.32159423828125,0,2018-01-01,0.05410122126340866,299.32159423828125
0.0,STANDARD,13,1623.48974609375,R_A3,41,14,29,299.4736633300781,0,2018-01-01,0.3746158480644226,299.4736633300781
0.0,STANDARD,14,1625.7584228515625,R_A3,41,15,29,299.625732421875,0,2018-01-01,0.05496186390519142,299.625732421875
0.0,STANDARD,15,1628.0269775390625,R_A3,41,16,29,299.7778015136719,0,2018-01-01,0.601466715335846,299.7778015136719
0.0,STANDARD,16,1629.917236328125,R_A3,41,17,29,299.904541015625,0,2018-01-01,0.8087259531021118,299.904541015625
0.0,STANDARD,17,1630.840576171875,R_A3,41,18,29,299.9664306640625,0,2018-01-01,0.7807467579841614,299.9664306640625
0.0,STANDARD,26,1632.8868408203125,R_A3,41,19,29,300.1036071777344,0,2018-01-01,1.0,300.1036071777344
0.0,STANDARD,27,1636.644287109375,R_A3,41,20,29,300.35552978515625,0,2018-01-01,0.07491932809352875,300.35552978515625
0.0,STANDARD,28,1640.4017333984375,R_A3,41,21,29,300.6074523925781,0,2018-01-01,0.0514075830578804,300.6074523925781
0.0,STANDARD,29,1644.1591796875,R_A3,41,22,29,300.8594055175781,0,2018-01-01,0.6481541991233826,300.8594055175781
0.0,STANDARD,30,1647.9166259765625,R_A3,41,23,29,301.11138916015625,0,2018-01-01,0.06048969924449921,301.11138916015625
