FIPNUM,STOIIP_OIL,ASSOCIATEDOIL_GAS,STOIIP_TOTAL,WATER_TOTAL,GIIP_GAS,ASSOCIATEDGAS_OIL,GIIP_TOTAL,PORV_TOTAL,HCPV_OIL,WATER_PORV,HCPV_GAS,HCPV_TOTAL
1,21793845.0,0,21793845.0,41919131.0,0.0,4010067527.0,4010067527.0,77969323.0,34766893.0,43202430.0,0.0,34766893.0
2,0.0,0,0.0,81318354.0,0.0,0.0,0.0,83817801.0,0.0,83817801.0,0.0,0.0
3,15926900.0,0,15926900.0,49670278.0,0.0,2930549543.0,2930549543.0,76593716.0,25404784.0,51188932.0,0.0,25404784.0
4,0.0,0,0.0,78269389.0,0.0,0.0,0.0,80668678.0,0.0,80668678.0,0.0,0.0
5,10742477.0,0,10742477.0,34136809.0,0.0,1976615743.0,1976615743.0,52312550.0,17132544.0,35180006.0,0.0,17132544.0
6,0.0,0,0.0,53849651.0,0.0,0.0,0.0,55498287.0,0.0,55498287.0,0.0,0.0
