SWAT,WELL,WELLMODEL,DEPTH,CONIPOS,PRESSURE,DATE,DRAWDOWN,SGAS,CONKPOS,CONJPOS,CONIDX,CONBPRES
0.06834310293197632,R_A2,STANDARD,1648.8328857421875,22,301.30694580078125,2018-01-01,0,0.0,5,30,5,301.30694580078125
0.31323832273483276,R_A2,STANDARD,1650.593505859375,22,301.4250183105469,2018-01-01,0,0.0,6,30,6,301.4250183105469
0.8773960471153259,R_A2,STANDARD,1652.354248046875,22,301.5430908203125,2018-01-01,0,0.0,7,30,7,301.5430908203125
0.8585922718048096,R_A2,STANDARD,1654.1148681640625,22,301.6611633300781,2018-01-01,0,0.0,8,30,8,301.6611633300781
0.8854425549507141,R_A2,STANDARD,1655.87548828125,22,301.7792663574219,2018-01-01,0,0.0,9,30,9,301.7792663574219
0.8902122378349304,R_A2,STANDARD,1657.63623046875,22,301.8973388671875,2018-01-01,0,0.0,10,30,10,301.8973388671875
0.06953515112400055,R_A2,STANDARD,1659.5494384765625,22,302.02569580078125,2018-01-01,0,0.0,11,30,11,302.02569580078125
0.07054097205400467,R_A2,STANDARD,1661.6153564453125,22,302.16424560546875,2018-01-01,0,0.0,12,30,12,302.16424560546875
0.4393641948699951,R_A2,STANDARD,1663.6812744140625,22,302.3028259277344,2018-01-01,0,0.0,13,30,13,302.3028259277344
0.4806792736053467,R_A2,STANDARD,1665.7471923828125,22,302.44140625,2018-01-01,0,0.0,14,30,14,302.44140625
0.9178707599639893,R_A2,STANDARD,1667.8131103515625,22,302.58001708984375,2018-01-01,0,0.0,15,30,15,302.58001708984375
0.9327908158302307,R_A2,STANDARD,1669.8790283203125,22,302.7185974121094,2018-01-01,0,0.0,16,30,16,302.7185974121094
0.8910890221595764,R_A2,STANDARD,1671.9449462890625,22,302.8572082519531,2018-01-01,0,0.0,17,30,17,302.8572082519531
0.9191610217094421,R_A2,STANDARD,1673.5001220703125,22,302.9615173339844,2018-01-01,0,0.0,17,29,18,302.9615173339844
0.9782419800758362,R_A2,STANDARD,1675.3302001953125,22,303.0843200683594,2018-01-01,0,0.0,18,29,19,303.0843200683594
1.0,R_A2,STANDARD,1677.01904296875,22,303.1976318359375,2018-01-01,0,0.0,25,29,20,303.1976318359375
1.0,R_A2,STANDARD,1678.7978515625,22,303.3169860839844,2018-01-01,0,0.0,26,29,21,303.3169860839844
1.0,R_A2,STANDARD,1680.57666015625,22,303.43634033203125,2018-01-01,0,0.0,27,29,22,303.43634033203125
