CONIDX,CONKPOS,PRESSURE,CONIPOS,DRAWDOWN,CONJPOS,WELL,WELLMODEL,CONBPRES,DEPTH,DATE,SWAT,SGAS
1,1,300.4840087890625,22,0,30,R_A2,STANDARD,300.4840087890625,1638.2718505859375,2018-01-01,0.05397750437259674,0.0
2,2,300.6006164550781,22,0,30,R_A2,STANDARD,300.6006164550781,1640.0111083984375,2018-01-01,0.05678794905543327,0.0
3,3,300.7172546386719,22,0,30,R_A2,STANDARD,300.7172546386719,1641.750244140625,2018-01-01,0.05899868905544281,0.0
4,4,300.8338623046875,22,0,30,R_A2,STANDARD,300.8338623046875,1643.4893798828125,2018-01-01,0.06449131667613983,0.0
5,5,300.9504699707031,22,0,30,R_A2,STANDARD,300.9504699707031,1645.228515625,2018-01-01,0.13008761405944824,0.0
6,6,301.0671081542969,22,0,30,R_A2,STANDARD,301.0671081542969,1646.9677734375,2018-01-01,0.3004802167415619,0.0
7,7,301.1837463378906,22,0,30,R_A2,STANDARD,301.1837463378906,1648.70703125,2018-01-01,0.8824281692504883,0.0
8,8,301.3003845214844,22,0,30,R_A2,STANDARD,301.3003845214844,1650.4461669921875,2018-01-01,0.6481541991233826,0.0
9,9,301.4169921875,22,0,30,R_A2,STANDARD,301.4169921875,1652.185302734375,2018-01-01,0.18170444667339325,0.0
10,10,301.5336608886719,22,0,30,R_A2,STANDARD,301.5336608886719,1653.924560546875,2018-01-01,0.8878204822540283,0.0
11,11,301.6598815917969,22,0,30,R_A2,STANDARD,301.6598815917969,1655.806640625,2018-01-01,0.07431844621896744,0.0
12,13,301.9315490722656,22,0,30,R_A2,STANDARD,301.9315490722656,1659.8570556640625,2018-01-01,0.43884363770484924,0.0
13,14,302.0673828125,22,0,30,R_A2,STANDARD,302.0673828125,1661.882080078125,2018-01-01,0.48006585240364075,0.0
14,15,302.2032165527344,22,0,30,R_A2,STANDARD,302.2032165527344,1663.9072265625,2018-01-01,0.9212215542793274,0.0
15,16,302.33905029296875,22,0,30,R_A2,STANDARD,302.33905029296875,1665.932373046875,2018-01-01,0.9356912970542908,0.0
16,17,302.47491455078125,22,0,30,R_A2,STANDARD,302.47491455078125,1667.9576416015625,2018-01-01,0.9016569256782532,0.0
17,18,302.58563232421875,22,0,30,R_A2,STANDARD,302.58563232421875,1669.608154296875,2018-01-01,0.9437571167945862,0.0
18,26,302.6866149902344,22,0,30,R_A2,STANDARD,302.6866149902344,1671.113525390625,2018-01-01,1.0,0.0
19,26,303.40338134765625,22,0,29,R_A2,STANDARD,303.40338134765625,1677.1490478515625,2018-01-01,1.0,0.0
20,27,303.5678405761719,22,0,29,R_A2,STANDARD,303.5678405761719,1678.884521484375,2018-01-01,1.0,0.0
21,28,303.7322692871094,22,0,29,R_A2,STANDARD,303.7322692871094,1680.619873046875,2018-01-01,1.0,0.0
22,29,303.896728515625,22,0,29,R_A2,STANDARD,303.896728515625,1682.355224609375,2018-01-01,1.0,0.0
23,30,304.0611877441406,22,0,29,R_A2,STANDARD,304.0611877441406,1684.090576171875,2018-01-01,1.0,0.0
1,1,298.5378723144531,28,0,41,R_A3,STANDARD,298.5378723144531,1609.2391357421875,2018-01-01,0.6481541991233826,0.0
2,2,298.677490234375,28,0,41,R_A3,STANDARD,298.677490234375,1611.322509765625,2018-01-01,0.19739368557929993,0.0
3,3,298.817138671875,28,0,41,R_A3,STANDARD,298.817138671875,1613.406005859375,2018-01-01,0.1573200225830078,0.0
4,4,298.9567565917969,28,0,41,R_A3,STANDARD,298.9567565917969,1615.489501953125,2018-01-01,0.11946212500333786,0.0
5,5,299.0964050292969,28,0,41,R_A3,STANDARD,299.0964050292969,1617.5731201171875,2018-01-01,0.6481541991233826,0.0
6,6,299.2360534667969,28,0,41,R_A3,STANDARD,299.2360534667969,1619.656494140625,2018-01-01,0.3370418846607208,0.0
7,6,298.5758972167969,29,0,41,R_A3,STANDARD,298.5758972167969,1609.8065185546875,2018-01-01,0.6481541991233826,0.0
8,7,298.7140808105469,29,0,41,R_A3,STANDARD,298.7140808105469,1611.86865234375,2018-01-01,0.19696862995624542,0.0
9,8,298.852294921875,29,0,41,R_A3,STANDARD,298.852294921875,1613.930908203125,2018-01-01,0.3063546121120453,0.0
10,9,298.9905090332031,29,0,41,R_A3,STANDARD,298.9905090332031,1615.9930419921875,2018-01-01,0.8035242557525635,0.0
11,10,299.12872314453125,29,0,41,R_A3,STANDARD,299.12872314453125,1618.0552978515625,2018-01-01,0.7982248067855835,0.0
12,11,299.2743225097656,29,0,41,R_A3,STANDARD,299.2743225097656,1620.227294921875,2018-01-01,0.04922772943973541,0.0
13,12,299.4272766113281,29,0,41,R_A3,STANDARD,299.4272766113281,1622.50927734375,2018-01-01,0.054822735488414764,0.0
