CONIDX,WELL,CONIPOS,CONJPOS,CONBPRES,DEPTH,PRESSURE,WELLMODEL,SGAS,DATE,DRAWDOWN,CONKPOS,SWAT
1,R_A2,22,30,300.7373352050781,1640.0789794921875,300.7373352050781,STANDARD,0.0,2018-01-01,0,1,0.05133752524852753
2,R_A2,22,30,300.8572692871094,1641.86767578125,300.8572692871094,STANDARD,0.0,2018-01-01,0,2,0.055474430322647095
3,R_A2,22,30,300.9772033691406,1643.65625,300.9772033691406,STANDARD,0.0,2018-01-01,0,3,0.057103343307971954
4,R_A2,22,30,301.0971374511719,1645.44482421875,301.0971374511719,STANDARD,0.0,2018-01-01,0,4,0.06293497234582901
5,R_A2,22,30,301.21710205078125,1647.2335205078125,301.21710205078125,STANDARD,0.0,2018-01-01,0,5,0.06544741988182068
6,R_A2,22,30,301.3370361328125,1649.0220947265625,301.3370361328125,STANDARD,0.0,2018-01-01,0,6,0.29937392473220825
7,R_A2,22,30,301.4570007324219,1650.810791015625,301.4570007324219,STANDARD,0.0,2018-01-01,0,7,0.8644403219223022
8,R_A2,22,30,301.5769348144531,1652.599365234375,301.5769348144531,STANDARD,0.0,2018-01-01,0,8,0.85513836145401
9,R_A2,22,30,301.6968994140625,1654.387939453125,301.6968994140625,STANDARD,0.0,2018-01-01,0,9,0.8668227791786194
10,R_A2,22,30,301.8168640136719,1656.176513671875,301.8168640136719,STANDARD,0.0,2018-01-01,0,10,0.8831707239151001
11,R_A2,22,30,301.9460144042969,1658.10205078125,301.9460144042969,STANDARD,0.0,2018-01-01,0,11,0.06868439167737961
12,R_A2,22,30,302.0843505859375,1660.1641845703125,302.0843505859375,STANDARD,0.0,2018-01-01,0,12,0.06193859875202179
13,R_A2,22,30,302.22265625,1662.226318359375,302.22265625,STANDARD,0.0,2018-01-01,0,13,0.4232994019985199
14,R_A2,22,30,302.3609924316406,1664.28857421875,302.3609924316406,STANDARD,0.0,2018-01-01,0,14,0.46244072914123535
15,R_A2,22,30,302.49932861328125,1666.350830078125,302.49932861328125,STANDARD,0.0,2018-01-01,0,15,0.637368381023407
16,R_A2,22,30,302.6376647949219,1668.4129638671875,302.6376647949219,STANDARD,0.0,2018-01-01,0,16,0.918126106262207
17,R_A2,22,30,302.7760009765625,1670.47509765625,302.7760009765625,STANDARD,0.0,2018-01-01,0,17,0.8660351634025574
18,R_A2,22,30,302.90045166015625,1672.329833984375,302.90045166015625,STANDARD,0.0,2018-01-01,0,18,0.9220917224884033
19,R_A2,22,30,302.965576171875,1673.3006591796875,302.965576171875,STANDARD,0.0,2018-01-01,0,19,0.9301228523254395
20,R_A2,22,30,303.03515625,1674.337646484375,303.03515625,STANDARD,0.0,2018-01-01,0,25,0.18439534306526184
21,R_A2,22,29,303.1556396484375,1676.1337890625,303.1556396484375,STANDARD,0.0,2018-01-01,0,25,0.6481541991233826
22,R_A2,22,29,303.2760314941406,1677.9278564453125,303.2760314941406,STANDARD,0.0,2018-01-01,0,26,0.8444392681121826
23,R_A2,22,29,303.3963928222656,1679.721923828125,303.3963928222656,STANDARD,0.0,2018-01-01,0,27,0.7446011900901794
24,R_A2,22,29,303.51678466796875,1681.5159912109375,303.51678466796875,STANDARD,0.0,2018-01-01,0,28,0.8364541530609131
25,R_A2,22,29,303.9872131347656,1683.31005859375,303.9872131347656,STANDARD,0.0,2018-01-01,0,29,1.0
1,R_A3,28,41,298.7340087890625,1610.1951904296875,298.7340087890625,STANDARD,0.0,2018-01-01,0,1,0.36463502049446106
2,R_A3,28,41,298.87408447265625,1612.2852783203125,298.87408447265625,STANDARD,0.0,2018-01-01,0,2,0.19441144168376923
3,R_A3,28,41,299.0141906738281,1614.37548828125,299.0141906738281,STANDARD,0.0,2018-01-01,0,3,0.15311159193515778
4,R_A3,29,41,298.36932373046875,1604.753173828125,298.36932373046875,STANDARD,0.0,2018-01-01,0,3,0.1870124191045761
5,R_A3,29,41,298.5056457519531,1606.7877197265625,298.5056457519531,STANDARD,0.0,2018-01-01,0,4,0.6481541991233826
6,R_A3,29,41,298.6419982910156,1608.822265625,298.6419982910156,STANDARD,0.0,2018-01-01,0,5,0.8087074160575867
7,R_A3,29,41,298.7783508300781,1610.8568115234375,298.7783508300781,STANDARD,0.0,2018-01-01,0,6,0.22843515872955322
8,R_A3,29,41,298.9147033691406,1612.8912353515625,298.9147033691406,STANDARD,0.0,2018-01-01,0,7,0.1928531378507614
9,R_A3,29,41,299.05108642578125,1614.92578125,299.05108642578125,STANDARD,0.0,2018-01-01,0,8,0.1953032910823822
10,R_A3,29,41,299.18743896484375,1616.960205078125,299.18743896484375,STANDARD,0.0,2018-01-01,0,9,0.7973960638046265
11,R_A3,29,41,299.3238220214844,1618.9947509765625,299.3238220214844,STANDARD,0.0,2018-01-01,0,10,0.79659104347229
12,R_A3,29,41,299.4656982421875,1621.111572265625,299.4656982421875,STANDARD,0.0,2018-01-01,0,11,0.04825735464692116
13,R_A3,29,41,299.6131286621094,1623.310791015625,299.6131286621094,STANDARD,0.0,2018-01-01,0,12,0.05242108181118965
14,R_A3,29,41,299.7605285644531,1625.5098876953125,299.7605285644531,STANDARD,0.0,2018-01-01,0,13,0.36385831236839294
15,R_A3,29,41,300.0553894042969,1629.908203125,300.0553894042969,STANDARD,0.0,2018-01-01,0,15,0.49135133624076843
16,R_A3,29,41,300.192626953125,1631.9549560546875,300.192626953125,STANDARD,0.0,2018-01-01,0,16,0.7973175048828125
17,R_A3,29,41,300.3800048828125,1634.749755859375,300.3800048828125,STANDARD,0.0,2018-01-01,0,25,0.6860040426254272
18,R_A3,29,41,300.6204833984375,1638.336181640625,300.6204833984375,STANDARD,0.0,2018-01-01,0,26,0.16231772303581238
19,R_A3,29,41,300.8609619140625,1641.9227294921875,300.8609619140625,STANDARD,0.0,2018-01-01,0,27,0.07723309099674225
20,R_A3,29,41,301.1014709472656,1645.50927734375,301.1014709472656,STANDARD,0.0,2018-01-01,0,28,0.6481541991233826
21,R_A3,29,41,301.34197998046875,1649.095703125,301.34197998046875,STANDARD,0.0,2018-01-01,0,29,0.12813924252986908
1,R_A4,30,52,300.1087341308594,1630.7037353515625,300.1087341308594,STANDARD,0.0,2018-01-01,0,1,0.04743548110127449
2,R_A4,31,52,299.8046875,1626.16845703125,299.8046875,STANDARD,0.0,2018-01-01,0,1,0.04631055146455765
3,R_A4,31,52,299.9421081542969,1628.21826171875,299.9421081542969,STANDARD,0.0,2018-01-01,0,2,0.061961669474840164
4,R_A4,31,52,300.0794982910156,1630.267822265625,300.0794982910156,STANDARD,0.0,2018-01-01,0,3,0.06527317315340042
5,R_A4,31,52,300.2169189453125,1632.3175048828125,300.2169189453125,STANDARD,0.0,2018-01-01,0,4,0.05335652828216553
6,R_A4,31,52,300.3543395996094,1634.3671875,300.3543395996094,STANDARD,0.0,2018-01-01,0,5,0.05385443568229675
7,R_A4,32,52,300.3231201171875,1633.9013671875,300.3231201171875,STANDARD,0.0,2018-01-01,0,5,0.05455952137708664
8,R_A4,32,51,300.40667724609375,1635.1478271484375,300.40667724609375,STANDARD,0.0,2018-01-01,0,5,0.056349724531173706
9,R_A4,33,51,300.53594970703125,1637.075439453125,300.53594970703125,STANDARD,0.0,2018-01-01,0,5,0.05816826596856117
10,R_A4,33,50,300.7913818359375,1640.885009765625,300.7913818359375,STANDARD,0.0,2018-01-01,0,5,0.06168308109045029
11,R_A4,34,50,300.7601623535156,1640.41943359375,300.7601623535156,STANDARD,0.0,2018-01-01,0,5,0.06128696724772453
12,R_A4,34,50,300.635498046875,1638.5601806640625,300.635498046875,STANDARD,0.0,2018-01-01,0,4,0.07643696665763855
13,R_A4,35,50,300.8116149902344,1641.1866455078125,300.8116149902344,STANDARD,0.0,2018-01-01,0,4,0.07899025082588196
14,R_A4,35,50,300.6920166015625,1639.4031982421875,300.6920166015625,STANDARD,0.0,2018-01-01,0,3,0.19552600383758545
15,R_A4,35,49,300.9502258300781,1643.25390625,300.9502258300781,STANDARD,0.0,2018-01-01,0,3,0.13403016328811646
16,R_A4,35,49,300.82843017578125,1641.4375,300.82843017578125,STANDARD,0.0,2018-01-01,0,2,0.22649751603603363
17,R_A4,36,49,300.8593444824219,1641.898681640625,300.8593444824219,STANDARD,0.0,2018-01-01,0,28,0.3610534965991974
18,R_A4,36,48,300.69244384765625,1639.409423828125,300.69244384765625,STANDARD,0.0,2018-01-01,0,28,0.054364219307899475
19,R_A4,37,48,301.2967224121094,1648.4208984375,301.2967224121094,STANDARD,0.0,2018-01-01,0,28,1.0
20,R_A4,37,48,300.9140625,1642.7147216796875,300.9140625,STANDARD,0.0,2018-01-01,0,27,0.21899747848510742
21,R_A4,38,48,301.3913269042969,1649.831787109375,301.3913269042969,STANDARD,0.0,2018-01-01,0,27,0.05628316476941109
22,R_A4,38,47,301.7365417480469,1654.9788818359375,301.7365417480469,STANDARD,0.0,2018-01-01,0,27,0.06268332153558731
1,R_A5,31,20,303.962646484375,1686.2777099609375,303.962646484375,STANDARD,0.0,2018-01-01,0,1,1.0
2,R_A5,31,20,304.1789855957031,1688.5606689453125,304.1789855957031,STANDARD,0.0,2018-01-01,0,2,1.0
3,R_A5,31,20,304.39532470703125,1690.8436279296875,304.39532470703125,STANDARD,0.0,2018-01-01,0,3,1.0
4,R_A5,31,20,304.6116638183594,1693.1265869140625,304.6116638183594,STANDARD,0.0,2018-01-01,0,4,1.0
5,R_A5,31,20,304.8280334472656,1695.409423828125,304.8280334472656,STANDARD,0.0,2018-01-01,0,5,1.0
6,R_A5,31,20,305.04437255859375,1697.6923828125,305.04437255859375,STANDARD,0.0,2018-01-01,0,6,1.0
7,R_A5,31,20,305.5664978027344,1699.975341796875,305.5664978027344,STANDARD,0.0,2018-01-01,0,7,1.0
8,R_A5,31,20,305.7828674316406,1702.25830078125,305.7828674316406,STANDARD,0.0,2018-01-01,0,8,1.0
9,R_A5,31,21,305.1525573730469,1698.8328857421875,305.1525573730469,STANDARD,0.0,2018-01-01,0,11,1.0
10,R_A5,31,21,305.3446350097656,1700.859619140625,305.3446350097656,STANDARD,0.0,2018-01-01,0,12,1.0
11,R_A5,31,21,305.5486755371094,1702.88623046875,305.5486755371094,STANDARD,0.0,2018-01-01,0,13,1.0
