WELL,CONIPOS,CONJPOS,SGAS,DEPTH,SWAT,DATE,CONKPOS,DRAWDOWN,WELLMODEL,CONBPRES,PRESSURE,CONIDX
R_A2,22,30,0.0,1641.34765625,0.14656493067741394,2018-01-01,1,0,STANDARD,300.7347717285156,300.7347717285156,1
R_A2,22,30,0.0,1643.1402587890625,0.057149436324834824,2018-01-01,2,0,STANDARD,300.8549499511719,300.8549499511719,2
R_A2,22,30,0.0,1644.9327392578125,0.06121055781841278,2018-01-01,3,0,STANDARD,300.97515869140625,300.97515869140625,3
R_A2,22,30,0.0,1646.725341796875,0.06547041982412338,2018-01-01,4,0,STANDARD,301.0953674316406,301.0953674316406,4
R_A2,22,30,0.0,1648.5179443359375,0.06967854499816895,2018-01-01,5,0,STANDARD,301.215576171875,301.215576171875,5
R_A2,22,30,0.0,1650.3104248046875,0.1645372062921524,2018-01-01,6,0,STANDARD,301.3357849121094,301.3357849121094,6
R_A2,22,30,0.0,1652.10302734375,0.6555829644203186,2018-01-01,7,0,STANDARD,301.4560241699219,301.4560241699219,7
R_A2,22,30,0.0,1653.8956298828125,0.8686084747314453,2018-01-01,8,0,STANDARD,301.57623291015625,301.57623291015625,8
R_A2,22,30,0.0,1655.6881103515625,0.8859223127365112,2018-01-01,9,0,STANDARD,301.6964416503906,301.6964416503906,9
R_A2,22,30,0.0,1657.480712890625,0.9033023118972778,2018-01-01,10,0,STANDARD,301.8166809082031,301.8166809082031,10
R_A2,22,30,0.0,1659.33642578125,0.07334728538990021,2018-01-01,11,0,STANDARD,301.941162109375,301.941162109375,11
R_A2,22,30,0.0,1661.2550048828125,0.07529354840517044,2018-01-01,12,0,STANDARD,302.0698547363281,302.0698547363281,12
R_A2,22,30,0.0,1663.1737060546875,0.4285558760166168,2018-01-01,13,0,STANDARD,302.19854736328125,302.19854736328125,13
R_A2,22,30,0.0,1665.09228515625,0.48538118600845337,2018-01-01,14,0,STANDARD,302.3272399902344,302.3272399902344,14
R_A2,22,30,0.0,1667.010986328125,0.5367001295089722,2018-01-01,15,0,STANDARD,302.4559326171875,302.4559326171875,15
R_A2,22,29,0.0,1665.14599609375,0.6256756782531738,2018-01-01,15,0,STANDARD,302.3308410644531,302.3308410644531,16
R_A2,22,29,0.0,1667.1676025390625,0.9552024006843567,2018-01-01,16,0,STANDARD,302.4664611816406,302.4664611816406,17
R_A2,22,29,0.0,1669.189208984375,0.9380548000335693,2018-01-01,17,0,STANDARD,302.6020812988281,302.6020812988281,18
R_A2,22,29,0.0,1671.2108154296875,0.9285220503807068,2018-01-01,18,0,STANDARD,302.7376708984375,302.7376708984375,19
R_A2,22,29,0.0,1672.737548828125,0.9815710783004761,2018-01-01,19,0,STANDARD,302.8401184082031,302.8401184082031,20
R_A2,22,29,0.0,1674.1622314453125,1.0,2018-01-01,26,0,STANDARD,302.9356994628906,302.9356994628906,21
R_A2,22,29,0.0,1675.9798583984375,1.0,2018-01-01,27,0,STANDARD,303.0576477050781,303.0576477050781,22
R_A2,22,29,0.0,1677.7974853515625,1.0,2018-01-01,28,0,STANDARD,303.1795959472656,303.1795959472656,23
R_A2,22,29,0.0,1679.615234375,1.0,2018-01-01,29,0,STANDARD,303.6370849609375,303.6370849609375,24
R_A2,22,29,0.0,1681.432861328125,1.0,2018-01-01,30,0,STANDARD,303.809326171875,303.809326171875,25
R_A3,28,41,0.0,1611.2001953125,0.6481541991233826,2018-01-01,1,0,STANDARD,298.7137756347656,298.7137756347656,1
R_A3,28,41,0.0,1613.26123046875,0.19665367901325226,2018-01-01,2,0,STANDARD,298.8518981933594,298.8518981933594,2
