DATE,WELL,DRAWDOWN,CONBPRES,PRESSURE,SGAS,CONIDX,WELLMODEL,CONIPOS,CONKPOS,SWAT,DEPTH,CONJPOS
2018-01-01,R_A2,0,300.60992431640625,300.60992431640625,0.0,1,STANDARD,22,1,0.056992437690496445,1640.14990234375,30
2018-01-01,R_A2,0,300.72833251953125,300.72833251953125,0.0,2,STANDARD,22,2,0.05781899765133858,1641.9156494140625,30
2018-01-01,R_A2,0,300.84674072265625,300.84674072265625,0.0,3,STANDARD,22,3,0.06042490527033806,1643.6815185546875,30
2018-01-01,R_A2,0,300.96514892578125,300.96514892578125,0.0,4,STANDARD,22,4,0.06546162068843842,1645.447265625,30
2018-01-01,R_A2,0,301.08355712890625,301.08355712890625,0.0,5,STANDARD,22,5,0.0676688402891159,1647.213134765625,30
2018-01-01,R_A2,0,301.20196533203125,301.20196533203125,0.0,6,STANDARD,22,6,0.30949667096138,1648.9788818359375,30
2018-01-01,R_A2,0,301.3204040527344,301.3204040527344,0.0,7,STANDARD,22,7,0.8926514387130737,1650.7447509765625,30
2018-01-01,R_A2,0,301.4388122558594,301.4388122558594,0.0,8,STANDARD,22,8,0.8566043972969055,1652.510498046875,30
2018-01-01,R_A2,0,301.5572509765625,301.5572509765625,0.0,9,STANDARD,22,9,0.9046134948730469,1654.2762451171875,30
2018-01-01,R_A2,0,301.6756591796875,301.6756591796875,0.0,10,STANDARD,22,10,0.902202844619751,1656.0421142578125,30
2018-01-01,R_A2,0,301.8052062988281,301.8052062988281,0.0,11,STANDARD,22,11,0.07435978204011917,1657.9735107421875,30
2018-01-01,R_A2,0,301.94586181640625,301.94586181640625,0.0,12,STANDARD,22,12,0.06746728718280792,1660.0706787109375,30
2018-01-01,R_A2,0,302.0865478515625,302.0865478515625,0.0,13,STANDARD,22,13,0.44853898882865906,1662.1678466796875,30
2018-01-01,R_A2,0,302.2272033691406,302.2272033691406,0.0,14,STANDARD,22,14,0.5144988298416138,1664.2650146484375,30
