Surface,Well,x,y,TVD,NewTVD,DeltaTVD,TravelTime,MD,FaultBlock,FromZoneLog,Duplicate,Conflict,AddUncertWP,AddUncertOL,Pinchout,LevPoint,Outlier,Deleted,PriorTrend,EstimTrend,PostTrend,SimTrend,PriorTrendSD,EstimTrendSD,PostTrendSD,TrendUncertRed,SpecPickTVD-SD,PickTVD-SD,TVD-SD,Residual,ResidualSD,TotSD,Mismatch,h,t-value,t-Student
TopUpperReek,OP_1,462584.00,5934072.85,1598.72,-,-,-,2231.26,-,1,-,-,-,-,-,-,-,-,1595.449082,-,1599.663723,-,159.544908,-,1.628131,98.98%,0.000000,0.000000,0.000000,-0.947323,4.000000,4.318658,-0.000000,-,0.24,-
TopUpperReek,OP_2,460300.03,5935743.91,1628.55,-,-,-,3857.54,-,1,-,-,-,-,-,-,-,-,1625.347888,-,1629.641512,-,162.534789,-,1.658642,98.98%,0.000000,0.000000,0.000000,-1.087512,4.000000,4.330253,0.000000,-,0.27,-
TopUpperReek,OP_3,464009.22,5931756.41,1630.66,-,-,-,3404.81,-,1,-,-,-,-,-,-,-,-,1627.421557,-,1631.720658,-,162.742156,-,1.660758,98.98%,0.000000,0.000000,0.000000,-1.056858,4.000000,4.331064,0.000000,-,0.26,-
TopUpperReek,OP_4,461288.78,5933414.95,1643.31,-,-,-,1807.82,-,1,-,-,-,-,-,-,-,-,1640.257920,-,1644.590930,-,164.025792,-,1.673858,98.98%,0.000000,0.000000,0.000000,-1.276330,4.000000,4.336104,0.000000,-,0.32,-
TopUpperReek,OP_5,462749.37,5932898.51,1605.02,-,-,-,1930.12,-,1,-,-,-,-,-,-,-,-,1601.819351,-,1606.050819,-,160.181935,-,1.634632,98.98%,0.000000,0.000000,0.000000,-1.033619,4.000000,4.321113,0.000000,-,0.26,-
TopUpperReek,OP_6,463316.17,5933082.59,1577.93,-,-,-,2371.09,-,1,-,-,-,-,-,-,-,-,1571.117801,-,1575.268166,-,157.111780,-,1.603301,98.98%,0.000000,0.000000,0.000000,2.657234,4.000000,4.309359,-0.000000,-,0.66,-
TopMidReek,OP_1,462583.44,5934070.08,1613.19,-,-,-,2246.01,-,1,-,-,-,-,-,-,-,-,1609.621713,-,1614.568152,-,159.541690,-,1.911985,98.80%,0.000000,0.000000,0.000000,-1.377552,5.656854,5.971238,0.000000,-,0.24,-
TopMidReek,OP_2,460297.09,5935748.98,1643.43,-,-,-,3873.54,-,1,-,-,-,-,-,-,-,-,1640.264161,-,1645.283377,-,162.622456,-,1.931588,98.81%,0.000000,0.000000,0.000000,-1.848677,5.656854,5.977544,0.000000,-,0.33,-
TopMidReek,OP_3,464010.49,5931756.79,1645.67,-,-,-,3419.88,-,1,-,-,-,-,-,-,-,-,1642.624333,-,1647.702532,-,162.751051,-,1.975720,98.79%,0.000000,0.000000,0.000000,-2.028932,5.656854,5.991950,0.000000,-,0.36,-
TopMidReek,OP_4,461288.69,5933415.02,1656.95,-,-,-,1821.46,-,1,-,-,-,-,-,-,-,-,1653.721904,-,1658.745635,-,164.031419,-,1.919629,98.83%,0.000000,0.000000,0.000000,-1.792835,5.656854,5.973690,0.000000,-,0.32,-
