Well,MD,x,y,TVD,Block,Deactivated,IsochoreThicknessTrend,IsochoreThickness,DistanceToTop,TopUncertainty(SD),Top-t-value,ConstraintNeededForTop,ConstraintLostForTop,DistanceToBase,BaseUncertainty(SD),Base-t-value,ConstraintNeededForBase,ConstraintLostForBase,ZoneReportedInWell,ZoneCalculated,ZoneMatch
OP_1,0.00,461809.59,5932990.36,0.00,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1657.42,4.34,382.10, N,N,0,0,Y
OP_1,36.05,461817.80,5933001.94,33.13,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1623.76,4.34,374.51, N,N,0,0,Y
OP_1,99.31,461832.29,5933022.37,91.22,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1564.80,4.33,361.28, N,N,0,0,Y
OP_1,161.76,461846.82,5933042.84,148.41,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1506.73,4.33,347.78, N,N,0,0,Y
OP_1,222.72,461861.35,5933063.30,203.97,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1450.22,4.33,334.95, N,N,0,0,Y
OP_1,282.07,461875.95,5933083.84,257.70,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1395.58,4.33,322.34, N,N,0,0,Y
OP_1,339.19,461890.57,5933104.38,308.95,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1343.55,4.33,310.26, N,N,0,0,Y
OP_1,393.51,461905.09,5933124.77,357.16,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1294.76,4.33,298.94, N,N,0,0,Y
OP_1,445.56,461919.71,5933145.24,402.72,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1248.81,4.33,288.10, N,N,0,0,Y
OP_1,494.83,461934.26,5933165.62,445.15,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1206.37,4.34,278.26, N,N,0,0,Y
OP_1,541.87,461948.92,5933186.11,484.88,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1166.91,4.34,268.93, N,N,0,0,Y
OP_1,586.26,461963.52,5933206.48,521.52,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1130.66,4.34,260.59, N,N,0,0,Y
OP_1,628.56,461978.19,5933226.93,555.50,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1097.13,4.34,252.83, N,N,0,0,Y
OP_1,668.84,461992.93,5933247.44,586.88,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1066.30,4.34,245.72, N,N,0,0,Y
OP_1,707.21,462007.71,5933267.99,615.72,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1038.17,4.34,239.22, N,N,0,0,Y
OP_1,743.76,462022.49,5933288.53,642.08,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1012.62,4.34,233.31, N,N,0,0,Y
OP_1,778.58,462037.26,5933309.01,666.05,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,989.40,4.34,227.95, N,N,0,0,Y
OP_1,811.78,462051.97,5933329.39,687.73,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,968.33,4.34,223.08, N,N,0,0,Y
OP_1,843.89,462066.78,5933349.91,707.49,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,949.09,4.34,218.64, N,N,0,0,Y
OP_1,874.55,462081.47,5933370.23,725.14,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,931.76,4.34,214.64, N,N,0,0,Y
OP_1,904.30,462096.21,5933390.59,741.04,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,916.00,4.34,211.01, N,N,0,0,Y
OP_1,933.20,462110.97,5933410.98,755.24,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,901.34,4.34,207.64, N,N,0,0,Y
OP_1,961.32,462125.72,5933431.34,767.82,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,886.27,4.34,204.21, N,N,0,0,Y
OP_1,988.72,462140.44,5933451.64,778.87,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,865.30,4.34,199.56, N,N,0,0,Y
OP_1,1015.61,462155.17,5933471.94,788.54,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,844.45,4.33,194.95, N,N,0,0,Y
OP_1,1042.40,462170.04,5933492.46,797.25,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,826.13,4.32,191.24, N,N,0,0,Y
OP_1,1069.03,462184.92,5933513.04,805.24,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,808.89,4.30,188.18, N,N,0,0,Y
OP_1,1095.47,462199.74,5933533.61,812.79,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,792.47,4.27,185.45, N,N,0,0,Y
OP_1,1121.72,462214.41,5933554.09,820.13,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,778.14,4.24,183.32, N,N,0,0,Y
OP_1,1148.24,462229.18,5933574.81,827.63,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,766.43,4.21,181.89, N,N,0,0,Y
OP_1,1174.53,462243.68,5933595.33,835.34,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,757.54,4.18,181.23, N,N,0,0,Y
OP_1,1201.21,462258.22,5933616.10,843.65,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,748.72,4.14,180.78, N,N,0,0,Y
OP_1,1227.89,462272.57,5933636.77,852.53,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,739.29,4.10,180.37, N,N,0,0,Y
OP_1,1254.80,462286.83,5933657.49,862.07,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,729.16,4.05,179.99, N,N,0,0,Y
OP_1,1281.89,462300.99,5933678.22,872.26,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,718.34,4.00,179.64, N,N,0,0,Y
OP_1,1309.14,462315.03,5933698.91,883.10,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,706.91,3.94,179.36, N,N,0,0,Y
