
Surface                PriorRes           PostRes           SpecRes            TotRes       RelPriorRes        RelPostRes  RelPriorTrendErr   RelPostTrendErr
-------------------------------------------------------------------------------------------------------------------------------------------------------------
MSL                       -                  -                 -                 -               -                 -              -                  -       
TopUpperReek         4.02863906        1.46942899        4.00000000        4.26136382        0.97028300        0.38939492        3.17237647        0.32047039
TopMidReek           6.22147063        3.49789493        5.65685425        6.65096000        1.01279249        0.62370321        2.24220791        0.24637664
TopLowerReek         3.17182053        1.94394180        6.92820323        7.19575637        0.45781286        0.28058383        1.83624873        0.21546748
BaseLowerReek        3.20063280        1.90436642        8.00000000        8.22354008        0.40007910        0.23804580        1.59031164        0.19465328
Overall              4.51975833        2.42836336        6.18553713        6.64513492        0.66700108        0.38204581        2.33201547        0.25218165
