Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:23:06
Grid model name			: Simgrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       241341940.98         34908565.42         24165678.77         15198539.86
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  241341940.98         34908565.42         24165678.77         15198539.86
MidReek    1                       175870731.95         29690031.86         21893169.03         13769288.46
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  175870731.95         29690031.86         21893169.03         13769288.46
LowerReek  1                        97811697.25         18717126.10         14485813.28          9110574.24
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                   97811697.25         18717126.10         14485813.28          9110574.24
Totals     1                       515024370.17         83315723.38         60544661.08         38078402.57
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  515024370.17         83315723.38         60544661.08         38078402.57
