Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:23:06
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       241382049.26         34884099.32         24347907.07         15313148.84
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  241382049.26         34884099.32         24347907.07         15313148.84
MidReek    1                       175847540.38         29715501.04         22080464.30         13887084.24
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  175847540.38         29715501.04         22080464.30         13887084.24
LowerReek  1                        97800116.59         18717756.97         14616184.93          9192568.98
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                   97800116.59         18717756.97         14616184.93          9192568.98
Totals     1                       515029706.22         83317357.33         61044556.30         38392802.07
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  515029706.22         83317357.33         61044556.30         38392802.07
