SGAS,CONKPOS,DATE,CONBPRES,PRESSURE,CONIPOS,DEPTH,SWAT,WELLMODEL,CONIDX,CONJPOS,DRAWDOWN,WELL
0.0,1,2018-01-01,300.7494812011719,300.7494812011719,22,1640.384033203125,0.051743391901254654,STANDARD,1,30,0,R_A2
0.0,2,2018-01-01,300.8683776855469,300.8683776855469,22,1642.1571044921875,0.05587060749530792,STANDARD,2,30,0,R_A2
0.0,3,2018-01-01,300.9872741699219,300.9872741699219,22,1643.9302978515625,0.05747734382748604,STANDARD,3,30,0,R_A2
0.0,4,2018-01-01,301.106201171875,301.106201171875,22,1645.703369140625,0.06320483237504959,STANDARD,4,30,0,R_A2
0.0,5,2018-01-01,301.22509765625,301.22509765625,22,1647.4764404296875,0.0657573863863945,STANDARD,5,30,0,R_A2
0.0,6,2018-01-01,301.343994140625,301.343994140625,22,1649.2496337890625,0.29245859384536743,STANDARD,6,30,0,R_A2
0.0,7,2018-01-01,301.4629211425781,301.4629211425781,22,1651.0228271484375,0.8708190321922302,STANDARD,7,30,0,R_A2
0.0,8,2018-01-01,301.58184814453125,301.58184814453125,22,1652.7958984375,0.858181893825531,STANDARD,8,30,0,R_A2
0.0,9,2018-01-01,301.70074462890625,301.70074462890625,22,1654.5689697265625,0.8759550452232361,STANDARD,9,30,0,R_A2
0.0,10,2018-01-01,301.8196716308594,301.8196716308594,22,1656.3421630859375,0.8785045742988586,STANDARD,10,30,0,R_A2
0.0,11,2018-01-01,301.9476318359375,301.9476318359375,22,1658.249755859375,0.06914187967777252,STANDARD,11,30,0,R_A2
0.0,12,2018-01-01,302.0845947265625,302.0845947265625,22,1660.291748046875,0.06595419347286224,STANDARD,12,30,0,R_A2
0.0,13,2018-01-01,302.2215881347656,302.2215881347656,22,1662.3338623046875,0.417572945356369,STANDARD,13,30,0,R_A2
0.0,14,2018-01-01,302.3585510253906,302.3585510253906,22,1664.3758544921875,0.4680713415145874,STANDARD,14,30,0,R_A2
0.0,15,2018-01-01,302.49554443359375,302.49554443359375,22,1666.4178466796875,0.9066556692123413,STANDARD,15,30,0,R_A2
0.0,16,2018-01-01,302.63250732421875,302.63250732421875,22,1668.4599609375,0.9218873977661133,STANDARD,16,30,0,R_A2
0.0,17,2018-01-01,302.7695007324219,302.7695007324219,22,1670.501953125,0.8724081516265869,STANDARD,17,30,0,R_A2
