DATE,WELL,WBHP,WBP,WBP4,WBP9,WGIR,WGIRH,WGIT,WGITH,WGLIR,WGOR,WGORH,WGPR,WGPRH,WGPT,WGPTH,WLPR,WMCTL,WOGLR,WOPR,WOPRH,WOPT,WOPTH,WPI,WTHP,WVPR,WWCT,WWCTH,WWIR,WWIRH,WWIT,WWITH,WWPR,WWPRH,WWPT,WWPTH
2000-03-01,OP_1,291.3840026855469,293.9775085449219,294.8808288574219,294.5331115722656,0.0,0.0,0.0,0.0,0.0,184.0,184.0328826904297,710640.6875,710735.0,20608576.0,20611316.0,3862.2939453125,5.0,0.0,3862.177734375,3862.0,112003.125,111998.0,1507.3994140625,0.0,6171.93115234375,3.007151826750487e-05,0.0,0.0,0.0,0.0,0.0,0.1161450445652008,0.0,3.399674415588379,0.0
2000-03-01,OP_2,279.3988952636719,287.4508361816406,290.51177978515625,289.1531982421875,0.0,0.0,0.0,0.0,0.0,184.0,184.0321044921875,689689.0625,702266.5,20272288.0,20365728.0,3853.574951171875,5.0,0.0,3748.31005859375,3816.0,110175.4765625,110664.0,466.61651611328125,0.0,6098.408203125,0.027316156774759293,0.0,0.0,0.0,0.0,0.0,105.26485443115234,0.0,767.7529296875,0.0
2000-03-01,OP_3,289.4113464355469,294.5779113769531,295.967041015625,295.3562927246094,0.0,0.0,0.0,0.0,0.0,184.0,184.00311279296875,710594.0625,710620.0,20607230.0,20607980.0,3862.07861328125,5.0,0.0,3861.924072265625,3862.0,111995.8203125,111998.0,758.1200561523438,0.0,6171.5654296875,3.997136445832439e-05,0.0,0.0,0.0,0.0,0.0,0.15437255799770355,0.0,4.448655128479004,0.0
2000-03-01,OP_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-01,OP_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-01,WI_1,344.1421203613281,325.0925598144531,318.82171630859375,321.50494384765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,253.59132385253906,0.0,0.0,0.0,0.0,4827.0,4827.0,139983.0,139983.0,0.0,0.0,0.0,0.0
2000-03-01,WI_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-01,WI_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-01,OP_1,284.7106628417969,287.37164306640625,288.30059814453125,287.9434509277344,0.0,0.0,0.0,0.0,0.0,184.0,184.0294952392578,736028.8125,736118.0,43425468.0,43430972.0,4000.2783203125,5.0,0.0,4000.15673828125,4000.0,236007.984375,235998.0,1522.5477294921875,0.0,6403.64892578125,3.037707574549131e-05,0.0,0.0,0.0,0.0,0.0,0.12151674926280975,0.0,7.151220798492432,0.0
2000-04-01,OP_2,277.4559326171875,285.7198486328125,287.8623046875,286.9036865234375,0.0,0.0,0.0,0.0,0.0,184.0,184.04443359375,382565.75,415619.8125,32775984.0,33249942.0,2504.10205078125,5.0,0.0,2079.16162109375,2258.258056640625,178130.34375,180670.0,251.15411376953125,0.0,3766.724853515625,0.16969768702983856,0.06100277230143547,0.0,0.0,0.0,0.0,424.9403076171875,146.70970153808594,8507.609375,4548.0009765625
2000-04-01,OP_3,282.38140869140625,287.6820068359375,289.105712890625,288.4797668457031,0.0,0.0,0.0,0.0,0.0,184.0,184.04576110839844,735862.875,735999.0,43418992.0,43423948.0,3999.424560546875,5.0,0.0,3999.254638671875,3999.0,235972.796875,235967.0,765.7459106445312,0.0,6402.2548828125,4.249178527970798e-05,0.0,0.0,0.0,0.0,0.0,0.1699426919221878,0.0,9.589140892028809,0.0
2000-04-01,OP_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-01,OP_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-01,WI_1,339.4225158691406,319.6848449707031,313.1833801269531,315.96331787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,253.5294952392578,0.0,0.0,0.0,0.0,5000.0,5000.0,294983.0,294983.0,0.0,0.0,0.0,0.0
2000-04-01,WI_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-01,WI_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-01,OP_1,279.2921142578125,281.9311828613281,282.8540954589844,282.4996032714844,0.0,0.0,0.0,0.0,0.0,184.0,184.0294952392578,736028.75,736118.0,65506332.0,65514512.0,4000.278564453125,5.0,0.0,4000.156005859375,4000.0,356012.6875,355998.0,1535.37109375,0.0,6413.29150390625,3.06227411783766e-05,0.0,0.0,0.0,0.0,0.0,0.1224995031952858,0.0,10.814066886901855,0.0
2000-05-01,OP_2,276.35791015625,282.942626953125,284.5591735839844,283.83795166015625,0.0,0.0,0.0,0.0,0.0,184.0,184.08755493164062,254442.28125,223402.59375,40626208.0,39952020.0,1829.1798095703125,5.0,0.0,1382.8385009765625,1213.5670166015625,220794.609375,217077.015625,208.95535278320312,0.0,2677.56298828125,0.2440117597579956,0.3687668442726135,0.0,0.0,0.0,0.0,446.34136962890625,708.9666748046875,20071.669921875,25817.001953125
2000-05-01,OP_3,276.7950439453125,282.05401611328125,283.4653625488281,282.8447570800781,0.0,0.0,0.0,0.0,0.0,184.0,184.01475524902344,736000.5,736059.0,65499020.0,65505720.0,4000.180908203125,5.0,0.0,4000.002685546875,4000.0,355972.9375,355967.0,772.0684814453125,0.0,6413.10302734375,4.456406531971879e-05,0.0,0.0,0.0,0.0,0.0,0.1782643347978592,0.0,14.83297348022461,0.0
2000-05-01,OP_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-01,OP_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-01,WI_1,334.0386657714844,314.29620361328125,307.79156494140625,310.57220458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,253.46788024902344,0.0,0.0,0.0,0.0,5000.0,5000.0,444983.0,444983.0,0.0,0.0,0.0,0.0
