CONBPRES,DEPTH,WELL,CONJPOS,CONIPOS,PRESSURE,WELLMODEL,CONKPOS,SWAT,DRAWDOWN,CONIDX,SGAS,DATE
300.6733093261719,1641.094970703125,R_A2,30,22,300.6733093261719,STANDARD,1,0.05659883841872215,0,1,0.0,2018-01-01
300.7936096191406,1642.8890380859375,R_A2,30,22,300.7936096191406,STANDARD,2,0.057897210121154785,0,2,0.0,2018-01-01
300.9139099121094,1644.68310546875,R_A2,30,22,300.9139099121094,STANDARD,3,0.06060889735817909,0,3,0.0,2018-01-01
301.0342102050781,1646.4771728515625,R_A2,30,22,301.0342102050781,STANDARD,4,0.06530755013227463,0,4,0.0,2018-01-01
301.1545104980469,1648.2713623046875,R_A2,30,22,301.1545104980469,STANDARD,5,0.06916967034339905,0,5,0.0,2018-01-01
301.27484130859375,1650.0654296875,R_A2,30,22,301.27484130859375,STANDARD,6,0.3080350458621979,0,6,0.0,2018-01-01
301.3951721191406,1651.859619140625,R_A2,30,22,301.3951721191406,STANDARD,7,0.8966805338859558,0,7,0.0,2018-01-01
301.5154724121094,1653.6536865234375,R_A2,30,22,301.5154724121094,STANDARD,8,0.8801488876342773,0,8,0.0,2018-01-01
301.63580322265625,1655.44775390625,R_A2,30,22,301.63580322265625,STANDARD,9,0.9076734781265259,0,9,0.0,2018-01-01
301.7561340332031,1657.2418212890625,R_A2,30,22,301.7561340332031,STANDARD,10,0.9077416062355042,0,10,0.0,2018-01-01
301.88323974609375,1659.1368408203125,R_A2,30,22,301.88323974609375,STANDARD,11,0.07622610777616501,0,11,0.0,2018-01-01
302.01708984375,1661.132568359375,R_A2,30,22,302.01708984375,STANDARD,12,0.08180969953536987,0,12,0.0,2018-01-01
302.1509704589844,1663.12841796875,R_A2,30,22,302.1509704589844,STANDARD,13,0.4750072658061981,0,13,0.0,2018-01-01
302.28485107421875,1665.1241455078125,R_A2,30,22,302.28485107421875,STANDARD,14,0.512985348701477,0,14,0.0,2018-01-01
302.4187316894531,1667.1199951171875,R_A2,30,22,302.4187316894531,STANDARD,15,0.679781973361969,0,15,0.0,2018-01-01
302.5526123046875,1669.11572265625,R_A2,30,22,302.5526123046875,STANDARD,16,0.9705216884613037,0,16,0.0,2018-01-01
302.6864929199219,1671.111572265625,R_A2,30,22,302.6864929199219,STANDARD,17,0.9569120407104492,0,17,0.0,2018-01-01
302.8123779296875,1672.9881591796875,R_A2,30,22,302.8123779296875,STANDARD,18,0.9819161295890808,0,18,0.0,2018-01-01
302.89569091796875,1674.229736328125,R_A2,29,22,302.89569091796875,STANDARD,18,0.9946486949920654,0,19,0.0,2018-01-01
303.02569580078125,1676.1676025390625,R_A2,29,22,303.02569580078125,STANDARD,27,1.0,0,20,0.0,2018-01-01
303.47802734375,1677.9368896484375,R_A2,29,22,303.47802734375,STANDARD,28,1.0,0,21,0.0,2018-01-01
303.64569091796875,1679.7061767578125,R_A2,29,22,303.64569091796875,STANDARD,29,1.0,0,22,0.0,2018-01-01
303.8133544921875,1681.4754638671875,R_A2,29,22,303.8133544921875,STANDARD,30,1.0,0,23,0.0,2018-01-01
303.98101806640625,1683.2447509765625,R_A2,29,22,303.98101806640625,STANDARD,31,1.0,0,24,0.0,2018-01-01
298.53814697265625,1609.243408203125,R_A3,41,28,298.53814697265625,STANDARD,1,0.6481541991233826,0,1,0.0,2018-01-01
298.676513671875,1611.3077392578125,R_A3,41,28,298.676513671875,STANDARD,2,0.1989089697599411,0,2,0.0,2018-01-01
298.8148498535156,1613.3720703125,R_A3,41,28,298.8148498535156,STANDARD,3,0.19339895248413086,0,3,0.0,2018-01-01
298.9532165527344,1615.4365234375,R_A3,41,28,298.9532165527344,STANDARD,4,0.3768196403980255,0,4,0.0,2018-01-01
299.0915832519531,1617.5008544921875,R_A3,41,28,299.0915832519531,STANDARD,5,0.6481541991233826,0,5,0.0,2018-01-01
299.2299499511719,1619.565185546875,R_A3,41,28,299.2299499511719,STANDARD,6,0.11064504086971283,0,6,0.0,2018-01-01
298.54638671875,1609.3663330078125,R_A3,41,29,298.54638671875,STANDARD,6,0.2853010296821594,0,7,0.0,2018-01-01
298.68377685546875,1611.4163818359375,R_A3,41,29,298.68377685546875,STANDARD,7,0.1971457451581955,0,8,0.0,2018-01-01
298.8211669921875,1613.46630859375,R_A3,41,29,298.8211669921875,STANDARD,8,0.19843679666519165,0,9,0.0,2018-01-01
298.95855712890625,1615.516357421875,R_A3,41,29,298.95855712890625,STANDARD,9,0.6858067512512207,0,10,0.0,2018-01-01
299.095947265625,1617.5662841796875,R_A3,41,29,299.095947265625,STANDARD,10,0.6481541991233826,0,11,0.0,2018-01-01
299.24237060546875,1619.750732421875,R_A3,41,29,299.24237060546875,STANDARD,11,0.0510573647916317,0,12,0.0,2018-01-01
