FIPNUM,STOIIP_OIL,ASSOCIATEDOIL_GAS,STOIIP_TOTAL,WIIP_TOTAL,GIIP_GAS,ASSOCIATEDGAS_OIL,GIIP_TOTAL,PORV_TOTAL,HCPV_OIL,WATPV_TOTAL,HCPV_GAS,HCPV_TOTAL,REGION,ZONE
1,1411273.0,0.0,1411273.0,82797151.0,0.0,198735510.0,198735510.0,87641316.0,2024015.0,85617300.0,0.0,2024015.0,WestLowland,Valysar
2,6014344.0,0.0,6014344.0,16145310.0,-0.0,846939909.0,846939909.0,25319305.0,8622838.0,16696466.0,0.0,8622838.0,CentralSouth,Valysar
3,2795775.0,0.0,2795775.0,11414755.0,0.0,393701098.0,393701098.0,15811569.0,4008472.0,11803097.0,0.0,4008472.0,CentralNorth,Valysar
4,229074.0,87101.0,316175.0,2851690.0,569151028.0,44882476.0,614033504.0,5772330.0,372976.0,2949442.0,2449911.0,2822888.0,NorthHorst,Valysar
5,996013.0,0.0,996013.0,890635.0,0.0,140258545.0,140258545.0,2349853.0,1428615.0,921238.0,0.0,1428615.0,CentralRamp,Valysar
6,7748085.0,0.0,7748085.0,5912636.0,0.0,1091085378.0,1091085378.0,17231072.0,11115283.0,6115789.0,0.0,11115283.0,CentralHorst,Valysar
7,121085.0,0.0,121085.0,36890717.0,0.0,17051210.0,17051210.0,38306005.0,173625.0,38132380.0,0.0,173625.0,EastLowland,Valysar
8,618236.0,0.0,618236.0,104227821.0,0.0,87059950.0,87059950.0,108665008.0,886573.0,107778435.0,0.0,886573.0,WestLowland,Therys
9,437493.0,0.0,437493.0,5942001.0,-0.0,61607709.0,61607709.0,6772195.0,627097.0,6145098.0,0.0,627097.0,CentralSouth,Therys
10,1159090.0,0.0,1159090.0,12344709.0,0.0,163223034.0,163223034.0,14425706.0,1661612.0,12764094.0,0.0,1661612.0,CentralNorth,Therys
11,220452.0,52200.0,272651.0,4015333.0,339532683.0,43193064.0,382725748.0,5972055.0,358953.0,4152702.0,1460399.0,1819353.0,NorthHorst,Therys
12,811985.0,0.0,811985.0,459726.0,0.0,114343767.0,114343767.0,1639827.0,1164334.0,475493.0,0.0,1164334.0,CentralRamp,Therys
13,3899481.0,0.0,3899481.0,4401074.0,0.0,549124863.0,549124863.0,10144626.0,5592899.0,4551727.0,0.0,5592899.0,CentralHorst,Therys
14,0.0,0.0,0.0,19820329.0,0.0,0.0,0.0,20483170.0,0.0,20483170.0,0.0,0.0,EastLowland,Therys
15,51707.0,0.0,51707.0,79266678.0,0.0,7281367.0,7281367.0,82031136.0,74150.0,81956986.0,0.0,74150.0,WestLowland,Volon
16,2102255.0,0.0,2102255.0,34233425.0,-0.0,296039588.0,296039588.0,38412091.0,3013456.0,35398635.0,0.0,3013456.0,CentralSouth,Volon
17,148225.0,0.0,148225.0,6347853.0,0.0,20873052.0,20873052.0,6775838.0,212444.0,6563393.0,0.0,212444.0,CentralNorth,Volon
18,215690.0,34477.0,250166.0,1554741.0,223261389.0,42260111.0,265521501.0,2918586.0,351197.0,1607792.0,959597.0,1310794.0,NorthHorst,Volon
19,1043710.0,0.0,1043710.0,1127881.0,0.0,146975268.0,146975268.0,2662740.0,1496203.0,1166537.0,0.0,1496203.0,CentralRamp,Volon
20,7165643.0,0.0,7165643.0,9026819.0,0.0,1009065849.0,1009065849.0,19611834.0,10275814.0,9336020.0,0.0,10275814.0,CentralHorst,Volon
21,0.0,0.0,0.0,34009948.0,0.0,0.0,0.0,35157365.0,0.0,35157365.0,0.0,0.0,EastLowland,Volon
