PRESSURE,DATE,CONIPOS,CONJPOS,DEPTH,WELLMODEL,CONKPOS,SGAS,CONBPRES,WELL,DRAWDOWN,SWAT,CONIDX
300.7845764160156,2018-01-01,22,30,1641.026611328125,STANDARD,1,0.0,300.7845764160156,R_A2,0,0.6481541991233826,1
300.9020080566406,2018-01-01,22,30,1642.7779541015625,STANDARD,2,0.0,300.9020080566406,R_A2,0,0.09766452759504318,2
301.0194396972656,2018-01-01,22,30,1644.5291748046875,STANDARD,3,0.0,301.0194396972656,R_A2,0,0.057766035199165344,3
301.1368713378906,2018-01-01,22,30,1646.2803955078125,STANDARD,4,0.0,301.1368713378906,R_A2,0,0.06239044666290283,4
301.2543029785156,2018-01-01,22,30,1648.03173828125,STANDARD,5,0.0,301.2543029785156,R_A2,0,0.06431565433740616,5
301.37176513671875,2018-01-01,22,30,1649.782958984375,STANDARD,6,0.0,301.37176513671875,R_A2,0,0.6481541991233826,6
301.48919677734375,2018-01-01,22,30,1651.5341796875,STANDARD,7,0.0,301.48919677734375,R_A2,0,0.8783595561981201,7
301.6066589355469,2018-01-01,22,30,1653.2855224609375,STANDARD,8,0.0,301.6066589355469,R_A2,0,0.8437020778656006,8
301.72412109375,2018-01-01,22,30,1655.0367431640625,STANDARD,9,0.0,301.72412109375,R_A2,0,0.88730388879776,9
301.841552734375,2018-01-01,22,30,1656.7879638671875,STANDARD,10,0.0,301.841552734375,R_A2,0,0.88418048620224,10
301.9701232910156,2018-01-01,22,30,1658.70458984375,STANDARD,11,0.0,301.9701232910156,R_A2,0,0.06895381957292557,11
302.24945068359375,2018-01-01,22,30,1662.868896484375,STANDARD,13,0.0,302.24945068359375,R_A2,0,0.4287913143634796,12
302.38909912109375,2018-01-01,22,30,1664.9510498046875,STANDARD,14,0.0,302.38909912109375,R_A2,0,0.47340139746665955,13
302.5287780761719,2018-01-01,22,30,1667.033203125,STANDARD,15,0.0,302.5287780761719,R_A2,0,0.9126060605049133,14
302.66845703125,2018-01-01,22,30,1669.1153564453125,STANDARD,16,0.0,302.66845703125,R_A2,0,0.9285098910331726,15
302.8081359863281,2018-01-01,22,30,1671.1973876953125,STANDARD,17,0.0,302.8081359863281,R_A2,0,0.8915140628814697,16
302.9674987792969,2018-01-01,22,29,1673.5723876953125,STANDARD,17,0.0,302.9674987792969,R_A2,0,0.9046493172645569,17
303.08477783203125,2018-01-01,22,29,1675.3204345703125,STANDARD,18,0.0,303.08477783203125,R_A2,0,0.973894476890564,18
303.191650390625,2018-01-01,22,29,1676.91357421875,STANDARD,27,0.0,303.191650390625,R_A2,0,0.6481541991233826,19
303.3092346191406,2018-01-01,22,29,1678.6661376953125,STANDARD,28,0.0,303.3092346191406,R_A2,0,1.0,20
303.4268493652344,2018-01-01,22,29,1680.4188232421875,STANDARD,29,0.0,303.4268493652344,R_A2,0,0.8305156826972961,21
303.87933349609375,2018-01-01,22,29,1682.1715087890625,STANDARD,30,0.0,303.87933349609375,R_A2,0,1.0,22
304.04541015625,2018-01-01,22,29,1683.924072265625,STANDARD,31,0.0,304.04541015625,R_A2,0,1.0,23
298.6884765625,2018-01-01,28,41,1609.759033203125,STANDARD,1,0.0,298.6884765625,R_A3,0,0.6481541991233826,1
297.87896728515625,2018-01-01,29,41,1597.6788330078125,STANDARD,1,0.0,297.87896728515625,R_A3,0,0.30895304679870605,2
298.02593994140625,2018-01-01,29,41,1599.8724365234375,STANDARD,2,0.0,298.02593994140625,R_A3,0,0.11823459714651108,3
298.1729431152344,2018-01-01,29,41,1602.0660400390625,STANDARD,3,0.0,298.1729431152344,R_A3,0,0.11823459714651108,4
298.3199462890625,2018-01-01,29,41,1604.2596435546875,STANDARD,4,0.0,298.3199462890625,R_A3,0,0.16489818692207336,5
298.4669494628906,2018-01-01,29,41,1606.4532470703125,STANDARD,5,0.0,298.4669494628906,R_A3,0,0.8119574189186096,6
298.61395263671875,2018-01-01,29,41,1608.6468505859375,STANDARD,6,0.0,298.61395263671875,R_A3,0,0.3204801678657532,7
298.7609558105469,2018-01-01,29,41,1610.840576171875,STANDARD,7,0.0,298.7609558105469,R_A3,0,0.1943381428718567,8
298.9079895019531,2018-01-01,29,41,1613.0341796875,STANDARD,8,0.0,298.9079895019531,R_A3,0,0.17004036903381348,9
