CONIDX,SGAS,PRESSURE,CONIPOS,SWAT,CONBPRES,WELL,CONJPOS,DATE,DEPTH,CONKPOS,DRAWDOWN,WELLMODEL
1,0.0,300.6990051269531,22,0.05223928764462471,300.6990051269531,R_A2,30,2018-01-01,1639.57763671875,1,0,STANDARD
2,0.0,300.8183898925781,22,0.05406257137656212,300.8183898925781,R_A2,30,2018-01-01,1641.35791015625,2,0,STANDARD
3,0.0,300.9377746582031,22,0.05713120847940445,300.9377746582031,R_A2,30,2018-01-01,1643.1383056640625,3,0,STANDARD
4,0.0,301.0571594238281,22,0.06241641938686371,301.0571594238281,R_A2,30,2018-01-01,1644.918701171875,4,0,STANDARD
5,0.0,301.1765441894531,22,0.06494486331939697,301.1765441894531,R_A2,30,2018-01-01,1646.698974609375,5,0,STANDARD
6,0.0,301.2959289550781,22,0.310561865568161,301.2959289550781,R_A2,30,2018-01-01,1648.479248046875,6,0,STANDARD
7,0.0,301.41534423828125,22,0.8693169951438904,301.41534423828125,R_A2,30,2018-01-01,1650.259521484375,7,0,STANDARD
8,0.0,301.53472900390625,22,0.853860080242157,301.53472900390625,R_A2,30,2018-01-01,1652.0399169921875,8,0,STANDARD
9,0.0,301.6541442871094,22,0.8721898794174194,301.6541442871094,R_A2,30,2018-01-01,1653.8201904296875,9,0,STANDARD
10,0.0,301.7735290527344,22,0.8764400482177734,301.7735290527344,R_A2,30,2018-01-01,1655.6005859375,10,0,STANDARD
11,0.0,301.9053955078125,22,0.0659516379237175,301.9053955078125,R_A2,30,2018-01-01,1657.5662841796875,11,0,STANDARD
12,0.0,302.0496520996094,22,0.0689077079296112,302.0496520996094,R_A2,30,2018-01-01,1659.7174072265625,12,0,STANDARD
13,0.0,302.1939697265625,22,0.4190025329589844,302.1939697265625,R_A2,30,2018-01-01,1661.8685302734375,13,0,STANDARD
14,0.0,302.3382568359375,22,0.4762091338634491,302.3382568359375,R_A2,30,2018-01-01,1664.019775390625,14,0,STANDARD
15,0.0,302.4825439453125,22,0.9016478657722473,302.4825439453125,R_A2,30,2018-01-01,1666.1708984375,15,0,STANDARD
16,0.0,302.6268615722656,22,0.9074898362159729,302.6268615722656,R_A2,30,2018-01-01,1668.3218994140625,16,0,STANDARD
17,0.0,302.77117919921875,22,0.8861410617828369,302.77117919921875,R_A2,30,2018-01-01,1670.47314453125,17,0,STANDARD
18,0.0,302.87493896484375,22,0.9470672607421875,302.87493896484375,R_A2,30,2018-01-01,1672.019775390625,18,0,STANDARD
19,0.0,302.96490478515625,22,1.0,302.96490478515625,R_A2,30,2018-01-01,1673.3609619140625,24,0,STANDARD
20,0.0,303.0816650390625,22,0.692048966884613,303.0816650390625,R_A2,30,2018-01-01,1675.1011962890625,25,0,STANDARD
