CONBPRES,WELLMODEL,SWAT,CONKPOS,DEPTH,CONIPOS,DATE,DRAWDOWN,CONIDX,WELL,CONJPOS,SGAS,PRESSURE
300.7676696777344,STANDARD,0.053378213196992874,1,1640.67578125,22,2018-01-01,0,1,R_A2,30,0.0,300.7676696777344
300.88623046875,STANDARD,0.055369772017002106,2,1642.4437255859375,22,2018-01-01,0,2,R_A2,30,0.0,300.88623046875
301.0047607421875,STANDARD,0.05834423005580902,3,1644.211669921875,22,2018-01-01,0,3,R_A2,30,0.0,301.0047607421875
301.1233215332031,STANDARD,0.0638313814997673,4,1645.9796142578125,22,2018-01-01,0,4,R_A2,30,0.0,301.1233215332031
301.24188232421875,STANDARD,0.06635503470897675,5,1647.7476806640625,22,2018-01-01,0,5,R_A2,30,0.0,301.24188232421875
301.3604736328125,STANDARD,0.30332958698272705,6,1649.515625,22,2018-01-01,0,6,R_A2,30,0.0,301.3604736328125
301.4790344238281,STANDARD,0.8753156065940857,7,1651.28369140625,22,2018-01-01,0,7,R_A2,30,0.0,301.4790344238281
301.59759521484375,STANDARD,0.8507857322692871,8,1653.0516357421875,22,2018-01-01,0,8,R_A2,30,0.0,301.59759521484375
301.7161865234375,STANDARD,0.8781725168228149,9,1654.819580078125,22,2018-01-01,0,9,R_A2,30,0.0,301.7161865234375
301.8347473144531,STANDARD,0.8876676559448242,10,1656.5875244140625,22,2018-01-01,0,10,R_A2,30,0.0,301.8347473144531
301.9611511230469,STANDARD,0.06691353768110275,11,1658.471923828125,22,2018-01-01,0,11,R_A2,30,0.0,301.9611511230469
302.0953674316406,STANDARD,0.0659596398472786,12,1660.4727783203125,22,2018-01-01,0,12,R_A2,30,0.0,302.0953674316406
302.2295837402344,STANDARD,0.4257163107395172,13,1662.4736328125,22,2018-01-01,0,13,R_A2,30,0.0,302.2295837402344
302.36376953125,STANDARD,0.47267788648605347,14,1664.4744873046875,22,2018-01-01,0,14,R_A2,30,0.0,302.36376953125
302.4980163574219,STANDARD,0.9037277698516846,15,1666.475341796875,22,2018-01-01,0,15,R_A2,30,0.0,302.4980163574219
302.6322326660156,STANDARD,0.9155701994895935,16,1668.4761962890625,22,2018-01-01,0,16,R_A2,30,0.0,302.6322326660156
302.783447265625,STANDARD,0.9477576017379761,16,1670.7303466796875,22,2018-01-01,0,17,R_A2,29,0.0,302.783447265625
302.92535400390625,STANDARD,0.8996825218200684,17,1672.8455810546875,22,2018-01-01,0,18,R_A2,29,0.0,302.92535400390625
303.05767822265625,STANDARD,0.9612535238265991,18,1674.8179931640625,22,2018-01-01,0,19,R_A2,29,0.0,303.05767822265625
303.189697265625,STANDARD,0.6481541991233826,25,1676.7852783203125,22,2018-01-01,0,20,R_A2,29,0.0,303.189697265625
303.30987548828125,STANDARD,0.6549637913703918,26,1678.576416015625,22,2018-01-01,0,21,R_A2,29,0.0,303.30987548828125
303.4300537109375,STANDARD,1.0,27,1680.3675537109375,22,2018-01-01,0,22,R_A2,29,0.0,303.4300537109375
303.87811279296875,STANDARD,1.0,28,1682.1585693359375,22,2018-01-01,0,23,R_A2,29,0.0,303.87811279296875
304.0478210449219,STANDARD,1.0,29,1683.94970703125,22,2018-01-01,0,24,R_A2,29,0.0,304.0478210449219
298.569580078125,STANDARD,0.6481541991233826,1,1607.8858642578125,28,2018-01-01,0,1,R_A3,41,0.0,298.569580078125
298.7043762207031,STANDARD,0.14699003100395203,2,1609.897216796875,28,2018-01-01,0,2,R_A3,41,0.0,298.7043762207031
298.17657470703125,STANDARD,0.14581084251403809,2,1602.021484375,29,2018-01-01,0,3,R_A3,41,0.0,298.17657470703125
298.32183837890625,STANDARD,0.11823459714651108,3,1604.18896484375,29,2018-01-01,0,4,R_A3,41,0.0,298.32183837890625
