CONIDX,PRESSURE,CONBPRES,DEPTH,DRAWDOWN,WELL,DATE,WELLMODEL,CONJPOS,CONIPOS,SGAS,CONKPOS,SWAT
1,300.7131042480469,300.7131042480469,1641.094970703125,0,R_A2,2018-01-01,STANDARD,30,22,0.0,1,0.05580870434641838
2,300.8334045410156,300.8334045410156,1642.8890380859375,0,R_A2,2018-01-01,STANDARD,30,22,0.0,2,0.05874553322792053
3,300.9537353515625,300.9537353515625,1644.68310546875,0,R_A2,2018-01-01,STANDARD,30,22,0.0,3,0.06138748675584793
4,301.07403564453125,301.07403564453125,1646.4771728515625,0,R_A2,2018-01-01,STANDARD,30,22,0.0,4,0.0650615245103836
5,301.1943359375,301.1943359375,1648.2713623046875,0,R_A2,2018-01-01,STANDARD,30,22,0.0,5,0.06922189891338348
6,301.3146667480469,301.3146667480469,1650.0654296875,0,R_A2,2018-01-01,STANDARD,30,22,0.0,6,0.2364889532327652
7,301.4349670410156,301.4349670410156,1651.859619140625,0,R_A2,2018-01-01,STANDARD,30,22,0.0,7,0.888638973236084
8,301.5552978515625,301.5552978515625,1653.6536865234375,0,R_A2,2018-01-01,STANDARD,30,22,0.0,8,0.8618001341819763
9,301.6756286621094,301.6756286621094,1655.44775390625,0,R_A2,2018-01-01,STANDARD,30,22,0.0,9,0.8868266940116882
10,301.79595947265625,301.79595947265625,1657.2418212890625,0,R_A2,2018-01-01,STANDARD,30,22,0.0,10,0.8980718851089478
11,301.9230651855469,301.9230651855469,1659.1368408203125,0,R_A2,2018-01-01,STANDARD,30,22,0.0,11,0.07489827275276184
12,302.0569152832031,302.0569152832031,1661.132568359375,0,R_A2,2018-01-01,STANDARD,30,22,0.0,12,0.07782597839832306
13,302.1907958984375,302.1907958984375,1663.12841796875,0,R_A2,2018-01-01,STANDARD,30,22,0.0,13,0.45243528485298157
14,302.3246765136719,302.3246765136719,1665.1241455078125,0,R_A2,2018-01-01,STANDARD,30,22,0.0,14,0.4929720461368561
15,302.45855712890625,302.45855712890625,1667.1199951171875,0,R_A2,2018-01-01,STANDARD,30,22,0.0,15,0.6622054576873779
16,302.5924377441406,302.5924377441406,1669.11572265625,0,R_A2,2018-01-01,STANDARD,30,22,0.0,16,0.9643985033035278
17,302.726318359375,302.726318359375,1671.111572265625,0,R_A2,2018-01-01,STANDARD,30,22,0.0,17,0.930007815361023
18,302.85223388671875,302.85223388671875,1672.9881591796875,0,R_A2,2018-01-01,STANDARD,30,22,0.0,18,0.9671420454978943
19,302.9355163574219,302.9355163574219,1674.229736328125,0,R_A2,2018-01-01,STANDARD,29,22,0.0,18,0.9799956679344177
20,303.0655212402344,303.0655212402344,1676.1676025390625,0,R_A2,2018-01-01,STANDARD,29,22,0.0,27,0.41699570417404175
21,303.1842346191406,303.1842346191406,1677.9368896484375,0,R_A2,2018-01-01,STANDARD,29,22,0.0,28,1.0
22,303.64569091796875,303.64569091796875,1679.7061767578125,0,R_A2,2018-01-01,STANDARD,29,22,0.0,29,1.0
23,303.8133544921875,303.8133544921875,1681.4754638671875,0,R_A2,2018-01-01,STANDARD,29,22,0.0,30,1.0
24,303.98101806640625,303.98101806640625,1683.2447509765625,0,R_A2,2018-01-01,STANDARD,29,22,0.0,31,1.0
1,298.57794189453125,298.57794189453125,1609.243408203125,0,R_A3,2018-01-01,STANDARD,41,28,0.0,1,0.6481541991233826
2,298.71630859375,298.71630859375,1611.3077392578125,0,R_A3,2018-01-01,STANDARD,41,28,0.0,2,0.19406035542488098
3,298.8546447753906,298.8546447753906,1613.3720703125,0,R_A3,2018-01-01,STANDARD,41,28,0.0,3,0.19324477016925812
4,298.9930114746094,298.9930114746094,1615.4365234375,0,R_A3,2018-01-01,STANDARD,41,28,0.0,4,0.36805495619773865
5,299.1313781738281,299.1313781738281,1617.5008544921875,0,R_A3,2018-01-01,STANDARD,41,28,0.0,5,0.831817626953125
6,299.2697448730469,299.2697448730469,1619.565185546875,0,R_A3,2018-01-01,STANDARD,41,28,0.0,6,0.6481541991233826
7,298.586181640625,298.586181640625,1609.3663330078125,0,R_A3,2018-01-01,STANDARD,41,29,0.0,6,0.6481541991233826
8,298.72357177734375,298.72357177734375,1611.4163818359375,0,R_A3,2018-01-01,STANDARD,41,29,0.0,7,0.19717290997505188
9,298.8609619140625,298.8609619140625,1613.46630859375,0,R_A3,2018-01-01,STANDARD,41,29,0.0,8,0.1963740885257721
10,298.99835205078125,298.99835205078125,1615.516357421875,0,R_A3,2018-01-01,STANDARD,41,29,0.0,9,0.7984812259674072
11,299.1357727050781,299.1357727050781,1617.5662841796875,0,R_A3,2018-01-01,STANDARD,41,29,0.0,10,0.7968692779541016
12,299.28216552734375,299.28216552734375,1619.750732421875,0,R_A3,2018-01-01,STANDARD,41,29,0.0,11,0.04992813989520073
13,299.4376220703125,299.4376220703125,1622.0697021484375,0,R_A3,2018-01-01,STANDARD,41,29,0.0,12,0.05377645045518875
14,299.59307861328125,299.59307861328125,1624.388671875,0,R_A3,2018-01-01,STANDARD,41,29,0.0,13,0.370818555355072
15,299.74853515625,299.74853515625,1626.707763671875,0,R_A3,2018-01-01,STANDARD,41,29,0.0,14,0.3980686068534851
16,299.90399169921875,299.90399169921875,1629.026611328125,0,R_A3,2018-01-01,STANDARD,41,29,0.0,15,0.4950610399246216
17,300.03271484375,300.03271484375,1630.9468994140625,0,R_A3,2018-01-01,STANDARD,41,29,0.0,16,0.8052654266357422
18,300.20562744140625,300.20562744140625,1633.5262451171875,0,R_A3,2018-01-01,STANDARD,41,29,0.0,27,1.0
19,300.4494934082031,300.4494934082031,1637.1630859375,0,R_A3,2018-01-01,STANDARD,41,29,0.0,28,0.04294033348560333
20,300.693359375,300.693359375,1640.8001708984375,0,R_A3,2018-01-01,STANDARD,41,29,0.0,29,0.050966065376996994
21,300.9372253417969,300.9372253417969,1644.4371337890625,0,R_A3,2018-01-01,STANDARD,41,29,0.0,30,1.0
22,301.1811218261719,301.1811218261719,1648.0740966796875,0,R_A3,2018-01-01,STANDARD,41,29,0.0,31,0.06275327503681183
