ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,9389627,1443065,960767,669991,94334744
Valysar,CentralSouth,71742811,13854778,10831663,7553461,1063527382
Valysar,CentralNorth,33548899,5910017,4313845,3008260,423562994
Valysar,NorthHorst,3924307,421581,180471,110854,21716395
Valysar,CentralRamp,13731063,2471789,1887365,1316154,185314529
Valysar,CentralHorst,84054667,15216890,11767374,8205980,1155401946
Valysar,EastLowland,669371,120653,75326,52529,7396016
Therys,WestLowland,5294514,955053,483756,337348,47498533
Therys,CentralSouth,22332662,4700953,3079783,2147687,302394338
Therys,CentralNorth,21195455,3864039,2241431,1563062,220079101
Therys,NorthHorst,6080106,890601,357401,219534,43006666
Therys,CentralRamp,6688920,1558660,1230082,857798,120777905
Therys,CentralHorst,27895299,6713467,5146131,3588655,505282600
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,1097684,196021,133771,93285,13134553
Volon,CentralSouth,43813348,7652427,5539484,3862960,543904746
Volon,CentralNorth,7898576,1102917,618593,431376,60737697
Volon,NorthHorst,3369770,573816,408832,251125,49195386
Volon,CentralRamp,13529172,2419051,1803760,1257852,177105611
Volon,CentralHorst,77399264,13504528,10310687,7190158,1012374323
Volon,EastLowland,0,0,0,0,0
