CONJPOS,CONIPOS,CONKPOS,WELL,PRESSURE,DEPTH,SWAT,CONBPRES,WELLMODEL,DRAWDOWN,SGAS,DATE,CONIDX
30,22,1,R_A2,300.5867614746094,1641.094970703125,0.059015482664108276,300.5867614746094,STANDARD,0,0.0,2018-01-01,1
30,22,2,R_A2,300.70703125,1642.8890380859375,0.06050805002450943,300.70703125,STANDARD,0,0.0,2018-01-01,2
30,22,3,R_A2,300.82733154296875,1644.68310546875,0.0635162740945816,300.82733154296875,STANDARD,0,0.0,2018-01-01,3
30,22,4,R_A2,300.9476623535156,1646.4771728515625,0.0686408132314682,300.9476623535156,STANDARD,0,0.0,2018-01-01,4
30,22,5,R_A2,301.0679626464844,1648.2713623046875,0.072938472032547,301.0679626464844,STANDARD,0,0.0,2018-01-01,5
30,22,6,R_A2,301.1882629394531,1650.0654296875,0.3152448236942291,301.1882629394531,STANDARD,0,0.0,2018-01-01,6
30,22,7,R_A2,301.30859375,1651.859619140625,0.9124801158905029,301.30859375,STANDARD,0,0.0,2018-01-01,7
30,22,8,R_A2,301.4289245605469,1653.6536865234375,0.8969457745552063,301.4289245605469,STANDARD,0,0.0,2018-01-01,8
30,22,9,R_A2,301.5492248535156,1655.44775390625,0.9264062643051147,301.5492248535156,STANDARD,0,0.0,2018-01-01,9
30,22,10,R_A2,301.6695556640625,1657.2418212890625,0.9283920526504517,301.6695556640625,STANDARD,0,0.0,2018-01-01,10
30,22,11,R_A2,301.7966613769531,1659.1368408203125,0.08349063992500305,301.7966613769531,STANDARD,0,0.0,2018-01-01,11
30,22,12,R_A2,301.9305114746094,1661.132568359375,0.09078387916088104,301.9305114746094,STANDARD,0,0.0,2018-01-01,12
30,22,13,R_A2,302.06439208984375,1663.12841796875,0.5113438367843628,302.06439208984375,STANDARD,0,0.0,2018-01-01,13
30,22,14,R_A2,302.1982421875,1665.1241455078125,0.5571942329406738,302.1982421875,STANDARD,0,0.0,2018-01-01,14
30,22,15,R_A2,302.3321228027344,1667.1199951171875,0.7243399024009705,302.3321228027344,STANDARD,0,0.0,2018-01-01,15
30,22,16,R_A2,302.46600341796875,1669.11572265625,0.9932135343551636,302.46600341796875,STANDARD,0,0.0,2018-01-01,16
30,22,17,R_A2,302.5998840332031,1671.111572265625,0.9844052791595459,302.5998840332031,STANDARD,0,0.0,2018-01-01,17
30,22,18,R_A2,302.7257995605469,1672.9881591796875,0.9983252882957458,302.7257995605469,STANDARD,0,0.0,2018-01-01,18
29,22,18,R_A2,302.97808837890625,1674.229736328125,1.0,302.97808837890625,STANDARD,0,0.0,2018-01-01,19
29,22,27,R_A2,303.3103942871094,1676.1676025390625,1.0,303.3103942871094,STANDARD,0,0.0,2018-01-01,20
29,22,28,R_A2,303.47802734375,1677.9368896484375,1.0,303.47802734375,STANDARD,0,0.0,2018-01-01,21
29,22,29,R_A2,303.64569091796875,1679.7061767578125,1.0,303.64569091796875,STANDARD,0,0.0,2018-01-01,22
29,22,30,R_A2,303.8133544921875,1681.4754638671875,1.0,303.8133544921875,STANDARD,0,0.0,2018-01-01,23
29,22,31,R_A2,303.98101806640625,1683.2447509765625,1.0,303.98101806640625,STANDARD,0,0.0,2018-01-01,24
41,28,1,R_A3,298.4516296386719,1609.243408203125,0.6481541991233826,298.4516296386719,STANDARD,0,0.0,2018-01-01,1
41,28,2,R_A3,298.5899963378906,1611.3077392578125,0.20188473165035248,298.5899963378906,STANDARD,0,0.0,2018-01-01,2
41,28,3,R_A3,298.72833251953125,1613.3720703125,0.19638951122760773,298.72833251953125,STANDARD,0,0.0,2018-01-01,3
41,28,4,R_A3,298.86669921875,1615.4365234375,0.38061127066612244,298.86669921875,STANDARD,0,0.0,2018-01-01,4
41,28,5,R_A3,299.00506591796875,1617.5008544921875,0.6481541991233826,299.00506591796875,STANDARD,0,0.0,2018-01-01,5
41,28,6,R_A3,299.1434326171875,1619.565185546875,0.1124572902917862,299.1434326171875,STANDARD,0,0.0,2018-01-01,6
41,29,6,R_A3,298.4598693847656,1609.3663330078125,0.28813526034355164,298.4598693847656,STANDARD,0,0.0,2018-01-01,7
41,29,7,R_A3,298.5972595214844,1611.4163818359375,0.2000926434993744,298.5972595214844,STANDARD,0,0.0,2018-01-01,8
41,29,8,R_A3,298.7346496582031,1613.46630859375,0.20150387287139893,298.7346496582031,STANDARD,0,0.0,2018-01-01,9
41,29,9,R_A3,298.8720397949219,1615.516357421875,0.6906894445419312,298.8720397949219,STANDARD,0,0.0,2018-01-01,10
41,29,10,R_A3,299.0094299316406,1617.5662841796875,0.6481541991233826,299.0094299316406,STANDARD,0,0.0,2018-01-01,11
41,29,11,R_A3,299.1558532714844,1619.750732421875,0.05239463970065117,299.1558532714844,STANDARD,0,0.0,2018-01-01,12
41,29,12,R_A3,299.311279296875,1622.0697021484375,0.0557733029127121,299.311279296875,STANDARD,0,0.0,2018-01-01,13
41,29,13,R_A3,299.46673583984375,1624.388671875,0.3783247172832489,299.46673583984375,STANDARD,0,0.0,2018-01-01,14
41,29,14,R_A3,299.6221923828125,1626.707763671875,0.35494664311408997,299.6221923828125,STANDARD,0,0.0,2018-01-01,15
41,29,15,R_A3,299.77764892578125,1629.026611328125,0.5012860298156738,299.77764892578125,STANDARD,0,0.0,2018-01-01,16
41,29,16,R_A3,299.9063720703125,1630.9468994140625,0.8184357285499573,299.9063720703125,STANDARD,0,0.0,2018-01-01,17
41,29,27,R_A3,300.07928466796875,1633.5262451171875,0.7167724370956421,300.07928466796875,STANDARD,0,0.0,2018-01-01,18
41,29,28,R_A3,300.3231201171875,1637.1630859375,0.04472745954990387,300.3231201171875,STANDARD,0,0.0,2018-01-01,19
41,29,29,R_A3,300.5669860839844,1640.8001708984375,0.12158554047346115,300.5669860839844,STANDARD,0,0.0,2018-01-01,20
41,29,30,R_A3,300.81085205078125,1644.4371337890625,0.6481541991233826,300.81085205078125,STANDARD,0,0.0,2018-01-01,21
41,29,31,R_A3,301.0547180175781,1648.0740966796875,0.06846345216035843,301.0547180175781,STANDARD,0,0.0,2018-01-01,22
52,30,1,R_A4,299.9224853515625,1631.1873779296875,0.052586715668439865,299.9224853515625,STANDARD,0,0.0,2018-01-01,1
