CONKPOS,SGAS,CONBPRES,CONIPOS,WELL,CONIDX,DEPTH,PRESSURE,DRAWDOWN,CONJPOS,WELLMODEL,SWAT,DATE
1,0.0,300.67132568359375,22,R_A2,1,1640.0550537109375,300.67132568359375,0,30,STANDARD,0.05445433035492897,2018-01-01
2,0.0,300.80194091796875,22,R_A2,2,1642.0032958984375,300.80194091796875,0,30,STANDARD,0.05671253055334091,2018-01-01
3,0.0,300.9325866699219,22,R_A2,3,1643.95166015625,300.9325866699219,0,30,STANDARD,0.05997016653418541,2018-01-01
4,0.0,301.063232421875,22,R_A2,4,1645.89990234375,301.063232421875,0,30,STANDARD,0.06640040874481201,2018-01-01
5,0.0,301.19390869140625,22,R_A2,5,1647.84814453125,301.19390869140625,0,30,STANDARD,0.068501777946949,2018-01-01
6,0.0,301.3245544433594,22,R_A2,6,1649.7965087890625,301.3245544433594,0,30,STANDARD,0.23018334805965424,2018-01-01
7,0.0,301.4552001953125,22,R_A2,7,1651.7447509765625,301.4552001953125,0,30,STANDARD,0.8858145475387573,2018-01-01
8,0.0,301.58587646484375,22,R_A2,8,1653.6929931640625,301.58587646484375,0,30,STANDARD,0.8684432506561279,2018-01-01
9,0.0,301.716552734375,22,R_A2,9,1655.641357421875,301.716552734375,0,30,STANDARD,0.24361392855644226,2018-01-01
10,0.0,301.84722900390625,22,R_A2,10,1657.589599609375,301.84722900390625,0,30,STANDARD,0.8988048434257507,2018-01-01
11,0.0,301.9808044433594,22,R_A2,11,1659.581298828125,301.9808044433594,0,30,STANDARD,0.07494336366653442,2018-01-01
12,0.0,302.1173095703125,22,R_A2,12,1661.616455078125,302.1173095703125,0,30,STANDARD,0.07667692005634308,2018-01-01
13,0.0,302.2538146972656,22,R_A2,13,1663.651611328125,302.2538146972656,0,30,STANDARD,0.4389690160751343,2018-01-01
14,0.0,302.3903503417969,22,R_A2,14,1665.686767578125,302.3903503417969,0,30,STANDARD,0.48168858885765076,2018-01-01
15,0.0,302.5268859863281,22,R_A2,15,1667.721923828125,302.5268859863281,0,30,STANDARD,0.6766374707221985,2018-01-01
16,0.0,302.66339111328125,22,R_A2,16,1669.757080078125,302.66339111328125,0,30,STANDARD,0.9535456299781799,2018-01-01
17,0.0,302.7999267578125,22,R_A2,17,1671.792236328125,302.7999267578125,0,30,STANDARD,0.9585047364234924,2018-01-01
18,0.0,302.93646240234375,22,R_A2,18,1673.827392578125,302.93646240234375,0,30,STANDARD,0.9493170976638794,2018-01-01
