PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID
PERM,LowerReek,Dorne,Background,11.466532,,100.0,0.08717352,1.2805601,26.874205,14.698974,geogrid,geogrid
PORO,LowerReek,Dorne,Background,0.10451663,,0.29057977,0.0,0.04096336,0.16591354,0.04819781,geogrid,geogrid
SW,LowerReek,Dorne,Background,0.98447025,,1.0,0.0,1.0,1.0,0.07247983,geogrid,geogrid
PERM,LowerReek,Dorne,Channel,3312.6602,,10000.0,23.734066,512.35626,9120.487,2982.247,geogrid,geogrid
PORO,LowerReek,Dorne,Channel,0.25503564,,0.46464777,0.06859526,0.19108827,0.31959605,0.05053475,geogrid,geogrid
SW,LowerReek,Dorne,Channel,0.98202616,,1.0,0.07043114,1.0,1.0,0.11718659,geogrid,geogrid
PERM,LowerReek,Dorne,Crevasse,170.95474,,1000.0,1.3637073,22.871086,416.06454,200.09973,geogrid,geogrid
PORO,LowerReek,Dorne,Crevasse,0.20340616,,0.3850218,0.030785918,0.14176957,0.26461703,0.048789043,geogrid,geogrid
SW,LowerReek,Dorne,Crevasse,0.99599105,,1.0,0.33641154,1.0,1.0,0.04042658,geogrid,geogrid
PERM,LowerReek,IronIslands,Background,6.4282813,,100.0,0.09183447,1.1078619,13.467098,8.38271,geogrid,geogrid
PORO,LowerReek,IronIslands,Background,0.08522467,,0.24022663,0.0,0.027803566,0.13808607,0.041867822,geogrid,geogrid
SW,LowerReek,IronIslands,Background,0.70207673,,1.0,0.0,0.27368835,1.0,0.32931042,geogrid,geogrid
PERM,LowerReek,IronIslands,Channel,3191.9055,,10000.0,46.3883,471.28528,9161.213,2997.5574,geogrid,geogrid
PORO,LowerReek,IronIslands,Channel,0.25312367,,0.4412012,0.066877335,0.18808764,0.31748706,0.05002916,geogrid,geogrid
SW,LowerReek,IronIslands,Channel,0.36938277,,1.0,0.0196435,0.03355955,1.0,0.43365285,geogrid,geogrid
PERM,LowerReek,IronIslands,Crevasse,172.061,,1000.0,2.1827636,20.779537,430.18607,209.39326,geogrid,geogrid
PORO,LowerReek,IronIslands,Crevasse,0.19872205,,0.36198688,0.04346229,0.13540581,0.2622233,0.04957265,geogrid,geogrid
SW,LowerReek,IronIslands,Crevasse,0.51033413,,1.0,0.056466438,0.10057311,1.0,0.4044358,geogrid,geogrid
PERM,LowerReek,North,Background,15.109295,,100.0,0.11749762,1.3768387,38.10938,20.658499,geogrid,geogrid
PORO,LowerReek,North,Background,0.10801599,,0.3022085,0.0,0.035658743,0.17721729,0.0537287,geogrid,geogrid
SW,LowerReek,North,Background,0.99075025,,1.0,0.102047846,1.0,1.0,0.07721191,geogrid,geogrid
PERM,LowerReek,North,Channel,3370.137,,10000.0,21.755117,459.94855,10000.0,3114.6584,geogrid,geogrid
PORO,LowerReek,North,Channel,0.2512313,,0.46918392,0.051979467,0.18420354,0.3173469,0.05193401,geogrid,geogrid
SW,LowerReek,North,Channel,0.98723525,,1.0,0.028058799,1.0,1.0,0.10913232,geogrid,geogrid
PERM,LowerReek,North,Crevasse,153.72525,,1000.0,1.5399929,19.842438,373.76205,189.47646,geogrid,geogrid
PORO,LowerReek,North,Crevasse,0.19716956,,0.36708695,0.031291008,0.13397557,0.26019886,0.04900925,geogrid,geogrid
SW,LowerReek,North,Crevasse,0.995654,,1.0,0.101510994,1.0,1.0,0.06024614,geogrid,geogrid
PERM,LowerReek,Reach,Background,11.437572,,100.0,0.04684061,1.1472833,28.164444,16.253613,geogrid,geogrid
PORO,LowerReek,Reach,Background,0.09850533,,0.27212667,0.0,0.028843323,0.16660339,0.05142837,geogrid,geogrid
SW,LowerReek,Reach,Background,0.8539599,,1.0,0.0,0.37959906,1.0,0.25231346,geogrid,geogrid
PERM,LowerReek,Reach,Channel,3260.3965,,10000.0,29.87463,476.02768,9135.469,3006.1965,geogrid,geogrid
PORO,LowerReek,Reach,Channel,0.2541749,,0.43837085,0.059102997,0.18861966,0.31921864,0.05090544,geogrid,geogrid
SW,LowerReek,Reach,Channel,0.5299205,,1.0,0.022788044,0.05462803,1.0,0.44797865,geogrid,geogrid
PERM,LowerReek,Reach,Crevasse,194.85947,,1000.0,2.6459758,25.04878,476.74728,225.90593,geogrid,geogrid
PORO,LowerReek,Reach,Crevasse,0.20624733,,0.3685385,0.047539905,0.14109607,0.26901174,0.050167654,geogrid,geogrid
SW,LowerReek,Reach,Crevasse,0.64629626,,1.0,0.054548677,0.16300826,1.0,0.370547,geogrid,geogrid
PERM,LowerReek,Stormlands,Background,3.383061,,21.994642,0.10037104,0.5504831,9.178683,4.0478277,geogrid,geogrid
PORO,LowerReek,Stormlands,Background,0.06757575,,0.19759256,0.0,0.0,0.11973143,0.04631951,geogrid,geogrid
SW,LowerReek,Stormlands,Background,0.3361248,,0.6296039,0.0,0.0,0.52723455,0.16356637,geogrid,geogrid
PERM,LowerReek,Stormlands,Channel,2944.095,,10000.0,120.16102,518.08203,7033.897,2658.0703,geogrid,geogrid
PORO,LowerReek,Stormlands,Channel,0.25043756,,0.38274622,0.10727954,0.19321708,0.30436563,0.043881193,geogrid,geogrid
SW,LowerReek,Stormlands,Channel,0.041848127,,0.10979788,0.018090231,0.02677081,0.059716128,0.012802303,geogrid,geogrid
PERM,LowerReek,Stormlands,Crevasse,159.34946,,1000.0,3.253042,20.074415,433.6322,203.26208,geogrid,geogrid
PORO,LowerReek,Stormlands,Crevasse,0.19509722,,0.3196365,0.04951836,0.13335359,0.25792736,0.048061248,geogrid,geogrid
SW,LowerReek,Stormlands,Crevasse,0.12487827,,0.32972598,0.05008128,0.07338724,0.19352019,0.049236864,geogrid,geogrid
PERM,LowerReek,Vale,Background,10.36161,,100.0,0.20205253,1.4367151,24.554287,14.063274,geogrid,geogrid
PORO,LowerReek,Vale,Background,0.08768085,,0.23942447,0.0,0.02998257,0.14566424,0.04375386,geogrid,geogrid
SW,LowerReek,Vale,Background,0.69516337,,1.0,0.0,0.20947385,1.0,0.35891622,geogrid,geogrid
PERM,LowerReek,Vale,Channel,3153.3027,,10000.0,26.333103,444.7775,9011.749,2979.002,geogrid,geogrid
PORO,LowerReek,Vale,Channel,0.25436348,,0.4925657,0.0680508,0.19025242,0.3179818,0.050876986,geogrid,geogrid
SW,LowerReek,Vale,Channel,0.6345285,,1.0,0.020890195,0.030545354,1.0,0.45871755,geogrid,geogrid
PERM,LowerReek,Vale,Crevasse,177.99948,,1000.0,2.4687626,22.913692,397.6807,204.45317,geogrid,geogrid
PORO,LowerReek,Vale,Crevasse,0.1999481,,0.3820156,0.04611869,0.13662091,0.26064336,0.04865294,geogrid,geogrid
SW,LowerReek,Vale,Crevasse,0.61025053,,1.0,0.05520334,0.08803212,1.0,0.42415506,geogrid,geogrid
PERM,LowerReek,Westerlands,Background,11.613003,,100.0,0.06819284,1.6128092,27.208406,14.6103115,geogrid,geogrid
PORO,LowerReek,Westerlands,Background,0.10915928,,0.2875333,0.0,0.04485412,0.17132002,0.048243135,geogrid,geogrid
SW,LowerReek,Westerlands,Background,0.99657816,,1.0,0.0,1.0,1.0,0.040213287,geogrid,geogrid
PERM,LowerReek,Westerlands,Channel,3179.5452,,10000.0,19.069979,454.7843,8823.062,2962.628,geogrid,geogrid
PORO,LowerReek,Westerlands,Channel,0.24915643,,0.43438143,0.051894993,0.18471104,0.31259078,0.049885064,geogrid,geogrid
SW,LowerReek,Westerlands,Channel,0.9559902,,1.0,0.031104136,1.0,1.0,0.19181369,geogrid,geogrid
PERM,LowerReek,Westerlands,Crevasse,214.43651,,1000.0,1.9517207,24.8498,553.7488,247.07799,geogrid,geogrid
PORO,LowerReek,Westerlands,Crevasse,0.21113318,,0.39244723,0.025406301,0.14434445,0.27877578,0.052256115,geogrid,geogrid
SW,LowerReek,Westerlands,Crevasse,0.9753997,,1.0,0.09717818,1.0,1.0,0.13193381,geogrid,geogrid
PERM,MidReek,Dorne,Background,9.100077,,100.0,0.06007821,1.1268038,20.928183,12.552019,geogrid,geogrid
PORO,MidReek,Dorne,Background,0.09250068,,0.27108318,0.0,0.03091149,0.15391618,0.046613142,geogrid,geogrid
SW,MidReek,Dorne,Background,0.96975726,,1.0,0.0,1.0,1.0,0.11544996,geogrid,geogrid
PERM,MidReek,Dorne,Channel,3274.8389,,10000.0,25.404842,514.76843,9001.819,2962.0215,geogrid,geogrid
PORO,MidReek,Dorne,Channel,0.25476348,,0.4463929,0.063678786,0.18940586,0.31799984,0.049779475,geogrid,geogrid
SW,MidReek,Dorne,Channel,0.98696333,,1.0,0.056585092,1.0,1.0,0.09727432,geogrid,geogrid
PERM,MidReek,Dorne,Crevasse,180.66846,,1000.0,1.9092009,23.625307,429.6421,212.45242,geogrid,geogrid
PORO,MidReek,Dorne,Crevasse,0.20634264,,0.358207,0.04745327,0.14176895,0.2697235,0.049489383,geogrid,geogrid
SW,MidReek,Dorne,Crevasse,0.99673194,,1.0,0.17571081,1.0,1.0,0.04019073,geogrid,geogrid
PERM,MidReek,IronIslands,Background,16.071867,,100.0,0.10641805,2.0186615,38.33258,20.66902,geogrid,geogrid
PORO,MidReek,IronIslands,Background,0.11176301,,0.28340694,0.0,0.046815716,0.17501004,0.050159212,geogrid,geogrid
SW,MidReek,IronIslands,Background,0.5566402,,1.0,0.0,0.20513211,1.0,0.32679567,geogrid,geogrid
PERM,MidReek,IronIslands,Channel,2946.3022,,10000.0,2.9419372,365.4285,8094.827,2881.289,geogrid,geogrid
PORO,MidReek,IronIslands,Channel,0.24811362,,0.4154635,0.052855372,0.18192846,0.3116608,0.051142544,geogrid,geogrid
SW,MidReek,IronIslands,Channel,0.32990044,,1.0,0.01846573,0.029554103,1.0,0.41849732,geogrid,geogrid
PERM,MidReek,IronIslands,Crevasse,185.95535,,1000.0,1.3627887,23.71837,451.36566,215.94614,geogrid,geogrid
PORO,MidReek,IronIslands,Crevasse,0.20709443,,0.38212729,0.034815416,0.14557897,0.2693043,0.04870271,geogrid,geogrid
SW,MidReek,IronIslands,Crevasse,0.53490084,,1.0,0.043187905,0.096781366,1.0,0.41174632,geogrid,geogrid
PERM,MidReek,North,Background,14.712869,,100.0,0.06987866,1.6229506,35.5104,18.736256,geogrid,geogrid
PORO,MidReek,North,Background,0.113282956,,0.29441732,0.0,0.04644224,0.17893901,0.050900456,geogrid,geogrid
SW,MidReek,North,Background,0.9930191,,1.0,0.0,1.0,1.0,0.069379464,geogrid,geogrid
PERM,MidReek,North,Channel,2913.4707,,10000.0,16.700748,389.73572,7817.0737,2835.3884,geogrid,geogrid
PORO,MidReek,North,Channel,0.24630503,,0.469135,0.042646468,0.18103184,0.31072736,0.050938927,geogrid,geogrid
SW,MidReek,North,Channel,0.98376733,,1.0,0.022988003,1.0,1.0,0.12288641,geogrid,geogrid
PERM,MidReek,North,Crevasse,167.74527,,1000.0,0.778052,21.7068,393.9126,207.24368,geogrid,geogrid
PORO,MidReek,North,Crevasse,0.19975825,,0.40790996,0.0,0.13686958,0.26262215,0.050119504,geogrid,geogrid
SW,MidReek,North,Crevasse,0.9916453,,1.0,0.0,1.0,1.0,0.0834039,geogrid,geogrid
