ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,4926419,733280,505247,352334,49608643
Valysar,CentralSouth,51445126,9561894,7019429,4894999,689215885
Valysar,CentralNorth,30616515,5272066,3856715,2689480,378678829
Valysar,NorthHorst,3699605,503886,267040,164030,32133420
Valysar,CentralRamp,13746446,1885993,1153920,804686,113299848
Valysar,CentralHorst,81474935,13303219,9931704,6925875,975163206
Valysar,EastLowland,291997,53244,18456,12870,1812150
Therys,WestLowland,2204974,432239,219608,153144,21562647
Therys,CentralSouth,5659436,1048081,594315,414446,58353974
Therys,CentralNorth,13893353,3029127,1755411,1224136,172358393
Therys,NorthHorst,6308516,890196,348710,214195,41960803
Therys,CentralRamp,6770890,1558309,1162570,810718,114149154
Therys,CentralHorst,25742431,6530904,5031031,3508390,493981271
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,254401,48743,33176,23135,3257449
Volon,CentralSouth,19107193,3486150,2512034,1751767,246648779
Volon,CentralNorth,2319145,319535,155466,108414,15264740
Volon,NorthHorst,4725555,858527,650579,399619,78285284
Volon,CentralRamp,10426791,1899227,1416527,987815,139084416
Volon,CentralHorst,75210791,13766917,10721230,7476450,1052684227
Volon,EastLowland,0,0,0,0,0
