CONKPOS,WELL,CONIDX,CONIPOS,DEPTH,PRESSURE,CONJPOS,CONBPRES,DRAWDOWN,DATE,WELLMODEL,SGAS,SWAT
1,R_A2,1,22,1638.989013671875,300.6545715332031,30,300.6545715332031,0,2018-01-01,STANDARD,0.0,0.05279593914747238
2,R_A2,2,22,1640.6787109375,300.76788330078125,30,300.76788330078125,0,2018-01-01,STANDARD,0.0,0.05423702299594879
3,R_A2,3,22,1642.3685302734375,300.88116455078125,30,300.88116455078125,0,2018-01-01,STANDARD,0.0,0.05890662968158722
4,R_A2,4,22,1644.0582275390625,300.9944763183594,30,300.9944763183594,0,2018-01-01,STANDARD,0.0,0.061273250728845596
5,R_A2,5,22,1645.748046875,301.1077880859375,30,301.1077880859375,0,2018-01-01,STANDARD,0.0,0.06335992366075516
6,R_A2,6,22,1647.437744140625,301.2210998535156,30,301.2210998535156,0,2018-01-01,STANDARD,0.0,0.30574676394462585
7,R_A2,7,22,1649.12744140625,301.3344421386719,30,301.3344421386719,0,2018-01-01,STANDARD,0.0,0.8694436550140381
8,R_A2,8,22,1650.817138671875,301.44775390625,30,301.44775390625,0,2018-01-01,STANDARD,0.0,0.8547897934913635
9,R_A2,9,22,1652.5069580078125,301.5610656738281,30,301.5610656738281,0,2018-01-01,STANDARD,0.0,0.6481541991233826
10,R_A2,10,22,1654.19677734375,301.6744079589844,30,301.6744079589844,0,2018-01-01,STANDARD,0.0,0.8742770552635193
11,R_A2,11,22,1656.11083984375,301.80279541015625,30,301.80279541015625,0,2018-01-01,STANDARD,0.0,0.06591033935546875
12,R_A2,12,22,1658.2493896484375,301.94622802734375,30,301.94622802734375,0,2018-01-01,STANDARD,0.0,0.06096718832850456
13,R_A2,13,22,1660.387939453125,302.08966064453125,30,302.08966064453125,0,2018-01-01,STANDARD,0.0,0.428838849067688
14,R_A2,14,22,1662.5263671875,302.23309326171875,30,302.23309326171875,0,2018-01-01,STANDARD,0.0,0.4622976779937744
15,R_A2,15,22,1664.6649169921875,302.3765563964844,30,302.3765563964844,0,2018-01-01,STANDARD,0.0,0.8867056369781494
16,R_A2,16,22,1666.803466796875,302.52001953125,30,302.52001953125,0,2018-01-01,STANDARD,0.0,0.8707762360572815
17,R_A2,17,22,1668.904296875,302.66094970703125,30,302.66094970703125,0,2018-01-01,STANDARD,0.0,0.8782317638397217
18,R_A2,18,22,1670.17041015625,302.7458801269531,30,302.7458801269531,0,2018-01-01,STANDARD,0.0,0.9117750525474548
26,R_A2,19,22,1671.1983642578125,302.8148498535156,30,302.8148498535156,0,2018-01-01,STANDARD,0.0,0.3185369372367859
26,R_A2,20,22,1681.172607421875,303.48406982421875,29,303.48406982421875,0,2018-01-01,STANDARD,0.0,0.8733584880828857
27,R_A2,21,22,1682.9765625,303.9555969238281,29,303.9555969238281,0,2018-01-01,STANDARD,0.0,1.0
28,R_A2,22,22,1684.780517578125,304.1265563964844,29,304.1265563964844,0,2018-01-01,STANDARD,0.0,1.0
29,R_A2,23,22,1686.58447265625,304.2975158691406,29,304.2975158691406,0,2018-01-01,STANDARD,0.0,1.0
30,R_A2,24,22,1688.388427734375,304.46844482421875,29,304.46844482421875,0,2018-01-01,STANDARD,0.0,1.0
1,R_A3,1,28,1608.5380859375,298.61328125,41,298.61328125,0,2018-01-01,STANDARD,0.0,0.29040786623954773
2,R_A3,2,28,1610.5086669921875,298.745361328125,41,298.745361328125,0,2018-01-01,STANDARD,0.0,0.19280129671096802
2,R_A3,3,29,1602.7447509765625,298.2250671386719,41,298.2250671386719,0,2018-01-01,STANDARD,0.0,0.18547323346138
3,R_A3,4,29,1604.807373046875,298.36328125,41,298.36328125,0,2018-01-01,STANDARD,0.0,0.14304451644420624
4,R_A3,5,29,1606.8699951171875,298.5014953613281,41,298.5014953613281,0,2018-01-01,STANDARD,0.0,0.6481541991233826
5,R_A3,6,29,1608.9326171875,298.6397399902344,41,298.6397399902344,0,2018-01-01,STANDARD,0.0,0.8099463582038879
6,R_A3,7,29,1610.9952392578125,298.7779541015625,41,298.7779541015625,0,2018-01-01,STANDARD,0.0,0.6481541991233826
7,R_A3,8,29,1613.057861328125,298.91619873046875,41,298.91619873046875,0,2018-01-01,STANDARD,0.0,0.19473998248577118
8,R_A3,9,29,1615.1204833984375,299.054443359375,41,299.054443359375,0,2018-01-01,STANDARD,0.0,0.28292036056518555
9,R_A3,10,29,1617.18310546875,299.1927185058594,41,299.1927185058594,0,2018-01-01,STANDARD,0.0,0.8012545108795166
10,R_A3,11,29,1619.245849609375,299.3309631347656,41,299.3309631347656,0,2018-01-01,STANDARD,0.0,0.7967146039009094
11,R_A3,12,29,1621.4188232421875,299.47662353515625,41,299.47662353515625,0,2018-01-01,STANDARD,0.0,0.047744568437337875
12,R_A3,13,29,1623.7020263671875,299.6296691894531,41,299.6296691894531,0,2018-01-01,STANDARD,0.0,0.053406234830617905
13,R_A3,14,29,1625.9852294921875,299.7827453613281,41,299.7827453613281,0,2018-01-01,STANDARD,0.0,0.3729403018951416
14,R_A3,15,29,1628.2685546875,299.935791015625,41,299.935791015625,0,2018-01-01,STANDARD,0.0,0.2230851948261261
15,R_A3,16,29,1630.5517578125,300.0888671875,41,300.0888671875,0,2018-01-01,STANDARD,0.0,0.601466715335846
