SWAT,DATE,CONKPOS,DEPTH,CONJPOS,WELL,PRESSURE,CONIDX,CONIPOS,WELLMODEL,DRAWDOWN,CONBPRES,SGAS
0.8614053726196289,2018-01-01,7,1647.9571533203125,30,R_A2,301.2711486816406,7,22,STANDARD,0,301.2711486816406,0.0
0.8557361960411072,2018-01-01,8,1649.630615234375,30,R_A2,301.3833923339844,8,22,STANDARD,0,301.3833923339844,0.0
0.8638221621513367,2018-01-01,9,1651.30419921875,30,R_A2,301.49560546875,9,22,STANDARD,0,301.49560546875,0.0
0.8653982877731323,2018-01-01,10,1652.977783203125,30,R_A2,301.60784912109375,10,22,STANDARD,0,301.60784912109375,0.0
0.06344086676836014,2018-01-01,11,1654.849609375,30,R_A2,301.7333984375,11,22,STANDARD,0,301.7333984375,0.0
0.06936579942703247,2018-01-01,12,1656.919677734375,30,R_A2,301.87225341796875,12,22,STANDARD,0,301.87225341796875,0.0
0.40776005387306213,2018-01-01,13,1658.989990234375,30,R_A2,302.0111083984375,13,22,STANDARD,0,302.0111083984375,0.0
0.44361060857772827,2018-01-01,14,1661.06005859375,30,R_A2,302.14996337890625,14,22,STANDARD,0,302.14996337890625,0.0
0.881356418132782,2018-01-01,15,1663.1302490234375,30,R_A2,302.288818359375,15,22,STANDARD,0,302.288818359375,0.0
0.8760295510292053,2018-01-01,16,1665.200439453125,30,R_A2,302.4277038574219,16,22,STANDARD,0,302.4277038574219,0.0
0.943411111831665,2018-01-01,16,1672.66162109375,29,R_A2,302.92822265625,17,22,STANDARD,0,302.92822265625,0.0
0.9356725811958313,2018-01-01,17,1674.721435546875,29,R_A2,303.0664367675781,18,22,STANDARD,0,303.0664367675781,0.0
0.9626368284225464,2018-01-01,18,1676.1910400390625,29,R_A2,303.1650390625,19,22,STANDARD,0,303.1650390625,0.0
1.0,2018-01-01,25,1677.4869384765625,29,R_A2,303.2519836425781,20,22,STANDARD,0,303.2519836425781,0.0
1.0,2018-01-01,26,1679.19970703125,29,R_A2,303.36688232421875,21,22,STANDARD,0,303.36688232421875,0.0
0.7332503199577332,2018-01-01,27,1680.912353515625,29,R_A2,303.4818115234375,22,22,STANDARD,0,303.4818115234375,0.0
1.0,2018-01-01,28,1682.6248779296875,29,R_A2,303.92230224609375,23,22,STANDARD,0,303.92230224609375,0.0
1.0,2018-01-01,29,1684.337646484375,29,R_A2,304.0845947265625,24,22,STANDARD,0,304.0845947265625,0.0
0.21248066425323486,2018-01-01,1,1610.0968017578125,41,R_A3,298.7329406738281,1,28,STANDARD,0,298.7329406738281,0.0
0.11450521647930145,2018-01-01,2,1612.1220703125,41,R_A3,298.8686828613281,2,28,STANDARD,0,298.8686828613281,0.0
0.11823459714651108,2018-01-01,2,1601.361328125,41,R_A3,298.1475524902344,3,29,STANDARD,0,298.1475524902344,0.0
0.11823459714651108,2018-01-01,3,1603.4326171875,41,R_A3,298.2863464355469,4,29,STANDARD,0,298.2863464355469,0.0
0.21027497947216034,2018-01-01,4,1605.5040283203125,41,R_A3,298.4251708984375,5,29,STANDARD,0,298.4251708984375,0.0
0.8053756952285767,2018-01-01,5,1607.575439453125,41,R_A3,298.56396484375,6,29,STANDARD,0,298.56396484375,0.0
0.6481541991233826,2018-01-01,6,1609.646728515625,41,R_A3,298.7027893066406,7,29,STANDARD,0,298.7027893066406,0.0
0.194863960146904,2018-01-01,7,1611.7181396484375,41,R_A3,298.84161376953125,8,29,STANDARD,0,298.84161376953125,0.0
0.19432230293750763,2018-01-01,8,1613.78955078125,41,R_A3,298.9804382324219,9,29,STANDARD,0,298.9804382324219,0.0
0.7897500991821289,2018-01-01,9,1615.86083984375,41,R_A3,299.1192626953125,10,29,STANDARD,0,299.1192626953125,0.0
0.7896527051925659,2018-01-01,10,1617.93212890625,41,R_A3,299.25811767578125,11,29,STANDARD,0,299.25811767578125,0.0
0.047197628766298294,2018-01-01,11,1620.1337890625,41,R_A3,299.4056701660156,12,29,STANDARD,0,299.4056701660156,0.0
0.05241674557328224,2018-01-01,12,1622.4654541015625,41,R_A3,299.5619812011719,13,29,STANDARD,0,299.5619812011719,0.0
0.36532828211784363,2018-01-01,13,1624.797119140625,41,R_A3,299.7182922363281,14,29,STANDARD,0,299.7182922363281,0.0
0.601466715335846,2018-01-01,15,1629.46044921875,41,R_A3,300.0309143066406,15,29,STANDARD,0,300.0309143066406,0.0
0.8006042838096619,2018-01-01,16,1631.3363037109375,41,R_A3,300.15667724609375,16,29,STANDARD,0,300.15667724609375,0.0
1.0,2018-01-01,25,1633.9910888671875,41,R_A3,300.33465576171875,17,29,STANDARD,0,300.33465576171875,0.0
0.04149629548192024,2018-01-01,26,1637.6715087890625,41,R_A3,300.5814208984375,18,29,STANDARD,0,300.5814208984375,0.0
0.05179470404982567,2018-01-01,27,1641.3519287109375,41,R_A3,300.8282165527344,19,29,STANDARD,0,300.8282165527344,0.0
0.8145325779914856,2018-01-01,28,1645.032470703125,41,R_A3,301.07501220703125,20,29,STANDARD,0,301.07501220703125,0.0
0.0823386088013649,2018-01-01,29,1648.7127685546875,41,R_A3,301.32183837890625,21,29,STANDARD,0,301.32183837890625,0.0
0.048978887498378754,2018-01-01,1,1630.70361328125,52,R_A4,300.1142578125,1,30,STANDARD,0,300.1142578125,0.0
0.04685080423951149,2018-01-01,1,1626.3154296875,52,R_A4,299.820068359375,2,31,STANDARD,0,299.820068359375,0.0
0.048521142452955246,2018-01-01,2,1628.36181640625,52,R_A4,299.9572448730469,3,31,STANDARD,0,299.9572448730469,0.0
0.0498688705265522,2018-01-01,3,1630.408203125,52,R_A4,300.0944519042969,4,31,STANDARD,0,300.0944519042969,0.0
0.050801344215869904,2018-01-01,4,1632.45458984375,52,R_A4,300.2316589355469,5,31,STANDARD,0,300.2316589355469,0.0
0.11804056167602539,2018-01-01,5,1634.5009765625,52,R_A4,300.36883544921875,6,31,STANDARD,0,300.36883544921875,0.0
0.053171444684267044,2018-01-01,5,1632.05126953125,52,R_A4,300.2046203613281,7,32,STANDARD,0,300.2046203613281,0.0
0.6481541991233826,2018-01-01,6,1633.931396484375,52,R_A4,300.3306579589844,8,32,STANDARD,0,300.3306579589844,0.0
0.10485480725765228,2018-01-01,6,1635.9208984375,51,R_A4,300.46405029296875,9,32,STANDARD,0,300.46405029296875,0.0
0.055541519075632095,2018-01-01,6,1637.9014892578125,51,R_A4,300.59686279296875,10,33,STANDARD,0,300.59686279296875,0.0
0.05590737983584404,2018-01-01,5,1636.091064453125,51,R_A4,300.4754638671875,11,33,STANDARD,0,300.4754638671875,0.0
0.059445224702358246,2018-01-01,5,1641.181640625,50,R_A4,300.8168029785156,12,33,STANDARD,0,300.8168029785156,0.0
0.062161244451999664,2018-01-01,5,1641.7569580078125,50,R_A4,300.8553771972656,13,34,STANDARD,0,300.8553771972656,0.0
