PRESSURE,DEPTH,CONKPOS,SGAS,WELL,DATE,CONJPOS,DRAWDOWN,CONIPOS,SWAT,CONBPRES,CONIDX,WELLMODEL
300.6733093261719,1641.094970703125,1,0.0,R_A2,2018-01-01,30,0,22,0.05649875849485397,300.6733093261719,1,STANDARD
300.7936096191406,1642.8890380859375,2,0.0,R_A2,2018-01-01,30,0,22,0.05709094554185867,300.7936096191406,2,STANDARD
300.9139099121094,1644.68310546875,3,0.0,R_A2,2018-01-01,30,0,22,0.06132970005273819,300.9139099121094,3,STANDARD
301.0342102050781,1646.4771728515625,4,0.0,R_A2,2018-01-01,30,0,22,0.06751589477062225,301.0342102050781,4,STANDARD
301.1545104980469,1648.2713623046875,5,0.0,R_A2,2018-01-01,30,0,22,0.07101739197969437,301.1545104980469,5,STANDARD
301.27484130859375,1650.0654296875,6,0.0,R_A2,2018-01-01,30,0,22,0.3220924139022827,301.27484130859375,6,STANDARD
301.3951721191406,1651.859619140625,7,0.0,R_A2,2018-01-01,30,0,22,0.6901668310165405,301.3951721191406,7,STANDARD
301.5154724121094,1653.6536865234375,8,0.0,R_A2,2018-01-01,30,0,22,0.6481541991233826,301.5154724121094,8,STANDARD
301.63580322265625,1655.44775390625,9,0.0,R_A2,2018-01-01,30,0,22,0.6481541991233826,301.63580322265625,9,STANDARD
301.7561340332031,1657.2418212890625,10,0.0,R_A2,2018-01-01,30,0,22,0.9162277579307556,301.7561340332031,10,STANDARD
301.88323974609375,1659.1368408203125,11,0.0,R_A2,2018-01-01,30,0,22,0.07591938227415085,301.88323974609375,11,STANDARD
302.01708984375,1661.132568359375,12,0.0,R_A2,2018-01-01,30,0,22,0.08079689741134644,302.01708984375,12,STANDARD
302.1509704589844,1663.12841796875,13,0.0,R_A2,2018-01-01,30,0,22,0.45630839467048645,302.1509704589844,13,STANDARD
302.28485107421875,1665.1241455078125,14,0.0,R_A2,2018-01-01,30,0,22,0.503816545009613,302.28485107421875,14,STANDARD
302.4187316894531,1667.1199951171875,15,0.0,R_A2,2018-01-01,30,0,22,0.6866241097450256,302.4187316894531,15,STANDARD
302.5526123046875,1669.11572265625,16,0.0,R_A2,2018-01-01,30,0,22,0.9751048684120178,302.5526123046875,16,STANDARD
302.6864929199219,1671.111572265625,17,0.0,R_A2,2018-01-01,30,0,22,0.9595911502838135,302.6864929199219,17,STANDARD
302.8123779296875,1672.9881591796875,18,0.0,R_A2,2018-01-01,30,0,22,0.980763852596283,302.8123779296875,18,STANDARD
