SGAS,SWAT,CONIPOS,CONJPOS,DRAWDOWN,PRESSURE,DATE,CONKPOS,CONBPRES,DEPTH,WELLMODEL,WELL,CONIDX
0.0,0.05070262402296066,22,30,0,300.5487060546875,2018-01-01,1,300.5487060546875,1637.2823486328125,STANDARD,R_A2,1
0.0,0.053226884454488754,22,30,0,300.6671142578125,2018-01-01,2,300.6671142578125,1639.0482177734375,STANDARD,R_A2,2
0.0,0.05515426769852638,22,30,0,300.7855224609375,2018-01-01,3,300.7855224609375,1640.814208984375,STANDARD,R_A2,3
0.0,0.12717129290103912,22,30,0,300.9039306640625,2018-01-01,4,300.9039306640625,1642.580078125,STANDARD,R_A2,4
0.0,0.13582123816013336,22,30,0,301.0223388671875,2018-01-01,5,301.0223388671875,1644.345947265625,STANDARD,R_A2,5
0.0,0.24871954321861267,22,30,0,301.1407775878906,2018-01-01,6,301.1407775878906,1646.1119384765625,STANDARD,R_A2,6
0.0,0.8695467114448547,22,30,0,301.2591857910156,2018-01-01,7,301.2591857910156,1647.8778076171875,STANDARD,R_A2,7
0.0,0.8479176163673401,22,30,0,301.37762451171875,2018-01-01,8,301.37762451171875,1649.6436767578125,STANDARD,R_A2,8
0.0,0.6481541991233826,22,30,0,301.4960632324219,2018-01-01,9,301.4960632324219,1651.40966796875,STANDARD,R_A2,9
0.0,0.8639572262763977,22,30,0,301.614501953125,2018-01-01,10,301.614501953125,1653.175537109375,STANDARD,R_A2,10
0.0,0.064622662961483,22,30,0,301.743408203125,2018-01-01,11,301.743408203125,1655.0977783203125,STANDARD,R_A2,11
0.0,0.4125044345855713,22,30,0,302.0222473144531,2018-01-01,13,302.0222473144531,1659.2548828125,STANDARD,R_A2,12
0.0,0.45304790139198303,22,30,0,302.1616516113281,2018-01-01,14,302.1616516113281,1661.33349609375,STANDARD,R_A2,13
0.0,0.8718688488006592,22,30,0,302.30108642578125,2018-01-01,15,302.30108642578125,1663.412109375,STANDARD,R_A2,14
0.0,0.8917048573493958,22,30,0,302.4405212402344,2018-01-01,16,302.4405212402344,1665.4906005859375,STANDARD,R_A2,15
0.0,0.8495208024978638,22,30,0,302.5799560546875,2018-01-01,17,302.5799560546875,1667.569091796875,STANDARD,R_A2,16
0.0,0.9128406047821045,22,30,0,302.6883850097656,2018-01-01,18,302.6883850097656,1669.1856689453125,STANDARD,R_A2,17
0.0,1.0,22,30,0,302.78436279296875,2018-01-01,30,302.78436279296875,1670.6160888671875,STANDARD,R_A2,18
0.0,1.0,22,30,0,302.8988342285156,2018-01-01,31,302.8988342285156,1672.322509765625,STANDARD,R_A2,19
0.0,0.8461727499961853,22,29,0,303.3497314453125,2018-01-01,31,303.3497314453125,1679.04296875,STANDARD,R_A2,20
0.0,1.0,22,29,0,303.4654846191406,2018-01-01,32,303.4654846191406,1680.76806640625,STANDARD,R_A2,21
0.0,1.0,22,29,0,303.9097900390625,2018-01-01,33,303.9097900390625,1682.4931640625,STANDARD,R_A2,22
0.0,1.0,22,29,0,304.0732727050781,2018-01-01,34,304.0732727050781,1684.21826171875,STANDARD,R_A2,23
0.0,0.6481541991233826,28,41,0,298.6673583984375,2018-01-01,1,298.6673583984375,1609.216796875,STANDARD,R_A3,1
0.0,0.19314774870872498,28,41,0,298.8044128417969,2018-01-01,2,298.8044128417969,1611.261962890625,STANDARD,R_A3,2
0.0,0.1348397135734558,28,41,0,298.94146728515625,2018-01-01,3,298.94146728515625,1613.3070068359375,STANDARD,R_A3,3
0.0,0.11596084386110306,28,41,0,299.07855224609375,2018-01-01,4,299.07855224609375,1615.35205078125,STANDARD,R_A3,4
0.0,0.17949047684669495,28,41,0,299.2156066894531,2018-01-01,5,299.2156066894531,1617.397216796875,STANDARD,R_A3,5
0.0,0.8110664486885071,29,41,0,298.5895080566406,2018-01-01,5,298.5895080566406,1608.0555419921875,STANDARD,R_A3,6
0.0,0.6481541991233826,29,41,0,298.7291564941406,2018-01-01,6,298.7291564941406,1610.1392822265625,STANDARD,R_A3,7
0.0,0.19319510459899902,29,41,0,298.86883544921875,2018-01-01,7,298.86883544921875,1612.22314453125,STANDARD,R_A3,8
0.0,0.25731173157691956,29,41,0,299.00848388671875,2018-01-01,8,299.00848388671875,1614.306884765625,STANDARD,R_A3,9
0.0,0.7965871095657349,29,41,0,299.1481628417969,2018-01-01,9,299.1481628417969,1616.3907470703125,STANDARD,R_A3,10
0.0,0.7910506129264832,29,41,0,299.287841796875,2018-01-01,10,299.287841796875,1618.474609375,STANDARD,R_A3,11
0.0,0.047581013292074203,29,41,0,299.43438720703125,2018-01-01,11,299.43438720703125,1620.6607666015625,STANDARD,R_A3,12
0.0,0.053171586245298386,29,41,0,299.5877685546875,2018-01-01,12,299.5877685546875,1622.94921875,STANDARD,R_A3,13
0.0,0.36786484718322754,29,41,0,299.7411804199219,2018-01-01,13,299.7411804199219,1625.2376708984375,STANDARD,R_A3,14
0.0,0.601466715335846,29,41,0,300.0480041503906,2018-01-01,15,300.0480041503906,1629.814453125,STANDARD,R_A3,15
0.0,0.8006873726844788,29,41,0,300.1727600097656,2018-01-01,16,300.1727600097656,1631.67529296875,STANDARD,R_A3,16
0.0,0.7421474456787109,29,41,0,300.3471984863281,2018-01-01,30,300.3471984863281,1634.2769775390625,STANDARD,R_A3,17
0.0,0.04148634895682335,29,41,0,300.58721923828125,2018-01-01,31,300.58721923828125,1637.85693359375,STANDARD,R_A3,18
0.0,0.049135737121105194,29,41,0,300.8272705078125,2018-01-01,32,300.8272705078125,1641.43701171875,STANDARD,R_A3,19
0.0,1.0,29,41,0,301.0673522949219,2018-01-01,33,301.0673522949219,1645.0169677734375,STANDARD,R_A3,20
0.0,0.09405767172574997,29,41,0,301.30743408203125,2018-01-01,34,301.30743408203125,1648.5970458984375,STANDARD,R_A3,21
0.0,0.04998466745018959,30,52,0,300.03802490234375,2018-01-01,1,300.03802490234375,1629.66552734375,STANDARD,R_A4,1
0.0,0.047115061432123184,31,52,0,299.8087158203125,2018-01-01,1,299.8087158203125,1626.244873046875,STANDARD,R_A4,2
0.0,0.04844687134027481,31,52,0,299.94671630859375,2018-01-01,2,299.94671630859375,1628.303466796875,STANDARD,R_A4,3
0.0,0.05008166283369064,31,52,0,300.084716796875,2018-01-01,3,300.084716796875,1630.3621826171875,STANDARD,R_A4,4
0.0,0.05388987809419632,31,52,0,300.2227478027344,2018-01-01,4,300.2227478027344,1632.4208984375,STANDARD,R_A4,5
0.0,0.054315343499183655,32,52,0,300.1756591796875,2018-01-01,4,300.1756591796875,1631.7183837890625,STANDARD,R_A4,6
0.0,0.056939009577035904,32,52,0,300.30029296875,2018-01-01,5,300.30029296875,1633.577392578125,STANDARD,R_A4,7
0.0,0.056179095059633255,32,51,0,300.5104064941406,2018-01-01,5,300.5104064941406,1636.7110595703125,STANDARD,R_A4,8
0.0,0.0549481138586998,32,51,0,300.3900146484375,2018-01-01,4,300.3900146484375,1634.915771484375,STANDARD,R_A4,9
0.0,0.060282908380031586,33,51,0,300.6090393066406,2018-01-01,4,300.6090393066406,1638.1822509765625,STANDARD,R_A4,10
0.0,0.055854007601737976,33,51,0,300.4883728027344,2018-01-01,3,300.4883728027344,1636.382568359375,STANDARD,R_A4,11
0.0,0.06197303906083107,33,50,0,300.8360595703125,2018-01-01,3,300.8360595703125,1641.5679931640625,STANDARD,R_A4,12
0.0,0.06306146085262299,34,50,0,300.7808532714844,2018-01-01,3,300.7808532714844,1640.74462890625,STANDARD,R_A4,13
0.0,0.11565081030130386,34,50,0,300.6517333984375,2018-01-01,2,300.6517333984375,1638.819091796875,STANDARD,R_A4,14
0.0,0.14414037764072418,35,50,0,300.7398986816406,2018-01-01,2,300.7398986816406,1640.1336669921875,STANDARD,R_A4,15
0.0,0.224079892039299,35,50,0,300.6194763183594,2018-01-01,1,300.6194763183594,1638.338134765625,STANDARD,R_A4,16
0.0,0.05064289644360542,35,49,0,300.7834167480469,2018-01-01,33,300.7834167480469,1640.7828369140625,STANDARD,R_A4,17
0.0,0.0506020225584507,35,49,0,300.39483642578125,2018-01-01,32,300.39483642578125,1634.9874267578125,STANDARD,R_A4,18
0.0,0.13578364253044128,36,49,0,300.8735656738281,2018-01-01,32,300.8735656738281,1642.1270751953125,STANDARD,R_A4,19
0.0,0.05417117848992348,36,48,0,300.9503479003906,2018-01-01,32,300.9503479003906,1643.272216796875,STANDARD,R_A4,20
0.0,0.6481541991233826,37,48,0,301.41204833984375,2018-01-01,32,301.41204833984375,1650.1571044921875,STANDARD,R_A4,21
0.0,0.2221333086490631,38,48,0,301.6185302734375,2018-01-01,32,301.6185302734375,1653.235595703125,STANDARD,R_A4,22
0.0,0.19499564170837402,38,47,0,302.2484130859375,2018-01-01,32,302.2484130859375,1662.626708984375,STANDARD,R_A4,23
0.0,0.06815037876367569,38,47,0,301.8744201660156,2018-01-01,31,301.8744201660156,1657.0511474609375,STANDARD,R_A4,24
0.0,1.0,31,20,0,303.812255859375,2018-01-01,1,303.812255859375,1684.6907958984375,STANDARD,R_A5,1
0.0,1.0,31,20,0,304.0104064941406,2018-01-01,2,304.0104064941406,1686.781494140625,STANDARD,R_A5,2
0.0,1.0,31,20,0,304.2085266113281,2018-01-01,3,304.2085266113281,1688.872314453125,STANDARD,R_A5,3
