CONIDX,DATE,CONJPOS,DEPTH,CONKPOS,SGAS,SWAT,WELLMODEL,WELL,PRESSURE,DRAWDOWN,CONIPOS,CONBPRES
1,2018-01-01,30,1639.990966796875,1,0.0,0.053055837750434875,STANDARD,R_A2,300.6957702636719,0,22,300.6957702636719
2,2018-01-01,30,1641.76318359375,2,0.0,0.05486850067973137,STANDARD,R_A2,300.8146057128906,0,22,300.8146057128906
3,2018-01-01,30,1643.535400390625,3,0.0,0.058620013296604156,STANDARD,R_A2,300.9334411621094,0,22,300.9334411621094
4,2018-01-01,30,1645.3076171875,4,0.0,0.06506361067295074,STANDARD,R_A2,301.0522766113281,0,22,301.0522766113281
5,2018-01-01,30,1647.079833984375,5,0.0,0.0676606297492981,STANDARD,R_A2,301.1711120605469,0,22,301.1711120605469
6,2018-01-01,30,1648.85205078125,6,0.0,0.11161040514707565,STANDARD,R_A2,301.28997802734375,0,22,301.28997802734375
7,2018-01-01,30,1650.624267578125,7,0.0,0.6481541991233826,STANDARD,R_A2,301.4088134765625,0,22,301.4088134765625
8,2018-01-01,30,1652.396484375,8,0.0,0.8554050922393799,STANDARD,R_A2,301.5276794433594,0,22,301.5276794433594
9,2018-01-01,30,1654.168701171875,9,0.0,0.6481541991233826,STANDARD,R_A2,301.64654541015625,0,22,301.64654541015625
10,2018-01-01,30,1655.94091796875,10,0.0,0.6481541991233826,STANDARD,R_A2,301.7654113769531,0,22,301.7654113769531
11,2018-01-01,30,1657.83642578125,11,0.0,0.0683986023068428,STANDARD,R_A2,301.8925476074219,0,22,301.8925476074219
12,2018-01-01,30,1661.874267578125,13,0.0,0.43144491314888,STANDARD,R_A2,302.1633605957031,0,22,302.1633605957031
13,2018-01-01,30,1663.8931884765625,14,0.0,0.46960148215293884,STANDARD,R_A2,302.2987976074219,0,22,302.2987976074219
14,2018-01-01,30,1665.912109375,15,0.0,0.901584267616272,STANDARD,R_A2,302.4342346191406,0,22,302.4342346191406
15,2018-01-01,30,1667.9310302734375,16,0.0,0.927882730960846,STANDARD,R_A2,302.5696716308594,0,22,302.5696716308594
16,2018-01-01,29,1670.82666015625,16,0.0,0.9443845152854919,STANDARD,R_A2,302.763916015625,0,22,302.763916015625
17,2018-01-01,29,1672.9644775390625,17,0.0,0.9327914714813232,STANDARD,R_A2,302.9073486328125,0,22,302.9073486328125
18,2018-01-01,29,1674.73046875,18,0.0,0.972040593624115,STANDARD,R_A2,303.02581787109375,0,22,303.02581787109375
19,2018-01-01,29,1676.302490234375,28,0.0,1.0,STANDARD,R_A2,303.13128662109375,0,22,303.13128662109375
20,2018-01-01,29,1678.052490234375,29,0.0,1.0,STANDARD,R_A2,303.24871826171875,0,22,303.24871826171875
21,2018-01-01,29,1679.8023681640625,30,0.0,0.8411293029785156,STANDARD,R_A2,303.3661193847656,0,22,303.3661193847656
22,2018-01-01,29,1681.55224609375,31,0.0,1.0,STANDARD,R_A2,303.8206481933594,0,22,303.8206481933594
23,2018-01-01,29,1683.3021240234375,32,0.0,1.0,STANDARD,R_A2,303.9864501953125,0,22,303.9864501953125
1,2018-01-01,41,1609.778076171875,1,0.0,0.1188441589474678,STANDARD,R_A3,298.67041015625,0,28,298.67041015625
2,2018-01-01,41,1600.9248046875,1,0.0,0.6481541991233826,STANDARD,R_A3,298.0771179199219,0,29,298.0771179199219
3,2018-01-01,41,1602.9630126953125,2,0.0,0.11823459714651108,STANDARD,R_A3,298.2137145996094,0,29,298.2137145996094
4,2018-01-01,41,1605.001220703125,3,0.0,0.11823459714651108,STANDARD,R_A3,298.35028076171875,0,29,298.35028076171875
5,2018-01-01,41,1607.039306640625,4,0.0,0.14938019216060638,STANDARD,R_A3,298.48687744140625,0,29,298.48687744140625
6,2018-01-01,41,1609.0775146484375,5,0.0,0.6481541991233826,STANDARD,R_A3,298.62347412109375,0,29,298.62347412109375
7,2018-01-01,41,1611.11572265625,6,0.0,0.32867762446403503,STANDARD,R_A3,298.76007080078125,0,29,298.76007080078125
8,2018-01-01,41,1613.15380859375,7,0.0,0.1967204511165619,STANDARD,R_A3,298.89666748046875,0,29,298.89666748046875
9,2018-01-01,41,1615.19189453125,8,0.0,0.19648565351963043,STANDARD,R_A3,299.03326416015625,0,29,299.03326416015625
10,2018-01-01,41,1617.230224609375,9,0.0,0.243601992726326,STANDARD,R_A3,299.1698913574219,0,29,299.1698913574219
11,2018-01-01,41,1619.268310546875,10,0.0,0.26402342319488525,STANDARD,R_A3,299.3064880371094,0,29,299.3064880371094
12,2018-01-01,41,1621.391845703125,11,0.0,0.04961138591170311,STANDARD,R_A3,299.4488220214844,0,29,299.4488220214844
13,2018-01-01,41,1623.6005859375,12,0.0,0.05321570485830307,STANDARD,R_A3,299.5968933105469,0,29,299.5968933105469
14,2018-01-01,41,1625.809326171875,13,0.0,0.37150877714157104,STANDARD,R_A3,299.7449645996094,0,29,299.7449645996094
