ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,4926419,1064714,818028,570452,80319613
Valysar,CentralSouth,58951371,10928991,8202726,5720172,805400196
Valysar,CentralNorth,33028430,5129295,3517959,2453249,345417435
Valysar,NorthHorst,3733402,659761,412718,253512,49663019
Valysar,CentralRamp,13746446,2202425,1504773,1049354,147749023
Valysar,CentralHorst,83575663,11497012,7942259,5538535,779825714
Valysar,EastLowland,291997,54580,18993,13244,1864815
Therys,WestLowland,2204974,367275,188821,131674,18539729
Therys,CentralSouth,7739954,1729709,1096747,764817,107686201
Therys,CentralNorth,16994693,3423101,2036689,1420285,199976152
Therys,NorthHorst,6379920,958967,403299,247726,48529600
Therys,CentralRamp,6770890,1467495,1098929,766338,107900400
Therys,CentralHorst,27124747,6567810,5038328,3513478,494697756
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,254401,35508,19025,13267,1868050
Volon,CentralSouth,25233069,4499288,3244276,2262396,318545414
Volon,CentralNorth,3697124,485378,232386,162054,22817238
Volon,NorthHorst,4753929,877127,639761,392973,76983473
Volon,CentralRamp,11517600,2087703,1594215,1111726,156530974
Volon,CentralHorst,77438374,13583928,10627662,7411201,1043497112
Volon,EastLowland,0,0,0,0,0
