PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID,REAL,ENSEMBLE
PERM,LowerReek,Dorne,Background,6.641328,,100.0,0.10764647,1.0315347,15.013056,8.667836,geogrid,geogrid,7,iter-3
PORO,LowerReek,Dorne,Background,0.08237536,,0.2280463,0.0,0.022766165,0.14136331,0.04425701,geogrid,geogrid,7,iter-3
SW,LowerReek,Dorne,Background,0.99822253,,1.0,0.0,1.0,1.0,0.03551869,geogrid,geogrid,7,iter-3
PERM,LowerReek,Dorne,Channel,2903.8965,,10000.0,21.296312,392.58047,7908.8027,2844.8096,geogrid,geogrid,7,iter-3
PORO,LowerReek,Dorne,Channel,0.24954358,,0.44577295,0.045450494,0.18557818,0.31298885,0.04959825,geogrid,geogrid,7,iter-3
SW,LowerReek,Dorne,Channel,0.9919728,,1.0,0.08706469,1.0,1.0,0.07717675,geogrid,geogrid,7,iter-3
PERM,LowerReek,Dorne,Crevasse,173.02852,,1000.0,3.5735013,22.303793,420.15247,198.90149,geogrid,geogrid,7,iter-3
PORO,LowerReek,Dorne,Crevasse,0.20085722,,0.3666211,0.061515555,0.13953537,0.26189277,0.04769537,geogrid,geogrid,7,iter-3
SW,LowerReek,Dorne,Crevasse,0.9980344,,1.0,0.3864655,1.0,1.0,0.030113123,geogrid,geogrid,7,iter-3
PERM,LowerReek,IronIslands,Background,8.362977,,100.0,0.12587711,1.1996049,18.523094,10.857764,geogrid,geogrid,7,iter-3
PORO,LowerReek,IronIslands,Background,0.0912541,,0.26159328,0.0,0.029268265,0.1531885,0.046981066,geogrid,geogrid,7,iter-3
SW,LowerReek,IronIslands,Background,0.6911027,,1.0,0.0,0.29963845,1.0,0.30429405,geogrid,geogrid,7,iter-3
PERM,LowerReek,IronIslands,Channel,2705.3103,,10000.0,8.887086,388.56766,7191.579,2725.98,geogrid,geogrid,7,iter-3
PORO,LowerReek,IronIslands,Channel,0.24412128,,0.4319109,0.0399016,0.18128932,0.3060814,0.049146943,geogrid,geogrid,7,iter-3
SW,LowerReek,IronIslands,Channel,0.46631804,,1.0,0.019636497,0.036604133,1.0,0.4578551,geogrid,geogrid,7,iter-3
PERM,LowerReek,IronIslands,Crevasse,173.28352,,1000.0,3.1564035,23.594925,418.45764,210.6933,geogrid,geogrid,7,iter-3
PORO,LowerReek,IronIslands,Crevasse,0.1978066,,0.36922732,0.0440197,0.13378614,0.26323262,0.050080545,geogrid,geogrid,7,iter-3
