SWAT,SGAS,CONIPOS,WELLMODEL,WELL,CONKPOS,CONIDX,DRAWDOWN,CONJPOS,DATE,PRESSURE,DEPTH,CONBPRES
0.4590562582015991,0.0,22,STANDARD,R_A2,13,13,0,30,2018-01-01,302.0806884765625,1662.2457275390625,302.0806884765625
0.5056273341178894,0.0,22,STANDARD,R_A2,14,14,0,30,2018-01-01,302.2129211425781,1664.216796875,302.2129211425781
0.9509442448616028,0.0,22,STANDARD,R_A2,15,15,0,30,2018-01-01,302.3451232910156,1666.187744140625,302.3451232910156
0.9566583633422852,0.0,22,STANDARD,R_A2,15,16,0,29,2018-01-01,302.44464111328125,1667.671142578125,302.44464111328125
0.9818527698516846,0.0,22,STANDARD,R_A2,16,17,0,29,2018-01-01,302.5893859863281,1669.828857421875,302.5893859863281
0.9658761620521545,0.0,22,STANDARD,R_A2,17,18,0,29,2018-01-01,302.734130859375,1671.986572265625,302.734130859375
0.9936797618865967,0.0,22,STANDARD,R_A2,18,19,0,29,2018-01-01,302.8692626953125,1674.000732421875,302.8692626953125
1.0,0.0,22,STANDARD,R_A2,19,20,0,29,2018-01-01,302.9485168457031,1675.182373046875,302.9485168457031
1.0,0.0,22,STANDARD,R_A2,28,21,0,29,2018-01-01,303.0250244140625,1676.3226318359375,303.0250244140625
1.0,0.0,22,STANDARD,R_A2,29,22,0,29,2018-01-01,303.4945068359375,1678.110595703125,303.4945068359375
1.0,0.0,22,STANDARD,R_A2,30,23,0,29,2018-01-01,303.6639404296875,1679.8985595703125,303.6639404296875
1.0,0.0,22,STANDARD,R_A2,31,24,0,29,2018-01-01,303.8333435058594,1681.6865234375,303.8333435058594
1.0,0.0,22,STANDARD,R_A2,32,25,0,29,2018-01-01,304.0027770996094,1683.474365234375,304.0027770996094
0.6481541991233826,0.0,28,STANDARD,R_A3,1,1,0,41,2018-01-01,298.5601806640625,1609.7371826171875,298.5601806640625
0.134646475315094,0.0,28,STANDARD,R_A3,2,2,0,41,2018-01-01,298.7095642089844,1611.966064453125,298.7095642089844
0.17303651571273804,0.0,28,STANDARD,R_A3,3,3,0,41,2018-01-01,298.85894775390625,1614.19482421875,298.85894775390625
0.3688953220844269,0.0,28,STANDARD,R_A3,4,4,0,41,2018-01-01,299.0083312988281,1616.4237060546875,299.0083312988281
