CONIPOS,DEPTH,DATE,CONBPRES,DRAWDOWN,WELL,CONJPOS,CONKPOS,WELLMODEL,SGAS,CONIDX,PRESSURE,SWAT
22,1640.748779296875,2018-01-01,300.78363037109375,0,R_A2,30,1,STANDARD,0.0,1,300.78363037109375,0.05310631915926933
22,1642.531494140625,2018-01-01,300.9031677246094,0,R_A2,30,2,STANDARD,0.0,2,300.9031677246094,0.05525314435362816
22,1644.3143310546875,2018-01-01,301.022705078125,0,R_A2,30,3,STANDARD,0.0,3,301.022705078125,0.05776704475283623
22,1646.09716796875,2018-01-01,301.14227294921875,0,R_A2,30,4,STANDARD,0.0,4,301.14227294921875,0.06313541531562805
22,1647.8800048828125,2018-01-01,301.2618408203125,0,R_A2,30,5,STANDARD,0.0,5,301.2618408203125,0.06505560129880905
22,1649.662841796875,2018-01-01,301.3813781738281,0,R_A2,30,6,STANDARD,0.0,6,301.3813781738281,0.6481541991233826
22,1651.445556640625,2018-01-01,301.5009460449219,0,R_A2,30,7,STANDARD,0.0,7,301.5009460449219,0.8714595437049866
22,1653.228515625,2018-01-01,301.6205139160156,0,R_A2,30,8,STANDARD,0.0,8,301.6205139160156,0.6481541991233826
22,1655.01123046875,2018-01-01,301.7401123046875,0,R_A2,30,9,STANDARD,0.0,9,301.7401123046875,0.24397847056388855
22,1656.7940673828125,2018-01-01,301.85968017578125,0,R_A2,30,10,STANDARD,0.0,10,301.85968017578125,0.889877438545227
22,1658.6842041015625,2018-01-01,301.9864501953125,0,R_A2,30,11,STANDARD,0.0,11,301.9864501953125,0.06916751712560654
22,1660.6815185546875,2018-01-01,302.12042236328125,0,R_A2,30,12,STANDARD,0.0,12,302.12042236328125,0.06773114949464798
22,1662.678955078125,2018-01-01,302.25439453125,0,R_A2,30,13,STANDARD,0.0,13,302.25439453125,0.42744114995002747
22,1664.67626953125,2018-01-01,302.3883972167969,0,R_A2,30,14,STANDARD,0.0,14,302.3883972167969,0.46601399779319763
22,1666.6737060546875,2018-01-01,302.5223693847656,0,R_A2,30,15,STANDARD,0.0,15,302.5223693847656,0.9030611515045166
22,1668.6710205078125,2018-01-01,302.6563720703125,0,R_A2,30,16,STANDARD,0.0,16,302.6563720703125,0.9272446036338806
22,1670.66845703125,2018-01-01,302.7903747558594,0,R_A2,30,17,STANDARD,0.0,17,302.7903747558594,0.8664727807044983
22,1672.419677734375,2018-01-01,302.9078369140625,0,R_A2,30,18,STANDARD,0.0,18,302.9078369140625,0.913300096988678
22,1674.0023193359375,2018-01-01,303.0140380859375,0,R_A2,29,18,STANDARD,0.0,19,303.0140380859375,0.9416405558586121
22,1675.1083984375,2018-01-01,303.0882568359375,0,R_A2,29,19,STANDARD,0.0,20,303.0882568359375,0.9568988084793091
22,1676.2252197265625,2018-01-01,303.1631774902344,0,R_A2,29,26,STANDARD,0.0,21,303.1631774902344,1.0
22,1678.0465087890625,2018-01-01,303.2853698730469,0,R_A2,29,27,STANDARD,0.0,22,303.2853698730469,1.0
22,1679.8677978515625,2018-01-01,303.4075622558594,0,R_A2,29,28,STANDARD,0.0,23,303.4075622558594,1.0
22,1681.6890869140625,2018-01-01,303.52978515625,0,R_A2,29,29,STANDARD,0.0,24,303.52978515625,1.0
22,1683.51025390625,2018-01-01,304.0061950683594,0,R_A2,29,30,STANDARD,0.0,25,304.0061950683594,1.0
28,1607.597900390625,2018-01-01,298.56134033203125,0,R_A3,41,1,STANDARD,0.0,1,298.56134033203125,0.6481541991233826
28,1609.5810546875,2018-01-01,298.6942443847656,0,R_A3,41,2,STANDARD,0.0,2,298.6942443847656,0.14811569452285767
28,1611.564208984375,2018-01-01,298.8271484375,0,R_A3,41,3,STANDARD,0.0,3,298.8271484375,0.11823459714651108
29,1604.7860107421875,2018-01-01,298.3728942871094,0,R_A3,41,3,STANDARD,0.0,4,298.3728942871094,0.16251151263713837
29,1606.87109375,2018-01-01,298.51263427734375,0,R_A3,41,4,STANDARD,0.0,5,298.51263427734375,0.2066873162984848
29,1608.9560546875,2018-01-01,298.65234375,0,R_A3,41,5,STANDARD,0.0,6,298.65234375,0.8106244206428528
29,1611.0411376953125,2018-01-01,298.7920837402344,0,R_A3,41,6,STANDARD,0.0,7,298.7920837402344,0.6481541991233826
29,1613.1260986328125,2018-01-01,298.93182373046875,0,R_A3,41,7,STANDARD,0.0,8,298.93182373046875,0.19349949061870575
29,1615.211181640625,2018-01-01,299.07159423828125,0,R_A3,41,8,STANDARD,0.0,9,299.07159423828125,0.195963516831398
29,1617.296142578125,2018-01-01,299.2113342285156,0,R_A3,41,9,STANDARD,0.0,10,299.2113342285156,0.8011844158172607
29,1619.381103515625,2018-01-01,299.35107421875,0,R_A3,41,10,STANDARD,0.0,11,299.35107421875,0.791124165058136
29,1621.55810546875,2018-01-01,299.49700927734375,0,R_A3,41,11,STANDARD,0.0,12,299.49700927734375,0.046152614057064056
29,1623.8271484375,2018-01-01,299.64910888671875,0,R_A3,41,12,STANDARD,0.0,13,299.64910888671875,0.05271298065781593
29,1626.09619140625,2018-01-01,299.8012390136719,0,R_A3,41,13,STANDARD,0.0,14,299.8012390136719,0.3663748800754547
29,1628.365234375,2018-01-01,299.9533386230469,0,R_A3,41,14,STANDARD,0.0,15,299.9533386230469,0.1376352608203888
29,1630.63427734375,2018-01-01,300.10546875,0,R_A3,41,15,STANDARD,0.0,16,300.10546875,0.4698832035064697
29,1632.59228515625,2018-01-01,300.2367248535156,0,R_A3,41,16,STANDARD,0.0,17,300.2367248535156,0.7957671880722046
29,1635.1708984375,2018-01-01,300.40960693359375,0,R_A3,41,26,STANDARD,0.0,18,300.40960693359375,0.6481541991233826
29,1638.6810302734375,2018-01-01,300.6449890136719,0,R_A3,41,27,STANDARD,0.0,19,300.6449890136719,0.045031577348709106
29,1642.1910400390625,2018-01-01,300.8803405761719,0,R_A3,41,28,STANDARD,0.0,20,300.8803405761719,0.050847128033638
29,1645.701171875,2018-01-01,301.11572265625,0,R_A3,41,29,STANDARD,0.0,21,301.11572265625,0.6481541991233826
29,1649.211181640625,2018-01-01,301.3511047363281,0,R_A3,41,30,STANDARD,0.0,22,301.3511047363281,0.06126046180725098
30,1632.370849609375,2018-01-01,300.2218933105469,0,R_A4,52,1,STANDARD,0.0,1,300.2218933105469,0.05052226781845093
31,1627.73583984375,2018-01-01,299.9111328125,0,R_A4,52,1,STANDARD,0.0,2,299.9111328125,0.0749308243393898
31,1629.765625,2018-01-01,300.0472106933594,0,R_A4,52,2,STANDARD,0.0,3,300.0472106933594,0.15754850208759308
31,1631.7952880859375,2018-01-01,300.18328857421875,0,R_A4,52,3,STANDARD,0.0,4,300.18328857421875,0.11480202525854111
31,1633.824951171875,2018-01-01,300.3193664550781,0,R_A4,52,4,STANDARD,0.0,5,300.3193664550781,0.052747711539268494
32,1633.0965576171875,2018-01-01,300.2705383300781,0,R_A4,52,4,STANDARD,0.0,6,300.2705383300781,0.05468907207250595
32,1635.9644775390625,2018-01-01,300.46282958984375,0,R_A4,51,4,STANDARD,0.0,7,300.46282958984375,0.05707725137472153
