CONIDX,SWAT,CONIPOS,SGAS,DEPTH,DATE,PRESSURE,CONJPOS,CONBPRES,WELL,WELLMODEL,CONKPOS,DRAWDOWN
4,0.06408548355102539,22,0.0,1646.7220458984375,2018-01-01,301.1747741699219,30,301.1747741699219,R_A2,STANDARD,4,0
5,0.10535190254449844,22,0.0,1648.560791015625,2018-01-01,301.298095703125,30,301.298095703125,R_A2,STANDARD,5,0
6,0.312166690826416,22,0.0,1650.3994140625,2018-01-01,301.42138671875,30,301.42138671875,R_A2,STANDARD,6,0
7,0.8686332106590271,22,0.0,1652.238037109375,2018-01-01,301.5447082519531,30,301.5447082519531,R_A2,STANDARD,7,0
8,0.8395785689353943,22,0.0,1654.0767822265625,2018-01-01,301.66802978515625,30,301.66802978515625,R_A2,STANDARD,8,0
9,0.8698009848594666,22,0.0,1655.9154052734375,2018-01-01,301.7913513183594,30,301.7913513183594,R_A2,STANDARD,9,0
10,0.8911656737327576,22,0.0,1657.754150390625,2018-01-01,301.9146728515625,30,301.9146728515625,R_A2,STANDARD,10,0
11,0.07038770616054535,22,0.0,1659.703125,2018-01-01,302.0453796386719,30,302.0453796386719,R_A2,STANDARD,11,0
12,0.0714334100484848,22,0.0,1661.76220703125,2018-01-01,302.1835021972656,30,302.1835021972656,R_A2,STANDARD,12,0
13,0.4373805820941925,22,0.0,1663.8212890625,2018-01-01,302.3216247558594,30,302.3216247558594,R_A2,STANDARD,13,0
14,0.46718472242355347,22,0.0,1665.8804931640625,2018-01-01,302.4597473144531,30,302.4597473144531,R_A2,STANDARD,14,0
15,0.5437389612197876,22,0.0,1667.9395751953125,2018-01-01,302.597900390625,30,302.597900390625,R_A2,STANDARD,15,0
16,0.9382956624031067,22,0.0,1669.998779296875,2018-01-01,302.73602294921875,30,302.73602294921875,R_A2,STANDARD,16,0
17,0.8982505202293396,22,0.0,1672.057861328125,2018-01-01,302.8741760253906,30,302.8741760253906,R_A2,STANDARD,17,0
18,0.9440761804580688,22,0.0,1674.0545654296875,2018-01-01,303.00811767578125,30,303.00811767578125,R_A2,STANDARD,18,0
19,0.9585893154144287,22,0.0,1675.22265625,2018-01-01,303.0865173339844,30,303.0865173339844,R_A2,STANDARD,19,0
20,0.7556116580963135,22,0.0,1676.3311767578125,2018-01-01,303.160888671875,30,303.160888671875,R_A2,STANDARD,26,0
21,1.0,22,0.0,1678.146240234375,2018-01-01,303.28265380859375,30,303.28265380859375,R_A2,STANDARD,27,0
