Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:23:32
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       281037151.51         37994681.84         25015087.69         15732759.29
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  281037151.51         37994681.84         25015087.69         15732759.29
MidReek    1                       217141855.78         32253665.84         21819982.60         13723259.27
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  217141855.78         32253665.84         21819982.60         13723259.27
LowerReek  1                       127877366.67         20111248.44         14236261.02          8953623.14
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  127877366.67         20111248.44         14236261.02          8953623.14
Totals     1                       626056373.96         90359596.11         61071331.32         38409641.70
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  626056373.96         90359596.11         61071331.32         38409641.70
