CONBPRES,CONKPOS,CONIDX,WELLMODEL,PRESSURE,SGAS,SWAT,WELL,CONJPOS,DEPTH,CONIPOS,DRAWDOWN,DATE
301.1472473144531,5,5,STANDARD,301.1472473144531,0.0,0.06461019068956375,R_A2,30,1646.526123046875,22,0,2018-01-01
301.26422119140625,6,6,STANDARD,301.26422119140625,0.0,0.3000637888908386,R_A2,30,1648.2703857421875,22,0,2018-01-01
301.3811950683594,7,7,STANDARD,301.3811950683594,0.0,0.8690627813339233,R_A2,30,1650.0146484375,22,0,2018-01-01
301.4981994628906,8,8,STANDARD,301.4981994628906,0.0,0.8576272130012512,R_A2,30,1651.7589111328125,22,0,2018-01-01
301.61517333984375,9,9,STANDARD,301.61517333984375,0.0,0.8651848435401917,R_A2,30,1653.5032958984375,22,0,2018-01-01
301.7321472167969,10,10,STANDARD,301.7321472167969,0.0,0.8786662220954895,R_A2,30,1655.24755859375,22,0,2018-01-01
301.8604736328125,11,11,STANDARD,301.8604736328125,0.0,0.0674426406621933,R_A2,30,1657.16064453125,22,0,2018-01-01
302.0001220703125,12,12,STANDARD,302.0001220703125,0.0,0.07150285691022873,R_A2,30,1659.2427978515625,22,0,2018-01-01
302.1398010253906,13,13,STANDARD,302.1398010253906,0.0,0.43328070640563965,R_A2,30,1661.3248291015625,22,0,2018-01-01
302.2794494628906,14,14,STANDARD,302.2794494628906,0.0,0.46829789876937866,R_A2,30,1663.4068603515625,22,0,2018-01-01
302.41912841796875,15,15,STANDARD,302.41912841796875,0.0,0.8930084705352783,R_A2,30,1665.489013671875,22,0,2018-01-01
302.55877685546875,16,16,STANDARD,302.55877685546875,0.0,0.9111580848693848,R_A2,30,1667.571044921875,22,0,2018-01-01
302.82666015625,16,17,STANDARD,302.82666015625,0.0,0.9368399977684021,R_A2,29,1671.56396484375,22,0,2018-01-01
302.96636962890625,17,18,STANDARD,302.96636962890625,0.0,0.9328176379203796,R_A2,29,1673.646484375,22,0,2018-01-01
303.08251953125,18,19,STANDARD,303.08251953125,0.0,0.9766258001327515,R_A2,29,1675.3775634765625,22,0,2018-01-01
303.1905517578125,26,20,STANDARD,303.1905517578125,0.0,1.0,R_A2,29,1676.9876708984375,22,0,2018-01-01
303.3092041015625,27,21,STANDARD,303.3092041015625,0.0,0.7830209732055664,R_A2,29,1678.75634765625,22,0,2018-01-01
303.4278869628906,28,22,STANDARD,303.4278869628906,0.0,0.7124630212783813,R_A2,29,1680.525146484375,22,0,2018-01-01
303.8908996582031,29,23,STANDARD,303.8908996582031,0.0,1.0,R_A2,29,1682.2938232421875,22,0,2018-01-01
304.05853271484375,30,24,STANDARD,304.05853271484375,0.0,1.0,R_A2,29,1684.0625,22,0,2018-01-01
298.66693115234375,1,1,STANDARD,298.66693115234375,0.0,0.766505241394043,R_A3,41,1609.52783203125,28,0,2018-01-01
298.09967041015625,1,2,STANDARD,298.09967041015625,0.0,0.6481541991233826,R_A3,41,1601.0631103515625,29,0,2018-01-01
298.2380676269531,2,3,STANDARD,298.2380676269531,0.0,0.18856213986873627,R_A3,41,1603.1287841796875,29,0,2018-01-01
298.3764953613281,3,4,STANDARD,298.3764953613281,0.0,0.18584522604942322,R_A3,41,1605.1944580078125,29,0,2018-01-01
298.5149230957031,4,5,STANDARD,298.5149230957031,0.0,0.6481541991233826,R_A3,41,1607.2601318359375,29,0,2018-01-01
298.65338134765625,5,6,STANDARD,298.65338134765625,0.0,0.8068288564682007,R_A3,41,1609.32568359375,29,0,2018-01-01
298.79180908203125,6,7,STANDARD,298.79180908203125,0.0,0.6481541991233826,R_A3,41,1611.391357421875,29,0,2018-01-01
298.93023681640625,7,8,STANDARD,298.93023681640625,0.0,0.1960916668176651,R_A3,41,1613.45703125,29,0,2018-01-01
299.0686950683594,8,9,STANDARD,299.0686950683594,0.0,0.24458879232406616,R_A3,41,1615.5225830078125,29,0,2018-01-01
299.2071533203125,9,10,STANDARD,299.2071533203125,0.0,0.7949969172477722,R_A3,41,1617.5882568359375,29,0,2018-01-01
299.3456115722656,10,11,STANDARD,299.3456115722656,0.0,0.7996894121170044,R_A3,41,1619.65380859375,29,0,2018-01-01
299.4899597167969,11,12,STANDARD,299.4899597167969,0.0,0.04896188899874687,R_A3,41,1621.8074951171875,29,0,2018-01-01
299.6402282714844,12,13,STANDARD,299.6402282714844,0.0,0.054267968982458115,R_A3,41,1624.04931640625,29,0,2018-01-01
299.79052734375,13,14,STANDARD,299.79052734375,0.0,0.3689277768135071,R_A3,41,1626.291015625,29,0,2018-01-01
299.9407958984375,14,15,STANDARD,299.9407958984375,0.0,0.18354929983615875,R_A3,41,1628.5328369140625,29,0,2018-01-01
300.0910949707031,15,16,STANDARD,300.0910949707031,0.0,0.4949723482131958,R_A3,41,1630.7745361328125,29,0,2018-01-01
300.2018127441406,16,17,STANDARD,300.2018127441406,0.0,0.8035330176353455,R_A3,41,1632.42578125,29,0,2018-01-01
300.3590087890625,26,18,STANDARD,300.3590087890625,0.0,1.0,R_A3,41,1634.7705078125,29,0,2018-01-01
300.5887145996094,27,19,STANDARD,300.5887145996094,0.0,0.0433942936360836,R_A3,41,1638.1962890625,29,0,2018-01-01
300.81842041015625,28,20,STANDARD,300.81842041015625,0.0,0.04838886484503746,R_A3,41,1641.6221923828125,29,0,2018-01-01
301.0481262207031,29,21,STANDARD,301.0481262207031,0.0,0.6481541991233826,R_A3,41,1645.0479736328125,29,0,2018-01-01
301.2778625488281,30,22,STANDARD,301.2778625488281,0.0,0.0620359368622303,R_A3,41,1648.4737548828125,29,0,2018-01-01
299.99810791015625,1,1,STANDARD,299.99810791015625,0.0,0.050719134509563446,R_A4,52,1629.3875732421875,30,0,2018-01-01
299.7047119140625,1,2,STANDARD,299.7047119140625,0.0,0.04747994616627693,R_A4,52,1625.010986328125,31,0,2018-01-01
299.84637451171875,2,3,STANDARD,299.84637451171875,0.0,0.04730232432484627,R_A4,52,1627.1240234375,31,0,2018-01-01
299.9880065917969,3,4,STANDARD,299.9880065917969,0.0,0.04978448525071144,R_A4,52,1629.2369384765625,31,0,2018-01-01
300.1296691894531,4,5,STANDARD,300.1296691894531,0.0,0.0517222099006176,R_A4,52,1631.3499755859375,31,0,2018-01-01
300.2713317871094,5,6,STANDARD,300.2713317871094,0.0,0.052142586559057236,R_A4,52,1633.462890625,31,0,2018-01-01
300.2186279296875,5,7,STANDARD,300.2186279296875,0.0,0.05358262360095978,R_A4,52,1632.6766357421875,32,0,2018-01-01
300.3463439941406,6,8,STANDARD,300.3463439941406,0.0,0.053808797150850296,R_A4,52,1634.581787109375,32,0,2018-01-01
300.44537353515625,6,9,STANDARD,300.44537353515625,0.0,0.05628693476319313,R_A4,51,1636.05859375,32,0,2018-01-01
300.32244873046875,5,10,STANDARD,300.32244873046875,0.0,0.05574062839150429,R_A4,51,1634.22509765625,32,0,2018-01-01
300.578857421875,5,11,STANDARD,300.578857421875,0.0,0.05553223937749863,R_A4,51,1638.04931640625,33,0,2018-01-01
300.4550476074219,4,12,STANDARD,300.4550476074219,0.0,0.055975381284952164,R_A4,51,1636.2027587890625,33,0,2018-01-01
300.7842712402344,4,13,STANDARD,300.7842712402344,0.0,0.058363284915685654,R_A4,50,1641.11279296875,33,0,2018-01-01
300.7275085449219,4,14,STANDARD,300.7275085449219,0.0,0.06089307740330696,R_A4,50,1640.2666015625,34,0,2018-01-01
300.7337646484375,4,15,STANDARD,300.7337646484375,0.0,0.09817346930503845,R_A4,50,1640.3597412109375,35,0,2018-01-01
300.61114501953125,3,16,STANDARD,300.61114501953125,0.0,0.22357988357543945,R_A4,50,1638.5308837890625,35,0,2018-01-01
300.6368408203125,29,17,STANDARD,300.6368408203125,0.0,0.05141887813806534,R_A4,49,1638.9141845703125,35,0,2018-01-01
300.99017333984375,29,18,STANDARD,300.99017333984375,0.0,0.1881670504808426,R_A4,49,1644.1834716796875,36,0,2018-01-01
301.0823669433594,29,19,STANDARD,301.0823669433594,0.0,0.05759047716856003,R_A4,48,1645.558349609375,36,0,2018-01-01
301.456298828125,29,20,STANDARD,301.456298828125,0.0,0.15759754180908203,R_A4,48,1651.13427734375,37,0,2018-01-01
301.08563232421875,28,21,STANDARD,301.08563232421875,0.0,0.2736489474773407,R_A4,48,1645.6072998046875,37,0,2018-01-01
301.266357421875,28,22,STANDARD,301.266357421875,0.0,0.6972061991691589,R_A4,48,1648.302001953125,38,0,2018-01-01
301.72686767578125,28,23,STANDARD,301.72686767578125,0.0,0.6481541991233826,R_A4,47,1655.16845703125,38,0,2018-01-01
302.0933837890625,29,24,STANDARD,302.0933837890625,0.0,0.6481541991233826,R_A4,47,1660.6328125,38,0,2018-01-01
303.9255676269531,1,1,STANDARD,303.9255676269531,0.0,1.0,R_A5,20,1685.886474609375,31,0,2018-01-01
304.13897705078125,2,2,STANDARD,304.13897705078125,0.0,1.0,R_A5,20,1688.1385498046875,31,0,2018-01-01
304.3524169921875,3,3,STANDARD,304.3524169921875,0.0,1.0,R_A5,20,1690.390625,31,0,2018-01-01
304.5658264160156,4,4,STANDARD,304.5658264160156,0.0,1.0,R_A5,20,1692.642822265625,31,0,2018-01-01
304.7792663574219,5,5,STANDARD,304.7792663574219,0.0,1.0,R_A5,20,1694.8948974609375,31,0,2018-01-01
304.99267578125,6,6,STANDARD,304.99267578125,0.0,1.0,R_A5,20,1697.14697265625,31,0,2018-01-01
305.51190185546875,7,7,STANDARD,305.51190185546875,0.0,1.0,R_A5,20,1699.3990478515625,31,0,2018-01-01
305.7253112792969,8,8,STANDARD,305.7253112792969,0.0,1.0,R_A5,20,1701.6512451171875,31,0,2018-01-01
