DATE,CONJPOS,CONIPOS,CONBPRES,DEPTH,PRESSURE,SGAS,CONIDX,WELL,CONKPOS,WELLMODEL,SWAT,DRAWDOWN
2018-01-01,30,22,300.97161865234375,1643.66796875,300.97161865234375,0.0,2,R_A2,2,STANDARD,0.05587882921099663,0
2018-01-01,30,22,301.0907897949219,1645.4449462890625,301.0907897949219,0.0,3,R_A2,3,STANDARD,0.05838058516383171,0
2018-01-01,30,22,301.2099609375,1647.2220458984375,301.2099609375,0.0,4,R_A2,4,STANDARD,0.06419860571622849,0
2018-01-01,30,22,301.3291320800781,1648.9990234375,301.3291320800781,0.0,5,R_A2,5,STANDARD,0.06554792076349258,0
2018-01-01,30,22,301.44830322265625,1650.7760009765625,301.44830322265625,0.0,6,R_A2,6,STANDARD,0.3115944266319275,0
2018-01-01,30,22,301.5674743652344,1652.552978515625,301.5674743652344,0.0,7,R_A2,7,STANDARD,0.880508303642273,0
2018-01-01,30,22,301.6866760253906,1654.330078125,301.6866760253906,0.0,8,R_A2,8,STANDARD,0.6481541991233826,0
2018-01-01,30,22,301.80584716796875,1656.1070556640625,301.80584716796875,0.0,9,R_A2,9,STANDARD,0.6481541991233826,0
2018-01-01,30,22,301.9250183105469,1657.884033203125,301.9250183105469,0.0,10,R_A2,10,STANDARD,0.6481541991233826,0
2018-01-01,30,22,302.05377197265625,1659.803466796875,302.05377197265625,0.0,11,R_A2,11,STANDARD,0.07049507647752762,0
2018-01-01,30,22,302.1921081542969,1661.8656005859375,302.1921081542969,0.0,12,R_A2,12,STANDARD,0.07375598698854446,0
2018-01-01,30,22,302.3304443359375,1663.927734375,302.3304443359375,0.0,13,R_A2,13,STANDARD,0.43182647228240967,0
2018-01-01,30,22,302.46875,1665.9898681640625,302.46875,0.0,14,R_A2,14,STANDARD,0.46771880984306335,0
2018-01-01,30,22,302.6070861816406,1668.052001953125,302.6070861816406,0.0,15,R_A2,15,STANDARD,0.9156898260116577,0
2018-01-01,30,22,302.74542236328125,1670.1141357421875,302.74542236328125,0.0,16,R_A2,16,STANDARD,0.9313133955001831,0
2018-01-01,30,22,302.8837890625,1672.17626953125,302.8837890625,0.0,17,R_A2,17,STANDARD,0.8817302584648132,0
2018-01-01,29,22,302.9559020996094,1673.2513427734375,302.9559020996094,0.0,18,R_A2,17,STANDARD,0.906724214553833,0
2018-01-01,29,22,303.0829772949219,1675.1455078125,303.0829772949219,0.0,19,R_A2,18,STANDARD,0.959429919719696,0
2018-01-01,29,22,303.1476745605469,1676.1097412109375,303.1476745605469,0.0,20,R_A2,19,STANDARD,0.989952564239502,0
2018-01-01,29,22,303.21417236328125,1677.100830078125,303.21417236328125,0.0,21,R_A2,26,STANDARD,0.7564602494239807,0
2018-01-01,29,22,303.33343505859375,1678.8782958984375,303.33343505859375,0.0,22,R_A2,27,STANDARD,1.0,0
2018-01-01,29,22,303.45269775390625,1680.6558837890625,303.45269775390625,0.0,23,R_A2,28,STANDARD,1.0,0
2018-01-01,29,22,303.9041442871094,1682.4334716796875,303.9041442871094,0.0,24,R_A2,29,STANDARD,1.0,0
2018-01-01,29,22,304.0726013183594,1684.2110595703125,304.0726013183594,0.0,25,R_A2,30,STANDARD,1.0,0
2018-01-01,41,28,298.64892578125,1609.020263671875,298.64892578125,0.0,1,R_A3,1,STANDARD,0.2467617392539978,0
2018-01-01,41,28,298.78515625,1611.0531005859375,298.78515625,0.0,2,R_A3,2,STANDARD,0.15018048882484436,0
2018-01-01,41,28,298.92138671875,1613.0858154296875,298.92138671875,0.0,3,R_A3,3,STANDARD,0.09520890563726425,0
2018-01-01,41,29,298.3354187011719,1604.3421630859375,298.3354187011719,0.0,4,R_A3,3,STANDARD,0.14581367373466492,0
2018-01-01,41,29,298.4734802246094,1606.4024658203125,298.4734802246094,0.0,5,R_A3,4,STANDARD,0.1337517946958542,0
2018-01-01,41,29,298.6115417480469,1608.462646484375,298.6115417480469,0.0,6,R_A3,5,STANDARD,0.8081039190292358,0
2018-01-01,41,29,298.7496337890625,1610.52294921875,298.7496337890625,0.0,7,R_A3,6,STANDARD,0.6481541991233826,0
2018-01-01,41,29,298.8877258300781,1612.583251953125,298.8877258300781,0.0,8,R_A3,7,STANDARD,0.19412320852279663,0
2018-01-01,41,29,299.0257873535156,1614.6435546875,299.0257873535156,0.0,9,R_A3,8,STANDARD,0.19522517919540405,0
2018-01-01,41,29,299.16387939453125,1616.7037353515625,299.16387939453125,0.0,10,R_A3,9,STANDARD,0.7913649678230286,0
2018-01-01,41,29,299.302001953125,1618.7640380859375,299.302001953125,0.0,11,R_A3,10,STANDARD,0.7997286915779114,0
2018-01-01,41,29,299.4470520019531,1620.9283447265625,299.4470520019531,0.0,12,R_A3,11,STANDARD,0.04759477078914642,0
2018-01-01,41,29,299.59912109375,1623.1966552734375,299.59912109375,0.0,13,R_A3,12,STANDARD,0.053128719329833984,0
2018-01-01,41,29,299.7511901855469,1625.4649658203125,299.7511901855469,0.0,14,R_A3,13,STANDARD,0.36328285932540894,0
2018-01-01,41,29,300.0552978515625,1630.0015869140625,300.0552978515625,0.0,15,R_A3,15,STANDARD,0.4949248433113098,0
2018-01-01,41,29,300.1876220703125,1631.975341796875,300.1876220703125,0.0,16,R_A3,16,STANDARD,0.8009753227233887,0
2018-01-01,41,29,300.36346435546875,1634.5980224609375,300.36346435546875,0.0,17,R_A3,26,STANDARD,0.20480136573314667,0
2018-01-01,41,29,300.6025695800781,1638.1641845703125,300.6025695800781,0.0,18,R_A3,27,STANDARD,0.047192320227622986,0
2018-01-01,41,29,300.8417053222656,1641.73046875,300.8417053222656,0.0,19,R_A3,28,STANDARD,0.049544766545295715,0
2018-01-01,41,29,301.0808410644531,1645.296630859375,301.0808410644531,0.0,20,R_A3,29,STANDARD,0.6481541991233826,0
2018-01-01,41,29,301.32000732421875,1648.8629150390625,301.32000732421875,0.0,21,R_A3,30,STANDARD,0.058715902268886566,0
2018-01-01,52,30,300.2166748046875,1632.40869140625,300.2166748046875,0.0,1,R_A4,1,STANDARD,0.04971478879451752,0
2018-01-01,52,31,299.8336181640625,1626.6947021484375,299.8336181640625,0.0,2,R_A4,1,STANDARD,0.0475781187415123,0
2018-01-01,52,31,299.9708251953125,1628.7415771484375,299.9708251953125,0.0,3,R_A4,2,STANDARD,0.048641387373209,0
2018-01-01,52,31,300.1080627441406,1630.78857421875,300.1080627441406,0.0,4,R_A4,3,STANDARD,0.05119974538683891,0
2018-01-01,52,31,300.24530029296875,1632.83544921875,300.24530029296875,0.0,5,R_A4,4,STANDARD,0.05358244478702545,0
2018-01-01,52,32,300.1722106933594,1631.7454833984375,300.1722106933594,0.0,6,R_A4,4,STANDARD,0.05352053418755531,0
2018-01-01,52,32,300.2970275878906,1633.6068115234375,300.2970275878906,0.0,7,R_A4,5,STANDARD,0.05447479709982872,0
2018-01-01,51,32,300.537353515625,1637.19140625,300.537353515625,0.0,8,R_A4,5,STANDARD,0.058604057878255844,0
2018-01-01,51,32,300.41534423828125,1635.3714599609375,300.41534423828125,0.0,9,R_A4,4,STANDARD,0.056795015931129456,0
2018-01-01,51,33,300.4887390136719,1636.46630859375,300.4887390136719,0.0,10,R_A4,4,STANDARD,0.0575355589389801,0
2018-01-01,50,33,300.8341979980469,1641.6182861328125,300.8341979980469,0.0,11,R_A4,4,STANDARD,0.060653507709503174,0
2018-01-01,50,34,300.7380065917969,1640.183837890625,300.7380065917969,0.0,12,R_A4,4,STANDARD,0.06065204739570618,0
2018-01-01,50,35,300.80755615234375,1641.2210693359375,300.80755615234375,0.0,13,R_A4,4,STANDARD,0.06030098348855972,0
2018-01-01,50,35,300.6907653808594,1639.479248046875,300.6907653808594,0.0,14,R_A4,3,STANDARD,0.22422420978546143,0
2018-01-01,50,35,300.573974609375,1637.7374267578125,300.573974609375,0.0,15,R_A4,2,STANDARD,0.21538293361663818,0
2018-01-01,49,35,300.9367370605469,1643.1475830078125,300.9367370605469,0.0,16,R_A4,2,STANDARD,0.22776447236537933,0
2018-01-01,49,35,300.81988525390625,1641.4049072265625,300.81988525390625,0.0,17,R_A4,1,STANDARD,0.199116513133049,0
2018-01-01,49,36,300.98284912109375,1643.83544921875,300.98284912109375,0.0,18,R_A4,29,STANDARD,0.24161745607852936,0
2018-01-01,48,36,300.8760070800781,1642.241943359375,300.8760070800781,0.0,19,R_A4,29,STANDARD,0.05549672618508339,0
2018-01-01,48,37,301.2356262207031,1647.6048583984375,301.2356262207031,0.0,20,R_A4,29,STANDARD,0.08156508207321167,0
2018-01-01,48,38,301.53753662109375,1652.1065673828125,301.53753662109375,0.0,21,R_A4,29,STANDARD,0.08751753717660904,0
2018-01-01,47,38,302.08978271484375,1660.34033203125,302.08978271484375,0.0,22,R_A4,29,STANDARD,0.6481541991233826,0
2018-01-01,20,31,303.9373779296875,1686.0111083984375,303.9373779296875,0.0,1,R_A5,1,STANDARD,1.0,0
2018-01-01,20,31,304.14239501953125,1688.174560546875,304.14239501953125,0.0,2,R_A5,2,STANDARD,1.0,0
2018-01-01,20,31,304.347412109375,1690.3380126953125,304.347412109375,0.0,3,R_A5,3,STANDARD,1.0,0
2018-01-01,20,31,304.55242919921875,1692.50146484375,304.55242919921875,0.0,4,R_A5,4,STANDARD,1.0,0
2018-01-01,20,31,304.7574462890625,1694.6649169921875,304.7574462890625,0.0,5,R_A5,5,STANDARD,1.0,0
2018-01-01,20,31,304.9624938964844,1696.828369140625,304.9624938964844,0.0,6,R_A5,6,STANDARD,1.0,0
2018-01-01,20,31,305.4732971191406,1698.991943359375,305.4732971191406,0.0,7,R_A5,7,STANDARD,1.0,0
2018-01-01,21,31,305.1812744140625,1699.135986328125,305.1812744140625,0.0,8,R_A5,11,STANDARD,1.0,0
2018-01-01,21,31,305.3733825683594,1701.1630859375,305.3733825683594,0.0,9,R_A5,12,STANDARD,1.0,0
2018-01-01,21,31,305.57745361328125,1703.190185546875,305.57745361328125,0.0,10,R_A5,13,STANDARD,1.0,0
2018-01-01,21,31,305.7695617675781,1705.21728515625,305.7695617675781,0.0,11,R_A5,14,STANDARD,1.0,0
2018-01-01,21,31,305.9617004394531,1707.244384765625,305.9617004394531,0.0,12,R_A5,15,STANDARD,1.0,0
2018-01-01,21,31,306.2987976074219,1709.271484375,306.2987976074219,0.0,13,R_A5,16,STANDARD,1.0,0
2018-01-01,21,31,306.4909362792969,1711.298583984375,306.4909362792969,0.0,14,R_A5,17,STANDARD,1.0,0
2018-01-01,21,31,306.64056396484375,1712.87744140625,306.64056396484375,0.0,15,R_A5,18,STANDARD,1.0,0
2018-01-01,21,31,306.7159118652344,1713.672607421875,306.7159118652344,0.0,16,R_A5,19,STANDARD,1.0,0
2018-01-01,21,31,306.69146728515625,1715.0721435546875,306.69146728515625,0.0,17,R_A5,26,STANDARD,1.0,0
2018-01-01,21,31,306.9131774902344,1717.4117431640625,306.9131774902344,0.0,18,R_A5,27,STANDARD,1.0,0
2018-01-01,21,31,307.4407043457031,1719.7513427734375,307.4407043457031,0.0,19,R_A5,28,STANDARD,1.0,0
2018-01-01,21,31,307.6624755859375,1722.091064453125,307.6624755859375,0.0,20,R_A5,29,STANDARD,1.0,0
2018-01-01,21,31,307.88421630859375,1724.4306640625,307.88421630859375,0.0,21,R_A5,30,STANDARD,1.0,0
2018-01-01,42,17,305.0242004394531,1694.2530517578125,305.0242004394531,0.0,1,R_A6,1,STANDARD,1.0,0
2018-01-01,42,17,305.169921875,1695.79052734375,305.169921875,0.0,2,R_A6,2,STANDARD,1.0,0
2018-01-01,42,17,305.31561279296875,1697.3280029296875,305.31561279296875,0.0,3,R_A6,3,STANDARD,1.0,0
2018-01-01,42,17,305.4613342285156,1698.865478515625,305.4613342285156,0.0,4,R_A6,4,STANDARD,1.0,0
2018-01-01,42,17,305.6070251464844,1700.4029541015625,305.6070251464844,0.0,5,R_A6,5,STANDARD,1.0,0
2018-01-01,42,17,305.7527160644531,1701.9404296875,305.7527160644531,0.0,6,R_A6,6,STANDARD,1.0,0
2018-01-01,42,17,305.5993957519531,1703.4779052734375,305.5993957519531,0.0,7,R_A6,7,STANDARD,1.0,0
2018-01-01,42,17,305.7450866699219,1705.015380859375,305.7450866699219,0.0,8,R_A6,8,STANDARD,1.0,0
2018-01-01,42,17,306.1898498535156,1706.5528564453125,306.1898498535156,0.0,9,R_A6,9,STANDARD,1.0,0
2018-01-01,42,17,306.0297546386719,1708.09033203125,306.0297546386719,0.0,10,R_A6,10,STANDARD,1.0,0
2018-01-01,42,17,306.2105712890625,1709.996826171875,306.2105712890625,0.0,11,R_A6,11,STANDARD,1.0,0
2018-01-01,42,17,306.4262390136719,1712.2724609375,306.4262390136719,0.0,12,R_A6,12,STANDARD,1.0,0
2018-01-01,42,17,306.65386962890625,1714.548095703125,306.65386962890625,0.0,13,R_A6,13,STANDARD,1.0,0
2018-01-01,42,17,306.8695373535156,1716.8236083984375,306.8695373535156,0.0,14,R_A6,14,STANDARD,1.0,0
2018-01-01,42,17,307.085205078125,1719.099365234375,307.085205078125,0.0,15,R_A6,15,STANDARD,1.0,0
2018-01-01,42,17,307.4458923339844,1721.375,307.4458923339844,0.0,16,R_A6,16,STANDARD,1.0,0
2018-01-01,42,17,307.6615905761719,1723.650634765625,307.6615905761719,0.0,17,R_A6,17,STANDARD,1.0,0
2018-01-01,42,17,307.8130798339844,1725.2489013671875,307.8130798339844,0.0,18,R_A6,18,STANDARD,1.0,0
2018-01-01,42,17,307.78082275390625,1726.566162109375,307.78082275390625,0.0,19,R_A6,26,STANDARD,1.0,0
2018-01-01,42,17,308.2490234375,1728.27978515625,308.2490234375,0.0,20,R_A6,27,STANDARD,1.0,0
2018-01-01,42,17,308.41143798828125,1729.9935302734375,308.41143798828125,0.0,21,R_A6,28,STANDARD,1.0,0
2018-01-01,42,17,308.5738525390625,1731.7071533203125,308.5738525390625,0.0,22,R_A6,29,STANDARD,1.0,0
2018-01-01,42,17,308.4305114746094,1733.4208984375,308.4305114746094,0.0,23,R_A6,30,STANDARD,1.0,0
2018-03-01,30,22,298.1543273925781,1641.8909912109375,298.1543273925781,0.0,1,R_A2,1,STANDARD,0.05369368568062782,0
2018-03-01,30,22,298.2734680175781,1643.66796875,298.2734680175781,0.0,2,R_A2,2,STANDARD,0.05603020638227463,0
2018-03-01,30,22,298.3927001953125,1645.4449462890625,298.3927001953125,0.0,3,R_A2,3,STANDARD,0.058540549129247665,0
2018-03-01,30,22,298.5119323730469,1647.2220458984375,298.5119323730469,0.0,4,R_A2,4,STANDARD,0.06468401849269867,0
2018-03-01,30,22,298.6311340332031,1648.9990234375,298.6311340332031,0.0,5,R_A2,5,STANDARD,0.06623083353042603,0
2018-03-01,30,22,298.8680114746094,1650.7760009765625,298.8680114746094,0.0,6,R_A2,6,STANDARD,0.310731440782547,0
2018-03-01,30,22,299.08544921875,1652.552978515625,299.08544921875,0.0,7,R_A2,7,STANDARD,0.8753041625022888,0
2018-03-01,30,22,299.2440185546875,1654.330078125,299.2440185546875,0.0,8,R_A2,8,STANDARD,0.648399293422699,0
2018-03-01,30,22,299.3633728027344,1656.1070556640625,299.3633728027344,0.0,9,R_A2,9,STANDARD,0.6502053141593933,0
2018-03-01,30,22,299.6907653808594,1657.884033203125,299.6907653808594,0.0,10,R_A2,10,STANDARD,0.6487210988998413,0
2018-03-01,30,22,300.0365295410156,1659.803466796875,300.0365295410156,0.0,11,R_A2,11,STANDARD,0.0706009641289711,0
2018-03-01,30,22,300.1748046875,1661.8656005859375,300.1748046875,0.0,12,R_A2,12,STANDARD,0.07387363910675049,0
2018-03-01,30,22,300.3137512207031,1663.927734375,300.3137512207031,0.0,13,R_A2,13,STANDARD,0.43214935064315796,0
2018-03-01,30,22,300.4531555175781,1665.9898681640625,300.4531555175781,0.0,14,R_A2,14,STANDARD,0.4680393636226654,0
2018-03-01,30,22,300.5957336425781,1668.052001953125,300.5957336425781,0.0,15,R_A2,15,STANDARD,0.9156380295753479,0
2018-03-01,30,22,300.7372741699219,1670.1141357421875,300.7372741699219,0.0,16,R_A2,16,STANDARD,0.9312712550163269,0
2018-03-01,30,22,300.8770751953125,1672.17626953125,300.8770751953125,0.0,17,R_A2,17,STANDARD,0.8816577196121216,0
2018-03-01,29,22,300.9322204589844,1673.2513427734375,300.9322204589844,0.0,18,R_A2,17,STANDARD,0.9066665768623352,0
2018-03-01,29,22,301.0592346191406,1675.1455078125,301.0592346191406,0.0,19,R_A2,18,STANDARD,0.9594048261642456,0
