ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,9237283,1805206,1117187,779071,109693136
Valysar,CentralSouth,58427081,10514223,7642489,5329490,750392267
Valysar,CentralNorth,34789172,6639079,5045991,3518822,495450199
Valysar,NorthHorst,2890628,443922,239863,147336,28863139
Valysar,CentralRamp,13179841,2095530,1473644,1027646,144692538
Valysar,CentralHorst,80964109,13668130,10504638,7325410,1031417742
Valysar,EastLowland,889677,120503,50049,34902,4914167
Therys,WestLowland,1858537,302226,136188,94971,13371881
Therys,CentralSouth,15030880,3512677,2396535,1671224,235308315
Therys,CentralNorth,17875376,3090001,1630258,1136860,160069937
Therys,NorthHorst,4122757,586526,217166,133395,26131999
Therys,CentralRamp,6583621,1527576,1173539,818368,115226154
Therys,CentralHorst,24943804,6206340,4860600,3389540,477247208
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,195638,39041,17477,12187,1715996
Volon,CentralSouth,32079286,5347464,3233514,2254891,317488668
Volon,CentralNorth,3805284,535925,272022,189694,26708964
Volon,NorthHorst,2314418,429659,286835,176189,34515357
Volon,CentralRamp,12377901,2329760,1789035,1247584,175659766
Volon,CentralHorst,77208813,13708974,10350358,7217823,1016269545
Volon,EastLowland,0,0,0,0,0
