CONJPOS,WELL,CONKPOS,PRESSURE,DEPTH,WELLMODEL,CONIDX,SGAS,CONBPRES,DATE,CONIPOS,DRAWDOWN,SWAT
30,R_A2,1,300.6733093261719,1641.094970703125,STANDARD,1,0.0,300.6733093261719,2018-01-01,22,0,0.11639835685491562
30,R_A2,2,300.7936096191406,1642.8890380859375,STANDARD,2,0.0,300.7936096191406,2018-01-01,22,0,0.05913596972823143
30,R_A2,3,300.9139099121094,1644.68310546875,STANDARD,3,0.0,300.9139099121094,2018-01-01,22,0,0.1264522522687912
30,R_A2,4,301.0342102050781,1646.4771728515625,STANDARD,4,0.0,301.0342102050781,2018-01-01,22,0,0.10851117223501205
30,R_A2,5,301.1545104980469,1648.2713623046875,STANDARD,5,0.0,301.1545104980469,2018-01-01,22,0,0.11078716069459915
30,R_A2,6,301.27484130859375,1650.0654296875,STANDARD,6,0.0,301.27484130859375,2018-01-01,22,0,0.31581538915634155
30,R_A2,7,301.3951721191406,1651.859619140625,STANDARD,7,0.0,301.3951721191406,2018-01-01,22,0,0.8967062830924988
30,R_A2,8,301.5154724121094,1653.6536865234375,STANDARD,8,0.0,301.5154724121094,2018-01-01,22,0,0.8729602694511414
30,R_A2,9,301.63580322265625,1655.44775390625,STANDARD,9,0.0,301.63580322265625,2018-01-01,22,0,0.9158713817596436
30,R_A2,10,301.7561340332031,1657.2418212890625,STANDARD,10,0.0,301.7561340332031,2018-01-01,22,0,0.9034853577613831
30,R_A2,11,301.88323974609375,1659.1368408203125,STANDARD,11,0.0,301.88323974609375,2018-01-01,22,0,0.07596161216497421
30,R_A2,12,302.01708984375,1661.132568359375,STANDARD,12,0.0,302.01708984375,2018-01-01,22,0,0.08016353845596313
30,R_A2,13,302.1509704589844,1663.12841796875,STANDARD,13,0.0,302.1509704589844,2018-01-01,22,0,0.45490843057632446
30,R_A2,14,302.28485107421875,1665.1241455078125,STANDARD,14,0.0,302.28485107421875,2018-01-01,22,0,0.5153446793556213
30,R_A2,15,302.4187316894531,1667.1199951171875,STANDARD,15,0.0,302.4187316894531,2018-01-01,22,0,0.712632954120636
30,R_A2,16,302.5526123046875,1669.11572265625,STANDARD,16,0.0,302.5526123046875,2018-01-01,22,0,0.9810691475868225
30,R_A2,17,302.6864929199219,1671.111572265625,STANDARD,17,0.0,302.6864929199219,2018-01-01,22,0,0.945175051689148
30,R_A2,18,302.8123779296875,1672.9881591796875,STANDARD,18,0.0,302.8123779296875,2018-01-01,22,0,0.9814856648445129
