X_UTME,Y_UTMN,TOP_TVD,TOP_MD,ZONE_CODE,WELL,BASE_TVD,BASE_MD,ZONE
462583.9960058594,5934072.84803711,1598.7164306640625,2231.275218424647,1,OP_1,1612.609130859375,2245.4287347757822,UpperReek
462583.4670141602,5934070.197036133,1612.609130859375,2245.4287347757822,2,OP_1,1626.8370361328125,2259.9759849776688,MidReek
462582.7889746094,5934067.243056641,1626.8370361328125,2259.9759849776688,3,OP_1,1638.1195068359375,2271.477428370674,LowerReek
460300.0310400391,5935743.908095703,1628.553955078125,3857.5668215958735,1,OP_2,1643.9229736328125,3874.0852231458866,UpperReek
460296.9990576172,5935749.14491211,1643.9229736328125,3874.0852231458866,2,OP_2,1658.7379150390625,3889.8584894924534,MidReek
460294.4000585938,5935753.893935547,1658.7379150390625,3889.8584894924534,3,OP_2,1670.0,3901.8079155850955,LowerReek
464009.2770117188,5931756.423964844,1631.271728515625,3405.4516481163723,1,OP_3,1646.66455078125,3420.9039125428276,UpperReek
464010.5709570313,5931756.8120263675,1646.66455078125,3420.9039125428276,2,OP_3,1662.107177734375,3436.3901473992814,MidReek
464011.6539648438,5931757.229018555,1662.107177734375,3436.3901473992814,3,OP_3,1673.636474609375,3447.946563366281,LowerReek
461288.7779882813,5933414.952010498,1643.98876953125,1808.4964606075805,1,OP_4,1657.4495849609375,1821.957752847903,UpperReek
461288.6930273438,5933415.0210107425,1657.4495849609375,1821.957752847903,2,OP_4,1670.922119140625,1835.4302971888833,MidReek
461288.67801269534,5933415.034011231,1670.922119140625,1835.4302971888833,3,OP_4,1681.454833984375,1845.9630336122493,LowerReek
462749.3589819336,5932898.508002625,1604.36328125,1929.474433587897,1,OP_5,1619.3345947265625,1944.446428508318,UpperReek
462749.49301513674,5932898.494002686,1619.3345947265625,1944.446428508318,2,OP_5,1633.826904296875,1958.9387642082954,MidReek
462749.5010107422,5932898.494002686,1633.826904296875,1958.9387642082954,3,OP_5,1644.36767578125,1969.4796371604823,LowerReek
461317.573001709,5931898.0229638675,1696.6719970703125,2177.414055161406,1,WI_1,1709.690673828125,2190.4330529459958,UpperReek
461317.54001220706,5931897.948989258,1709.690673828125,2190.4330529459958,2,WI_1,1722.69482421875,2203.437178632883,MidReek
461317.54001220706,5931897.949965821,1722.69482421875,2203.437178632883,3,WI_1,1732.2371826171875,2212.979638333341,LowerReek
461933.1619985962,5935552.846083985,1679.4136962890625,3329.062239503071,1,WI_2,1694.72021484375,3345.2779639734167,UpperReek
461936.5679968262,5935556.967910157,1694.72021484375,3345.2779639734167,2,WI_2,1708.958251953125,3359.8227758833923,MidReek
461938.3940008545,5935559.178115235,1708.958251953125,3359.8227758833923,3,WI_2,1716.6414794921875,3367.5488591533795,LowerReek
459522.2840917969,5935971.959121094,1704.462890625,4988.512027319139,1,WI_3,1720.1824951171875,5006.452157699874,UpperReek
459514.26797851565,5935968.72303711,1720.1824951171875,5006.452157699874,2,WI_3,1734.749755859375,5022.972161694152,MidReek
459507.127109375,5935965.607070313,1734.749755859375,5022.972161694152,3,WI_3,1745.395751953125,5035.012394212024,LowerReek
