ENSEMBLE,REAL,CONIPOS,CONJPOS,CONKPOS,DEPTH,PRESSURE,SWAT,SGAS,CONIDX,Drawdown,DATE,WELL,WELLMODEL,CONBPRES,INTERPOLATE_RELPERM:INTERPOLATE_GO,INTERPOLATE_RELPERM:INTERPOLATE_WO,LOG10_MULTFLT:MULTFLT_F1,LOG10_MULTFLT:MULTFLT_F2,LOG10_MULTFLT:MULTFLT_F3,LOG10_MULTFLT:MULTFLT_F4,LOG10_MULTFLT:MULTFLT_F5,LOG10_MULTZ:MULTZ_MIDREEK,MULTFLT:MULTFLT_F1,MULTFLT:MULTFLT_F2,MULTFLT:MULTFLT_F3,MULTFLT:MULTFLT_F4,MULTFLT:MULTFLT_F5,MULTZ:MULTZ_MIDREEK,RMSGLOBPARAMS:COHIBA_MODEL_MODE,RMSGLOBPARAMS:FWL,INTERPOLATE_GO,INTERPOLATE_WO,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,COHIBA_MODEL_MODE,FWL
iter-0,3,27,30,5,1610.64404296875,303.38494873046875,0.03619435429573059,0.0,1,0,2000-02-01,OP_1,MULTISEG,303.38494873046875,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,3,27,30,6,1613.2457275390625,303.544189453125,0.03932495415210724,0.0,2,0,2000-02-01,OP_1,MULTISEG,303.544189453125,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,3,27,30,7,1616.043701171875,303.72265625,0.03860258311033249,0.0,3,0,2000-02-01,OP_1,MULTISEG,303.72265625,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,3,27,30,8,1618.8419189453125,303.9011535644531,0.03455251455307007,0.0,4,0,2000-02-01,OP_1,MULTISEG,303.9011535644531,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,3,27,30,9,1621.64013671875,304.07965087890625,0.035628478974103935,0.0,5,0,2000-02-01,OP_1,MULTISEG,304.07965087890625,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,3,27,30,10,1624.4381103515625,304.2581787109375,0.036348875612020486,0.0,6,0,2000-02-01,OP_1,MULTISEG,304.2581787109375,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,3,27,30,11,1627.39794921875,304.4470520019531,0.1780274510383606,0.0,7,0,2000-02-01,OP_1,MULTISEG,304.4470520019531,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,3,20,13,7,1653.950927734375,305.9389343261719,0.061732862144708626,0.0,1,0,2000-02-01,OP_2,MULTISEG,305.9389343261719,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,3,20,13,8,1656.3973388671875,306.0950927734375,0.057759299874305725,0.0,2,0,2000-02-01,OP_2,MULTISEG,306.0950927734375,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,3,20,13,9,1658.84375,306.25128173828125,0.055465351790189736,0.0,3,0,2000-02-01,OP_2,MULTISEG,306.25128173828125,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
