SWAT,CONJPOS,CONIPOS,DRAWDOWN,SGAS,CONIDX,DATE,CONBPRES,WELLMODEL,PRESSURE,CONKPOS,DEPTH,WELL
0.05999206751585007,30,22,0,0.0,1,2018-01-01,300.58270263671875,STANDARD,300.58270263671875,1,1641.0223388671875,R_A2
0.06265419721603394,30,22,0,0.0,2,2018-01-01,300.696044921875,STANDARD,300.696044921875,2,1642.7125244140625,R_A2
0.06498654186725616,30,22,0,0.0,3,2018-01-01,300.80938720703125,STANDARD,300.80938720703125,3,1644.4027099609375,R_A2
0.06777551025152206,30,22,0,0.0,4,2018-01-01,300.9226989746094,STANDARD,300.9226989746094,4,1646.0928955078125,R_A2
0.21031074225902557,30,22,0,0.0,5,2018-01-01,301.0360412597656,STANDARD,301.0360412597656,5,1647.7830810546875,R_A2
0.6481541991233826,30,22,0,0.0,6,2018-01-01,301.1493835449219,STANDARD,301.1493835449219,6,1649.4732666015625,R_A2
0.9061394333839417,30,22,0,0.0,7,2018-01-01,301.2627258300781,STANDARD,301.2627258300781,7,1651.1634521484375,R_A2
0.8948261141777039,30,22,0,0.0,8,2018-01-01,301.3760681152344,STANDARD,301.3760681152344,8,1652.853515625,R_A2
0.9042961597442627,30,22,0,0.0,9,2018-01-01,301.48944091796875,STANDARD,301.48944091796875,9,1654.543701171875,R_A2
0.9262016415596008,30,22,0,0.0,10,2018-01-01,301.602783203125,STANDARD,301.602783203125,10,1656.2340087890625,R_A2
0.07998332381248474,30,22,0,0.0,11,2018-01-01,301.7286682128906,STANDARD,301.7286682128906,11,1658.1107177734375,R_A2
0.17745931446552277,30,22,0,0.0,12,2018-01-01,301.8670654296875,STANDARD,301.8670654296875,12,1660.1741943359375,R_A2
0.48441872000694275,30,22,0,0.0,13,2018-01-01,302.0054626464844,STANDARD,302.0054626464844,13,1662.2376708984375,R_A2
0.5462128520011902,30,22,0,0.0,14,2018-01-01,302.14385986328125,STANDARD,302.14385986328125,14,1664.301025390625,R_A2
0.7025726437568665,29,22,0,0.0,15,2018-01-01,302.3027648925781,STANDARD,302.3027648925781,14,1666.669921875,R_A2
0.9946591258049011,29,22,0,0.0,16,2018-01-01,302.4446105957031,STANDARD,302.4446105957031,15,1668.784423828125,R_A2
1.0,29,22,0,0.0,17,2018-01-01,302.5864562988281,STANDARD,302.5864562988281,16,1670.8988037109375,R_A2
1.0,29,22,0,0.0,18,2018-01-01,302.7283020019531,STANDARD,302.7283020019531,17,1673.01318359375,R_A2
1.0,29,22,0,0.0,19,2018-01-01,303.0392761230469,STANDARD,303.0392761230469,18,1674.875732421875,R_A2
1.0,29,22,0,0.0,20,2018-01-01,303.3659362792969,STANDARD,303.3659362792969,27,1676.753662109375,R_A2
1.0,29,22,0,0.0,21,2018-01-01,303.538330078125,STANDARD,303.538330078125,28,1678.572998046875,R_A2
1.0,29,22,0,0.0,22,2018-01-01,303.7107238769531,STANDARD,303.7107238769531,29,1680.3922119140625,R_A2
1.0,29,22,0,0.0,23,2018-01-01,303.8830871582031,STANDARD,303.8830871582031,30,1682.21142578125,R_A2
1.0,29,22,0,0.0,24,2018-01-01,304.05548095703125,STANDARD,304.05548095703125,31,1684.0306396484375,R_A2
0.18145348131656647,41,28,0,0.0,1,2018-01-01,298.6033935546875,STANDARD,298.6033935546875,1,1611.4952392578125,R_A3
0.15704326331615448,41,28,0,0.0,2,2018-01-01,298.7440185546875,STANDARD,298.7440185546875,2,1613.59375,R_A3
0.19773052632808685,41,28,0,0.0,3,2018-01-01,298.8846435546875,STANDARD,298.8846435546875,3,1615.692138671875,R_A3
0.20719102025032043,41,28,0,0.0,4,2018-01-01,299.0252990722656,STANDARD,299.0252990722656,4,1617.79052734375,R_A3
0.36826464533805847,41,29,0,0.0,5,2018-01-01,298.19976806640625,STANDARD,298.19976806640625,4,1605.4725341796875,R_A3
0.814299464225769,41,29,0,0.0,6,2018-01-01,298.3354797363281,STANDARD,298.3354797363281,5,1607.4976806640625,R_A3
0.6481541991233826,41,29,0,0.0,7,2018-01-01,298.47119140625,STANDARD,298.47119140625,6,1609.5228271484375,R_A3
0.1995803564786911,41,29,0,0.0,8,2018-01-01,298.6069030761719,STANDARD,298.6069030761719,7,1611.5478515625,R_A3
0.24768351018428802,41,29,0,0.0,9,2018-01-01,298.7426452636719,STANDARD,298.7426452636719,8,1613.572998046875,R_A3
0.805148720741272,41,29,0,0.0,10,2018-01-01,298.87835693359375,STANDARD,298.87835693359375,9,1615.59814453125,R_A3
0.8027443289756775,41,29,0,0.0,11,2018-01-01,299.01409912109375,STANDARD,299.01409912109375,10,1617.623291015625,R_A3
0.049330320209264755,41,29,0,0.0,12,2018-01-01,299.15606689453125,STANDARD,299.15606689453125,11,1619.74169921875,R_A3
0.05527481064200401,41,29,0,0.0,13,2018-01-01,299.3043212890625,STANDARD,299.3043212890625,12,1621.9532470703125,R_A3
0.37596988677978516,41,29,0,0.0,14,2018-01-01,299.4525451660156,STANDARD,299.4525451660156,13,1624.164794921875,R_A3
