WELL,CONKPOS,SWAT,DEPTH,PRESSURE,DRAWDOWN,SGAS,DATE,CONIDX,CONJPOS,CONIPOS,CONBPRES,WELLMODEL
R_A2,1,0.05436449870467186,1641.539306640625,300.8236389160156,0,0.0,2018-01-01,1,30,22,300.8236389160156,STANDARD
R_A2,2,0.056714072823524475,1643.323486328125,300.9432678222656,0,0.0,2018-01-01,2,30,22,300.9432678222656,STANDARD
R_A2,3,0.05958675593137741,1645.1077880859375,301.06292724609375,0,0.0,2018-01-01,3,30,22,301.06292724609375,STANDARD
R_A2,4,0.06313134729862213,1646.8919677734375,301.1825866699219,0,0.0,2018-01-01,4,30,22,301.1825866699219,STANDARD
R_A2,5,0.06633482873439789,1648.67626953125,301.30224609375,0,0.0,2018-01-01,5,30,22,301.30224609375,STANDARD
R_A2,6,0.31010594964027405,1650.4605712890625,301.4219055175781,0,0.0,2018-01-01,6,30,22,301.4219055175781,STANDARD
R_A2,7,0.8805718421936035,1652.2447509765625,301.54156494140625,0,0.0,2018-01-01,7,30,22,301.54156494140625,STANDARD
R_A2,8,0.6481541991233826,1654.0289306640625,301.6612243652344,0,0.0,2018-01-01,8,30,22,301.6612243652344,STANDARD
R_A2,9,0.22683599591255188,1655.813232421875,301.7808837890625,0,0.0,2018-01-01,9,30,22,301.7808837890625,STANDARD
R_A2,10,0.8874309062957764,1657.597412109375,301.90057373046875,0,0.0,2018-01-01,10,30,22,301.90057373046875,STANDARD
R_A2,11,0.06853848695755005,1659.4979248046875,302.0280456542969,0,0.0,2018-01-01,11,30,22,302.0280456542969,STANDARD
R_A2,12,0.06724593043327332,1661.5146484375,302.1632995605469,0,0.0,2018-01-01,12,30,22,302.1632995605469,STANDARD
R_A2,13,0.43250784277915955,1663.5313720703125,302.298583984375,0,0.0,2018-01-01,13,30,22,302.298583984375,STANDARD
R_A2,14,0.4812650978565216,1665.5479736328125,302.4338684082031,0,0.0,2018-01-01,14,30,22,302.4338684082031,STANDARD
R_A2,15,0.9103615283966064,1667.564697265625,302.56915283203125,0,0.0,2018-01-01,15,30,22,302.56915283203125,STANDARD
R_A2,16,0.9375935196876526,1669.5814208984375,302.7044372558594,0,0.0,2018-01-01,16,30,22,302.7044372558594,STANDARD
R_A2,16,0.9068691730499268,1670.32080078125,302.7540283203125,0,0.0,2018-01-01,17,29,22,302.7540283203125,STANDARD
R_A2,17,0.8942057490348816,1672.3897705078125,302.8928527832031,0,0.0,2018-01-01,18,29,22,302.8928527832031,STANDARD
R_A2,18,0.942316472530365,1674.340576171875,303.0237121582031,0,0.0,2018-01-01,19,29,22,303.0237121582031,STANDARD
R_A2,19,0.974325954914093,1675.476318359375,303.09991455078125,0,0.0,2018-01-01,20,29,22,303.09991455078125,STANDARD
R_A2,25,0.770841121673584,1676.59375,303.1748962402344,0,0.0,2018-01-01,21,29,22,303.1748962402344,STANDARD
R_A2,26,1.0,1678.3897705078125,303.29541015625,0,0.0,2018-01-01,22,29,22,303.29541015625,STANDARD
R_A2,27,1.0,1680.185791015625,303.4159240722656,0,0.0,2018-01-01,23,29,22,303.4159240722656,STANDARD
R_A2,28,1.0,1681.98193359375,303.8613586425781,0,0.0,2018-01-01,24,29,22,303.8613586425781,STANDARD
R_A2,29,1.0,1683.7779541015625,304.03155517578125,0,0.0,2018-01-01,25,29,22,304.03155517578125,STANDARD
R_A3,1,0.6481541991233826,1608.1253662109375,298.5837097167969,0,0.0,2018-01-01,1,41,28,298.5837097167969,STANDARD
R_A3,1,0.6481541991233826,1598.960693359375,297.96954345703125,0,0.0,2018-01-01,2,41,29,297.96954345703125,STANDARD
R_A3,2,0.14429885149002075,1601.148193359375,298.11614990234375,0,0.0,2018-01-01,3,41,29,298.11614990234375,STANDARD
