date,total,total_contained,total_outside,total_hazardous,total_gas,total_aqueous,gas_contained,aqueous_contained,gas_outside,aqueous_outside,gas_hazardous,aqueous_hazardous
2020-01-01,2950110403.4945683,2801027529.1930046,148962642.56646368,120231.73510061833,2866308111.961762,83802291.53280652,2718499214.7012033,82528314.49180119,147690871.7968709,1271770.7695927785,118025.46368806304,2206.271412555286
2040-01-01,3252753410.99158,3025006819.62356,227429563.23385438,317028.13416623295,3161678362.709377,91075048.28220338,2935879272.1261377,89127547.49742211,225487879.96562815,1941683.2682262403,311210.6176112123,5817.516555020626
2060-01-01,3569358740.251085,3244595115.6268134,324013934.30846393,749690.3158074346,3470981303.4838386,98377436.76724656,3148997709.5641327,95597406.06268097,321247660.54012364,2766273.7683402896,735933.379582142,13756.93622529266
2080-01-01,3899707149.5106535,3460642921.755759,437447749.2700557,1616478.484839267,3793979821.1272388,105727328.3834149,3358679972.654445,101962949.10131377,433713032.62458813,3734716.6454675673,1586815.8482057115,29662.636633555638
2100-01-01,4242510453.990755,3673190289.64567,566101153.0170988,3219011.327986572,4129392930.9566064,113117523.03414893,3564964932.9675636,108225356.67810643,561268056.029586,4833096.987512755,3159941.9594568326,59069.36852973918
2120-01-01,4595891582.163779,3881796095.6690555,708116045.6009898,5979440.893733863,4475364675.52691,120526906.63686956,3767424463.959774,114371631.70928174,702070494.3623754,6045551.238614447,5869717.204760491,109723.68897337161
2140-01-01,4958056020.216434,4085993002.790521,861621136.8848293,10441880.541083181,4830120302.050457,127935718.1659766,3965604998.0204473,120388004.7700737,854265033.6533462,7356103.231483091,10250270.376663366,191610.1644198152
2160-01-01,5327855716.723927,4285551190.3349056,1025054035.0049977,17250491.384022716,5192520048.928671,135335667.79525465,4159283485.815568,126267704.51933739,1016302620.9825804,8751414.022417316,16933942.1305228,316549.25349991774
2180-01-01,5705067814.7428665,4480513386.085154,1197452995.9776654,27101432.680046946,5562335236.57518,142732578.16768703,4348501396.21439,132011989.8707649,1187229723.26977,10223272.707895318,26604117.091020137,497315.58902680816
2200-01-01,6090377753.025101,4671114971.708718,1378588912.0720158,40673869.244367436,5940233861.782457,150143891.24264374,4533487175.6964445,137627796.01227376,1366819188.7947474,11769723.277268255,39927497.2912657,746371.9531017402
